iteration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
0,-10,-13,-12,-12,-16,-10,-12,-16,-13,-10,-10,-11,-11,-13,-15,-10,-13,-10,-11,-11,-11,-12,-14,-10,-11,-10,-12,-10,-15,-16,-16,-15,-13,-10,-10,-13,-10,-10,-11,-10,-12,-11,-11,-15,-10,-17,-11,-10,-15,-12,-13,-10,-11,-11,-10,-11,-13,-19,-10,-11,-10,-11,-10,-11,-10,-12,-15,-10,-11,-10,-11,-10,-12,-14,-12,-12,-13,-11,-10,-10,-10,-12,-17,-10,-12,-13,-11,-11,-11,-13,-13,-10,-10,-11,-10,-10,-11,-10,-10,-10,-11,-11,-13,-10,-10,-11,-10,-14,-14,-10,-11,-14,-15,-10,-10,-10,-13,-10,-11,-14,-10,-13,-10,-10,-14,-11,-10,-10,-10,-10,-10,-16,-13,-13,-11,-10,-11,-12,-12,-10,-17,-15,-11,-12,-10,-11,-10,-10,-11,-13,-15,-12,-13,-11,-10,-10,-13,-10,-12,-10,-14,-12,-14,-10,-10,-13,-10,-10,-10,-16,-11,-10,-10,-15,-12,-13,-11,-17,-11,-10,-10,-10,-10,-10,-11,-10,-11,-10,-10,-12,-10,-11,-14,-11,-25,-14,-11,-11,-11,-11
1,-10.23,-13.23,-12.23,-12.23,-16.23,-10.23,-12.23,-16.23,-13.23,-10.23,-10.23,-11.23,-11.23,-13.23,-15.23,-10.23,-13.23,-10.23,-11.23,-11.23,-11.23,-12.23,-14.23,-10.23,-11.23,-10.23,-12.23,-10.23,-15.23,-16.23,-16.23,-15.23,-13.23,-10.23,-10.23,-13.23,-10.23,-10.23,-11.23,-10.23,-12.23,-11.23,-11.23,-15.23,-10.23,-17.23,-11.23,-10.23,-15.23,-12.23,-13.23,-10.23,-11.23,-11.23,-10.23,-11.23,-13.23,-19.23,-10.23,-11.23,-10.23,-11.23,-10.23,-11.23,-10.23,-12.23,-15.23,-10.23,-11.23,-10.23,-11.23,-10.23,-12.23,-14.23,-12.23,-12.23,-13.23,-11.23,-10.23,-10.23,-10.23,-12.23,-17.23,-10.23,-12.23,-13.23,-11.23,-11.23,-11.23,-13.23,-13.23,-10.23,-10.23,-11.23,-10.23,-10.23,-11.23,-10.23,-10.23,-10.23,-11.23,-11.23,-13.23,-10.23,-10.23,-11.23,-10.23,-14.23,-14.23,-10.23,-11.23,-14.23,-15.23,-10.23,-10.23,-10.23,-13.23,-10.23,-11.23,-14.23,-10.23,-13.23,-10.23,-10.23,-14.23,-11.23,-10.23,-10.23,-10.23,-10.23,-10.23,-16.23,-13.23,-13.23,-11.23,-10.23,-11.23,-12.23,-12.23,-10.23,-17.23,-15.23,-11.23,-12.23,-10.23,-11.23,-10.23,-10.23,-11.23,-13.23,-15.23,-12.23,-13.23,-11.23,-10.23,-10.23,-13.23,-10.23,-12.23,-10.23,-14.23,-12.23,-14.23,-10.23,-10.23,-13.23,-10.23,-10.23,-10.23,-16.23,-11.23,-10.23,-10.23,-15.23,-12.23,-13.23,-11.23,-17.23,-11.23,-10.23,-10.23,-10.23,-10.23,-10.23,-11.23,-10.23,-11.23,-10.23,-10.23,-12.23,-10.23,-11.23,-14.23,-11.23,-25.23,-14.23,-11.23,-11.23,-11.23,-11.23
2,-10.23,-12.96,-11.96,-11.96,-16.23,-10.23,-12.23,-16.23,-13.23,-10.23,-10.23,-11.23,-11.23,-13.23,-14.96,-10.23,-13.23,-10.23,-11.23,-11.23,-11.23,-12.23,-14.23,-10.5,-10.96,-10.23,-12.23,-10.23,-15.23,-16.23,-16.23,-15.23,-12.96,-10.23,-10.23,-13.23,-10.23,-10.23,-11.23,-10.23,-12.23,-11.23,-10.96,-15.23,-10.5,-17.23,-10.96,-10.23,-15.23,-12.23,-13.23,-10.23,-11.23,-11.23,-10.23,-11.23,-13.23,-19.23,-9.69,-11.5,-10.5,-11.23,-9.96,-11.23,-10.23,-12.23,-15.23,-9.96,-11.23,-10.23,-11.23,-10.23,-12.23,-14.23,-11.96,-12.23,-13.5,-10.96,-10.23,-10.23,-10.23,-12.23,-17.23,-10.23,-12.23,-13.23,-11.23,-11.23,-10.96,-13.23,-13.23,-10.23,-10.23,-11.23,-10.23,-10.23,-10.96,-9.96,-10.23,-10.23,-11.23,-11.23,-13.23,-9.96,-10.23,-11.5,-10.5,-14.23,-14.23,-10.23,-11.23,-14.23,-15.23,-10.23,-10.23,-9.96,-13.23,-10.23,-11.23,-14.5,-10.23,-13.23,-10.23,-10.23,-14.23,-11.23,-10.23,-9.96,-10.23,-9.69,-9.96,-16.23,-13.23,-13.23,-10.96,-10.23,-11.23,-11.96,-12.23,-9.96,-17.23,-15.5,-10.69,-12.23,-10.23,-11.5,-10.23,-9.69,-11.5,-12.96,-15.23,-12.23,-13.23,-11.23,-10.23,-10.23,-13.23,-9.96,-12.23,-9.69,-14.23,-11.96,-14.5,-10.23,-9.96,-13.23,-9.96,-10.23,-10.23,-15.96,-11.23,-10.23,-9.96,-14.96,-12.23,-13.23,-11.23,-17.23,-10.96,-10.23,-9.96,-9.96,-10.23,-10.23,-11.23,-10.5,-11.23,-10.23,-10.23,-12.5,-10.23,-11.23,-14.23,-11.23,-24.96,-13.96,-11.23,-11.23,-11.5,-10.96
3,-10.23,-13.26,-12.26,-12.26,-16.23,-10.23,-12.23,-16.23,-13.23,-10.23,-10.23,-11.23,-11.23,-13.23,-15.26,-10.23,-13.23,-10.23,-11.23,-11.23,-11.23,-12.23,-14.23,-10.5,-11.26,-10.53,-12.23,-10.23,-15.23,-16.23,-16.23,-15.23,-13.26,-10.23,-10.23,-13.23,-10.23,-10.23,-11.23,-10.23,-12.23,-11.23,-11.26,-14.93,-10.5,-17.23,-11.26,-10.23,-15.23,-12.23,-13.23,-10.23,-11.23,-11.23,-10.23,-11.23,-13.23,-19.23,-9.99,-11.5,-10.5,-11.23,-10.26,-11.23,-10.23,-11.93,-15.23,-10.26,-11.23,-10.23,-11.23,-10.23,-12.23,-14.23,-12.26,-12.23,-13.5,-11.26,-10.23,-10.23,-10.23,-12.23,-17.23,-10.23,-12.23,-13.23,-11.23,-11.23,-11.26,-13.23,-13.23,-10.23,-10.23,-10.93,-10.23,-10.23,-11.26,-10.26,-10.23,-10.23,-11.23,-11.23,-13.23,-10.26,-10.23,-11.5,-10.5,-14.23,-14.23,-10.23,-11.23,-14.23,-15.23,-10.23,-10.23,-10.26,-13.23,-10.23,-11.23,-14.5,-10.23,-13.23,-10.23,-10.23,-14.23,-11.23,-10.23,-10.26,-10.23,-9.99,-10.26,-16.23,-13.23,-13.23,-11.26,-10.23,-11.23,-12.26,-12.23,-10.26,-17.23,-15.5,-10.99,-12.23,-10.23,-11.5,-10.23,-9.99,-11.5,-13.26,-15.23,-12.23,-13.23,-11.23,-10.23,-10.23,-13.23,-10.26,-12.23,-9.99,-14.23,-12.26,-14.5,-10.23,-10.26,-13.53,-10.26,-10.23,-10.23,-16.26,-11.23,-10.23,-10.26,-15.26,-12.23,-13.23,-11.23,-17.23,-11.26,-10.23,-10.26,-10.26,-10.23,-10.23,-11.23,-10.5,-11.23,-10.53,-10.23,-12.5,-10.23,-11.23,-14.23,-11.23,-25.26,-14.26,-11.23,-11.23,-11.5,-11.26
4,-10.23,-13.02,-12.02,-12.02,-16.23,-10.47,-12.23,-16.23,-13.23,-10.23,-10.47,-11.23,-11.23,-13.23,-15.02,-10.23,-13.23,-10.23,-11.23,-11.23,-11.23,-12.23,-14.23,-10.5,-11.02,-10.53,-12.23,-10.23,-15.23,-16.23,-16.23,-15.23,-13.02,-10.23,-10.47,-13.23,-10.23,-10.23,-11.23,-10.23,-12.23,-11.23,-11.02,-15.17,-10.5,-17.23,-11.02,-10.23,-15.23,-12.23,-13.23,-10.23,-11.23,-11.23,-10.23,-11.23,-13.23,-19.23,-10.23,-11.5,-10.5,-11.23,-10.02,-11.23,-10.23,-12.17,-15.23,-10.02,-11.23,-10.23,-11.23,-10.23,-12.23,-14.23,-12.02,-12.47,-13.5,-11.02,-10.23,-10.23,-10.23,-12.23,-17.23,-10.23,-12.23,-13.47,-11.23,-11.23,-11.02,-13.23,-13.23,-10.23,-10.23,-11.17,-10.23,-10.47,-11.02,-10.02,-10.23,-10.23,-11.23,-11.23,-13.23,-10.02,-10.23,-11.5,-10.5,-14.23,-14.23,-10.47,-11.47,-14.23,-15.23,-10.23,-10.23,-10.02,-13.23,-10.23,-11.23,-14.5,-10.23,-13.23,-10.47,-10.23,-14.23,-11.23,-10.23,-10.02,-10.23,-10.23,-10.02,-16.23,-13.23,-13.23,-11.02,-10.23,-11.23,-12.02,-12.23,-10.02,-17.23,-15.5,-11.23,-12.23,-10.23,-11.5,-10.23,-10.23,-11.5,-13.02,-15.23,-12.23,-13.23,-11.23,-10.23,-10.23,-13.23,-9.78,-12.47,-10.23,-14.47,-12.02,-14.5,-10.23,-10.02,-13.53,-10.02,-10.23,-10.23,-16.02,-11.23,-10.23,-10.26,-15.02,-12.23,-13.23,-11.23,-17.23,-11.02,-10.23,-10.02,-10.02,-10.23,-10.23,-11.23,-10.5,-11.23,-10.53,-10.23,-12.5,-10.23,-11.23,-14.23,-11.47,-25.02,-14.02,-11.23,-11.23,-11.5,-11.02
5,-10.23,-12.73,-11.73,-11.73,-16.23,-10.47,-12.23,-16.23,-13.23,-10.23,-10.47,-11.23,-11.23,-13.23,-14.73,-10.23,-13.23,-10.23,-11.23,-11.23,-11.23,-12.23,-14.23,-10.5,-10.73,-10.53,-12.23,-10.23,-15.23,-16.52,-16.23,-15.23,-13.02,-10.23,-10.47,-13.52,-10.23,-10.23,-11.23,-10.23,-12.23,-11.23,-11.02,-14.89,-10.5,-17.23,-11.3,-10.23,-15.23,-12.23,-13.23,-10.23,-11.23,-11.23,-10.23,-11.23,-13.23,-19.23,-9.66,-11.5,-10.5,-11.23,-9.73,-11.23,-10.23,-12.17,-15.23,-9.73,-11.23,-10.23,-11.23,-10.23,-12.23,-14.23,-11.73,-12.47,-13.5,-11.02,-10.23,-10.23,-10.23,-12.23,-17.23,-10.52,-12.23,-13.47,-11.23,-11.23,-10.73,-13.23,-13.23,-10.23,-10.23,-11.17,-10.23,-10.47,-10.73,-9.73,-10.23,-10.23,-11.23,-11.23,-13.23,-10.3,-10.23,-11.5,-10.5,-14.52,-14.23,-10.47,-11.47,-14.23,-15.23,-10.23,-10.23,-9.73,-13.52,-10.23,-11.23,-14.5,-10.23,-13.23,-10.47,-10.23,-14.23,-11.23,-10.23,-9.73,-10.23,-9.95,-9.73,-16.23,-13.23,-13.23,-11.02,-10.23,-11.23,-11.73,-12.23,-9.73,-17.23,-15.5,-10.66,-12.23,-10.23,-11.5,-10.23,-9.66,-11.5,-12.73,-15.23,-12.23,-13.23,-11.23,-10.23,-10.23,-13.23,-10.06,-12.47,-9.66,-14.47,-11.73,-14.5,-10.23,-10.02,-13.53,-9.73,-10.23,-10.23,-16.02,-11.23,-10.23,-9.97,-14.73,-12.23,-13.23,-11.23,-17.23,-11.02,-10.23,-10.02,-9.73,-10.23,-10.23,-11.23,-10.5,-11.23,-10.53,-10.23,-12.5,-10.23,-11.23,-14.23,-11.47,-25.02,-13.73,-11.23,-11.23,-11.5,-11.02
6,-10.23,-13.1,-12.1,-12.1,-16.23,-10.47,-12.23,-16.23,-13.23,-10.23,-10.47,-11.23,-11.23,-13.23,-15.1,-10.23,-13.23,-10.23,-11.23,-11.23,-11.23,-12.23,-14.23,-10.5,-11.1,-10.53,-12.23,-10.23,-15.23,-16.52,-16.23,-15.23,-13.02,-10.23,-10.47,-13.52,-10.23,-10.23,-11.23,-10.23,-12.23,-11.6,-11.02,-15.26,-10.5,-17.23,-10.94,-10.23,-15.6,-12.23,-13.23,-10.23,-11.23,-11.23,-10.23,-11.6,-13.23,-19.23,-10.03,-11.5,-10.5,-11.23,-10.1,-11.23,-10.23,-12.17,-15.23,-10.1,-11.23,-10.23,-11.23,-10.23,-12.23,-14.23,-12.1,-12.47,-13.5,-11.02,-10.23,-10.6,-10.23,-12.23,-17.23,-10.52,-12.23,-13.47,-11.23,-11.23,-11.1,-13.23,-13.23,-10.23,-10.23,-11.17,-10.23,-10.47,-11.1,-10.1,-10.23,-10.23,-11.23,-11.23,-13.23,-9.94,-10.23,-11.5,-10.5,-14.52,-14.23,-10.47,-11.47,-14.23,-15.23,-10.23,-10.23,-10.1,-13.52,-10.23,-11.23,-14.5,-10.23,-13.23,-10.47,-10.23,-14.23,-11.23,-10.23,-10.1,-10.23,-10.32,-10.1,-16.23,-13.23,-13.23,-11.02,-10.23,-11.23,-12.1,-12.23,-10.1,-17.23,-15.5,-11.03,-12.23,-10.23,-11.5,-10.23,-10.03,-11.5,-13.1,-15.23,-12.23,-13.23,-11.23,-10.23,-10.23,-13.23,-9.69,-12.47,-10.03,-14.47,-12.1,-14.5,-10.23,-10.02,-13.53,-10.1,-10.23,-10.23,-16.02,-11.23,-10.23,-10.34,-15.1,-12.23,-13.23,-11.23,-17.23,-11.02,-10.23,-9.65,-10.1,-10.23,-10.23,-11.23,-10.5,-11.23,-10.53,-10.23,-12.5,-10.23,-11.23,-14.23,-11.47,-24.65,-14.1,-11.23,-11.23,-11.5,-11.02
7,-10.23,-12.75,-11.75,-11.75,-16.23,-10.47,-12.23,-16.23,-13.23,-10.23,-10.47,-11.23,-11.23,-13.23,-14.75,-10.23,-13.23,-10.23,-11.23,-11.23,-11.23,-12.23,-14.23,-10.5,-10.75,-10.53,-12.23,-10.23,-15.23,-16.52,-16.23,-15.23,-13.02,-10.23,-10.47,-13.52,-10.23,-10.23,-11.23,-10.23,-12.23,-11.6,-11.02,-14.91,-10.5,-17.23,-11.29,-10.23,-15.6,-12.23,-13.23,-10.23,-11.23,-11.23,-10.23,-11.6,-13.23,-19.23,-9.68,-11.5,-10.5,-11.58,-9.75,-11.23,-10.23,-12.17,-15.23,-9.75,-11.23,-10.23,-11.23,-10.23,-12.23,-14.23,-11.75,-12.47,-13.5,-11.02,-10.23,-10.6,-10.23,-12.23,-17.23,-10.52,-12.23,-13.47,-11.23,-11.23,-10.75,-13.23,-13.23,-10.23,-10.23,-11.17,-10.23,-10.47,-10.75,-9.75,-10.23,-10.23,-11.23,-11.23,-13.23,-10.29,-10.23,-11.5,-10.5,-14.52,-14.23,-10.47,-11.47,-14.23,-15.23,-10.23,-10.23,-9.75,-13.52,-10.23,-11.23,-14.5,-10.23,-13.23,-10.47,-10.23,-14.23,-11.23,-10.23,-9.75,-10.23,-9.97,-9.75,-16.23,-13.23,-13.23,-11.02,-10.23,-11.23,-11.75,-12.23,-9.75,-17.23,-15.5,-10.33,-12.23,-10.23,-11.5,-10.23,-9.33,-11.5,-12.75,-15.23,-12.23,-13.23,-11.23,-10.23,-10.23,-13.23,-10.04,-12.47,-10.38,-14.47,-11.75,-14.5,-10.23,-10.02,-13.53,-9.75,-10.23,-10.23,-16.02,-11.23,-10.23,-10.34,-14.75,-12.23,-13.23,-11.23,-17.23,-11.02,-10.23,-10.0,-9.75,-10.23,-10.23,-11.23,-10.5,-11.23,-10.53,-10.23,-12.5,-10.23,-11.23,-14.23,-11.47,-25.0,-13.75,-11.23,-11.23,-11.5,-11.02
8,-10.23,-13.1,-12.1,-12.1,-16.23,-10.47,-12.23,-16.23,-13.23,-10.23,-10.47,-11.23,-11.23,-13.23,-15.1,-10.23,-13.23,-10.23,-11.23,-11.23,-11.23,-12.23,-14.23,-10.5,-11.1,-10.53,-12.23,-10.23,-15.23,-16.52,-16.23,-15.23,-13.02,-10.23,-10.47,-13.52,-10.23,-10.23,-11.23,-10.23,-12.23,-11.6,-11.02,-15.26,-10.5,-17.23,-10.94,-10.23,-15.6,-12.23,-13.23,-10.23,-11.23,-11.23,-10.23,-11.6,-13.23,-19.23,-10.03,-11.5,-10.5,-11.58,-10.1,-11.58,-10.23,-12.17,-15.23,-10.1,-11.23,-10.23,-11.23,-10.23,-12.23,-14.23,-12.1,-12.47,-13.5,-11.02,-10.23,-10.6,-10.23,-12.23,-17.23,-10.52,-12.23,-13.47,-11.23,-11.23,-11.1,-13.23,-13.23,-10.23,-10.23,-11.17,-10.23,-10.47,-11.1,-10.1,-10.23,-10.23,-11.23,-11.23,-13.23,-10.29,-10.23,-11.5,-10.5,-14.52,-14.23,-10.47,-11.47,-14.23,-15.23,-10.23,-10.23,-10.1,-13.52,-10.23,-11.23,-14.5,-10.23,-13.23,-10.47,-10.23,-14.23,-11.23,-10.23,-10.1,-10.23,-10.32,-10.1,-16.23,-13.23,-13.23,-11.02,-10.23,-11.23,-12.1,-12.23,-10.1,-17.23,-15.5,-10.68,-12.23,-10.23,-11.5,-10.23,-9.68,-11.5,-13.1,-15.23,-12.23,-13.23,-11.23,-10.58,-10.23,-13.23,-9.69,-12.47,-9.68,-14.47,-12.1,-14.5,-10.58,-10.02,-13.53,-10.1,-10.23,-10.23,-16.02,-11.23,-10.23,-10.34,-15.1,-12.23,-13.23,-11.23,-17.23,-11.02,-10.23,-9.65,-10.1,-10.23,-10.23,-11.23,-10.5,-11.23,-10.53,-10.23,-12.85,-10.58,-11.23,-14.23,-11.47,-24.65,-14.1,-11.23,-11.23,-11.5,-11.02
9,-10.23,-12.71,-11.71,-11.71,-16.23,-10.47,-12.23,-16.23,-13.23,-10.23,-10.47,-11.23,-11.23,-13.23,-14.71,-10.23,-13.23,-10.23,-11.23,-11.23,-11.23,-12.23,-14.23,-10.5,-10.71,-10.53,-12.23,-10.23,-15.23,-16.52,-16.23,-15.23,-13.41,-10.23,-10.47,-13.52,-10.23,-10.23,-11.23,-10.23,-12.23,-11.6,-11.02,-14.87,-10.5,-17.23,-11.33,-10.23,-15.6,-12.23,-13.23,-10.23,-11.23,-11.62,-10.23,-11.6,-13.23,-19.23,-9.64,-11.5,-10.5,-11.58,-9.71,-11.58,-10.23,-12.17,-15.23,-9.71,-11.23,-10.23,-11.23,-10.23,-12.23,-14.23,-11.71,-12.47,-13.5,-11.02,-10.23,-10.6,-10.23,-12.23,-17.23,-10.52,-12.23,-13.47,-11.23,-11.23,-10.71,-13.23,-13.23,-10.62,-10.23,-11.17,-10.23,-10.47,-10.71,-9.71,-10.23,-10.23,-11.23,-11.23,-13.23,-9.9,-10.23,-11.5,-10.5,-14.52,-14.23,-10.47,-11.47,-14.23,-15.23,-10.23,-10.23,-9.71,-13.52,-10.23,-11.23,-14.5,-10.23,-13.23,-10.47,-10.62,-14.23,-11.23,-10.23,-10.1,-10.23,-9.93,-9.71,-16.23,-13.23,-13.23,-11.02,-10.23,-11.23,-11.71,-12.23,-9.71,-17.23,-15.5,-11.07,-12.23,-10.23,-11.5,-10.23,-10.07,-11.5,-12.71,-15.23,-12.23,-13.23,-11.23,-10.58,-10.23,-13.23,-10.08,-12.47,-10.07,-14.47,-11.71,-14.5,-10.58,-10.02,-13.53,-9.71,-10.23,-10.23,-16.02,-11.23,-10.23,-10.34,-14.71,-12.23,-13.23,-11.23,-17.23,-11.02,-10.23,-10.04,-9.71,-10.23,-10.23,-11.23,-10.5,-11.23,-10.53,-10.23,-12.85,-10.58,-11.23,-14.23,-11.47,-25.04,-13.71,-11.23,-11.23,-11.5,-11.02
