iteration,local_LB,local_UB,LB,UB,gap,un_served,repeat_served
0,2337.0,2383,2337.0,2383,0.019,,
1,2329.87,2356,2337.0,2356,0.008,,
2,2333.89,2351,2337.0,2351,0.006,,
3,2330.15,2369,2337.0,2351,0.006,,
4,2335.01,2357,2337.0,2351,0.006,,
5,2329.801,2351,2337.0,2351,0.006,,
6,2333.166,2351,2337.0,2351,0.006,,
7,2330.075,2354,2337.0,2351,0.006,,
8,2332.66,2355,2337.0,2351,0.006,,
9,2329.528,2349,2337.0,2349,0.005,,
10,2334.693,2352,2337.0,2349,0.005,,
11,2329.676,2345,2337.0,2345,0.003,,
Running time: 7.64 sec
