iteration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,-10,-19,-24,-10,-16,-17,-11,-11,-21,-10,-18,-27,-37,-13,-13,-11,-11,-11,-18,-19,-23,-27,-15,-18,-21,-11,-17,-27,-16,-12,-11,-11,-14,-10,-25,-12,-32,-26,-12,-12,-15,-15,-22,-13,-11,-13,-22,-10,-13,-16,-14,-20,-11,-19,-17,-31,-11,-23,-19,-11,-20,-15,-39,-15,-10,-11,-20,-10,-28,-20,-10,-11,-20,-21,-14,-21,-29,-22,-18,-21,-17,-11,-13,-13,-15,-23,-19,-13,-16,-17,-10,-16,-10,-10,-18,-11,-16,-21,-27,-17
1,-10.07,-19.07,-24.07,-10.07,-16.07,-17.07,-11.07,-11.07,-21.07,-10.07,-18.07,-27.07,-37.07,-13.07,-13.07,-11.07,-11.07,-11.07,-18.07,-19.07,-23.07,-27.07,-15.07,-18.07,-21.07,-11.07,-17.07,-27.07,-16.07,-12.07,-11.07,-11.07,-14.07,-10.07,-25.07,-12.07,-32.07,-26.07,-12.07,-12.07,-15.07,-15.07,-22.07,-13.07,-11.07,-13.07,-22.07,-10.07,-13.07,-16.07,-14.07,-20.07,-11.07,-19.07,-17.07,-31.07,-11.07,-23.07,-19.07,-11.07,-20.07,-15.07,-39.07,-15.07,-10.07,-11.07,-20.07,-10.07,-28.07,-20.07,-10.07,-11.07,-20.07,-21.07,-14.07,-21.07,-29.07,-22.07,-18.07,-21.07,-17.07,-11.07,-13.07,-13.07,-15.07,-23.07,-19.07,-13.07,-16.07,-17.07,-10.07,-16.07,-10.07,-10.07,-18.07,-11.07,-16.07,-21.07,-27.07,-17.07
2,-10.07,-19.07,-24.07,-10.07,-16.07,-17.07,-11.07,-11.07,-21.07,-10.07,-18.88,-27.07,-36.27,-13.07,-13.07,-11.07,-11.07,-11.07,-18.07,-19.07,-23.07,-27.07,-15.07,-18.07,-21.07,-11.07,-17.07,-27.88,-16.07,-12.07,-11.07,-11.07,-14.07,-10.07,-25.07,-12.07,-32.07,-26.88,-12.07,-12.07,-15.07,-14.27,-22.07,-13.07,-11.07,-13.07,-22.07,-10.07,-13.07,-16.07,-14.07,-20.07,-10.27,-19.07,-17.07,-31.07,-11.07,-23.07,-19.07,-11.07,-20.07,-15.07,-39.07,-15.07,-10.07,-11.07,-20.07,-10.07,-28.07,-20.07,-10.07,-11.07,-20.07,-21.07,-13.27,-21.07,-29.07,-22.07,-18.07,-21.07,-17.07,-11.07,-13.07,-13.07,-15.07,-23.07,-19.07,-13.07,-16.88,-17.07,-10.07,-16.07,-10.07,-10.07,-18.07,-11.07,-16.07,-21.07,-26.27,-17.07
3,-10.07,-19.07,-24.07,-10.07,-16.07,-17.07,-11.07,-11.07,-21.07,-10.07,-18.88,-27.07,-36.89,-13.07,-13.07,-11.07,-11.07,-11.07,-18.07,-19.07,-23.07,-27.07,-15.07,-18.07,-21.07,-11.07,-17.07,-27.88,-16.07,-12.07,-11.07,-11.07,-14.07,-10.07,-25.07,-12.07,-32.07,-26.88,-12.07,-12.07,-15.07,-14.89,-22.07,-13.07,-11.07,-13.07,-22.07,-10.07,-13.07,-16.07,-14.07,-20.07,-10.89,-19.07,-17.07,-31.07,-11.07,-23.07,-19.07,-11.07,-20.07,-15.07,-39.07,-15.07,-10.07,-11.07,-20.07,-10.07,-28.07,-20.07,-10.07,-11.07,-20.07,-21.7,-13.89,-21.07,-29.07,-22.07,-18.07,-21.07,-17.07,-11.07,-13.07,-13.07,-15.07,-23.7,-19.07,-13.07,-16.88,-17.07,-10.07,-16.07,-10.07,-10.07,-18.07,-11.07,-16.7,-21.07,-26.89,-17.07
4,-10.07,-19.07,-24.07,-10.07,-16.07,-17.07,-11.07,-11.07,-21.07,-10.07,-18.88,-27.07,-37.52,-13.07,-13.07,-11.07,-11.07,-11.07,-18.07,-19.07,-23.07,-27.07,-15.07,-18.07,-21.07,-11.07,-17.07,-27.88,-16.07,-12.07,-11.07,-11.07,-14.07,-10.07,-25.07,-12.07,-32.07,-26.88,-12.07,-12.07,-15.07,-15.52,-22.07,-13.7,-11.07,-13.07,-22.07,-10.07,-13.07,-16.07,-14.07,-20.07,-11.52,-19.7,-17.07,-31.07,-11.07,-23.07,-19.07,-11.07,-20.07,-15.07,-39.07,-15.7,-10.07,-11.07,-20.07,-10.07,-28.07,-20.07,-10.07,-11.07,-20.07,-21.7,-14.52,-21.07,-29.07,-22.07,-18.07,-21.07,-17.07,-11.07,-13.07,-13.07,-15.07,-23.7,-19.07,-13.07,-16.88,-17.07,-10.07,-16.07,-10.07,-10.07,-18.07,-11.07,-16.7,-21.07,-27.52,-17.07
5,-10.07,-19.53,-24.53,-10.07,-16.07,-17.07,-11.07,-11.07,-21.07,-10.07,-18.88,-27.07,-37.06,-13.07,-13.53,-11.07,-11.07,-11.07,-18.07,-19.07,-23.07,-27.07,-15.07,-18.07,-21.07,-11.07,-17.07,-27.88,-16.07,-12.07,-11.07,-11.07,-14.07,-10.07,-25.07,-12.07,-32.07,-26.88,-12.07,-12.07,-15.07,-15.06,-22.07,-13.7,-11.07,-13.07,-22.07,-10.07,-13.07,-16.07,-14.07,-20.07,-11.06,-19.7,-17.07,-31.07,-11.07,-23.07,-19.07,-11.07,-20.07,-15.07,-39.07,-15.7,-10.07,-11.07,-20.07,-10.07,-28.07,-20.07,-10.07,-11.07,-20.07,-21.7,-14.06,-21.07,-29.53,-22.07,-18.07,-21.07,-17.07,-11.07,-13.07,-13.07,-15.07,-23.7,-19.07,-13.07,-16.88,-17.07,-10.53,-16.07,-10.07,-10.07,-18.53,-11.07,-16.7,-21.07,-27.06,-17.07
6,-10.07,-19.53,-24.53,-10.07,-16.07,-17.07,-11.07,-11.69,-21.07,-10.07,-18.88,-27.07,-37.06,-13.07,-13.53,-11.07,-11.07,-11.07,-18.07,-19.69,-23.07,-27.07,-15.07,-18.07,-21.07,-11.69,-17.07,-27.88,-16.07,-12.07,-11.07,-11.07,-14.07,-10.07,-25.07,-12.07,-32.07,-26.88,-12.69,-12.07,-15.07,-14.44,-22.69,-13.7,-11.07,-13.07,-22.07,-10.07,-13.07,-16.07,-14.07,-20.07,-11.06,-19.7,-17.07,-31.07,-11.07,-23.07,-19.07,-11.07,-20.07,-15.07,-39.07,-15.7,-10.07,-11.07,-20.07,-10.07,-28.07,-20.07,-10.07,-11.07,-20.07,-21.7,-13.44,-21.07,-29.53,-22.07,-18.07,-21.07,-17.07,-11.07,-13.07,-13.07,-15.07,-23.7,-19.07,-13.07,-16.88,-17.07,-10.53,-16.07,-10.07,-10.07,-18.53,-11.07,-16.7,-21.07,-26.44,-17.07
7,-10.07,-20.15,-25.15,-10.07,-16.07,-17.07,-11.07,-11.69,-21.07,-10.07,-18.88,-27.07,-37.06,-13.07,-13.53,-11.07,-11.07,-11.07,-18.07,-19.69,-23.07,-27.07,-15.07,-18.07,-21.07,-11.69,-17.07,-27.88,-16.07,-12.07,-11.07,-11.07,-14.07,-10.07,-25.07,-12.07,-32.07,-26.88,-12.69,-12.07,-15.07,-15.06,-22.69,-13.7,-11.69,-13.07,-22.07,-10.07,-13.07,-16.07,-14.07,-20.07,-11.06,-19.7,-17.07,-31.07,-11.07,-23.07,-19.07,-11.07,-20.07,-15.07,-39.07,-15.7,-10.07,-11.69,-20.07,-10.07,-28.07,-20.07,-10.07,-11.07,-20.07,-21.7,-14.06,-21.07,-29.53,-22.07,-18.07,-21.07,-17.07,-11.07,-13.07,-13.07,-15.07,-23.7,-19.07,-13.07,-16.88,-17.07,-11.15,-16.07,-10.07,-10.07,-18.53,-11.07,-16.7,-21.07,-27.06,-17.07
8,-10.07,-20.15,-24.57,-10.07,-16.07,-17.07,-11.07,-11.69,-21.07,-10.07,-18.88,-27.07,-37.06,-13.07,-14.1,-11.07,-11.07,-11.07,-18.07,-19.69,-23.07,-27.07,-15.07,-18.07,-21.07,-11.69,-17.07,-27.88,-16.07,-12.07,-11.07,-11.07,-14.07,-10.07,-25.07,-12.07,-32.07,-26.88,-12.69,-12.65,-15.07,-14.49,-22.69,-13.7,-11.69,-13.07,-22.07,-10.07,-13.07,-16.07,-14.07,-20.07,-11.06,-19.7,-17.07,-31.07,-11.07,-23.07,-19.07,-11.07,-20.07,-15.07,-39.07,-15.7,-10.07,-11.69,-20.07,-10.07,-28.07,-20.07,-10.07,-11.07,-20.07,-21.7,-13.49,-21.07,-29.53,-22.07,-18.07,-21.07,-17.07,-11.07,-13.07,-13.07,-15.07,-24.27,-19.07,-13.07,-16.88,-17.07,-11.15,-16.07,-10.07,-10.07,-18.53,-11.07,-17.27,-21.07,-26.49,-17.07
9,-10.07,-20.15,-24.57,-10.07,-16.07,-17.07,-11.07,-11.69,-21.07,-10.07,-18.88,-27.07,-37.06,-13.07,-14.1,-11.07,-11.07,-11.07,-18.07,-19.69,-23.07,-27.07,-15.07,-18.07,-21.07,-11.69,-17.07,-27.88,-16.07,-12.07,-11.07,-11.07,-14.07,-10.07,-25.07,-12.07,-32.07,-26.88,-12.69,-12.65,-15.07,-15.25,-22.69,-14.46,-11.69,-13.07,-22.07,-10.07,-13.07,-16.07,-14.07,-20.07,-11.06,-20.46,-17.07,-31.07,-11.07,-23.07,-19.07,-11.07,-20.07,-15.07,-39.07,-15.7,-10.07,-11.69,-20.07,-10.07,-28.07,-20.07,-10.07,-11.07,-20.07,-22.46,-14.25,-21.07,-29.53,-22.07,-18.07,-21.07,-17.07,-11.07,-13.07,-13.07,-15.07,-24.27,-19.07,-13.07,-16.88,-17.07,-11.15,-16.07,-10.07,-10.07,-18.53,-11.07,-17.27,-21.07,-27.25,-17.07
