iteration,local_LB,local_UB,LB,UB,gap,un_served,repeat_served
0,3263.0,16917,3263.0,100000,0.967,_31_36_39_43_44_52_55_73_77_83_87_95_96_100_101_102_108_109_112_117_143_158_163_164_176_190_196_197,
1,3263.0,20241,3263.0,20241,0.839,_6_13_15_19_33_37_41_45_57_60_66_70_72_74_81_88_110_126_129_130_133_134_137_139_145_153_154_160_174_178_179_182_188_191_199,
2,3272.0,20690,3272.0,20241,0.838,_4_18_20_23_29_30_31_53_58_67_82_83_90_92_94_107_109_113_116_120_128_132_136_141_143_147_148_158_164_169_176_177_185_189_190_192,
3,3281.0,23146,3281.0,20241,0.838,_0_5_6_13_24_28_42_44_47_49_51_52_54_60_69_77_79_81_93_96_101_103_111_112_118_123_125_130_137_142_145_146_149_152_162_167_171_174_183_188_195,
4,3294.0,19305,3294.0,19305,0.829,_1_2_31_36_37_41_48_57_64_65_74_87_100_105_106_109_114_117_121_124_138_150_154_158_161_163_164_170_172_173_175_176_190,
5,3298.0,22181,3298.0,19305,0.829,_13_14_15_19_22_25_28_32_40_44_49_52_59_60_63_66_68_76_78_83_91_96_98_99_108_110_112_127_130_134_145_151_165_168_178_186_187_188_194,
6,3307.0,22125,3307.0,19305,0.829,_3_4_6_9_10_11_21_23_29_31_34_39_50_67_70_75_81_85_88_92_95_109_113_116_126_128_133_136_137_144_159_160_164_166_169_176_177_179_181,
7,3318.0,18300,3318.0,18300,0.819,_17_27_28_36_37_41_43_45_46_49_55_62_74_77_80_83_101_102_112_115_119_131_139_141_143_158_163_174_190_191_199,
8,3325.0,19704,3325.0,18300,0.818,_13_15_16_26_31_53_57_61_72_86_87_90_96_100_104_107_109_110_117_129_130_132_145_147_154_156_164_176_180_182_188_189_193_196,
9,3332.0,21698,3332.0,18300,0.818,_5_7_12_18_19_20_30_55_56_58_59_60_66_71_81_83_89_97_111_123_133_134_135_137_140_142_148_153_158_169_171_174_178_184_185_190_192_197,
10,3341.0,19247,3341.0,18300,0.817,_4_13_21_28_31_39_42_49_52_65_82_92_93_94_95_96_103_106_108_112_113_116_120_122_128_146_161_164_175_176_177_179_198,
11,3347.0,18287,3347.0,18287,0.817,_24_33_37_41_45_48_57_63_64_69_70_74_101_105_114_117_124_126_130_136_141_145_150_152_158_160_165_168_172_188_199,
12,3353.0,19816,3353.0,18287,0.817,_2_6_14_23_31_43_54_55_66_72_73_77_80_81_83_84_87_88_99_102_121_137_138_154_157_159_162_163_166_170_181_190_191_195,
13,3362.0,17763,3362.0,17763,0.811,_13_15_20_28_36_38_44_49_53_60_62_79_90_95_96_100_110_112_119_129_131_143_148_149_155_164_173_176_182_185,
14,3370.0,16889,3370.0,16889,0.8,_12_18_19_34_39_55_58_59_76_93_108_109_118_120_123_132_134_147_153_158_178_183_187_188_189_190_196_197,
15,3374.0,20211,3374.0,16889,0.8,_0_1_5_9_21_24_25_31_41_46_47_50_51_65_74_77_85_91_104_105_106_111_125_130_139_141_142_146_150_151_167_169_174_177_179,
16,3384.0,17821,3384.0,16889,0.8,_6_8_32_35_37_40_42_49_60_63_68_78_80_81_99_101_102_114_117_137_145_156_159_161_163_164_168_171_172_175,
17,3386.0,16895,3386.0,16889,0.8,_28_33_43_45_48_67_70_72_82_83_87_92_95_96_103_107_110_112_116_124_127_133_144_181_186_196_197_199,
18,3391.0,16402,3391.0,16402,0.793,_12_15_27_29_30_57_58_69_75_100_108_115_117_120_126_129_145_148_153_154_160_165_176_178_188_191_192,
