iteration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,-17,-19,-14,-11,-12,-18,-14,-16,-11,-12,-16,-23,-11,-10,-10,-15,-19,-11,-10,-13,-13,-12,-16,-10,-10,-17,-16,-12,-12,-14,-17,-12,-10,-12,-15,-14,-18,-17,-11,-10,-14,-11,-14,-13,-13,-12,-12,-13,-15,-14,-11,-12,-10,-17,-11,-10,-20,-13,-19,-18,-19,-10,-13,-11,-12,-12,-12,-13,-19,-13,-12,-15,-10,-13,-12,-10,-10,-26,-10,-13,-13,-11,-26,-19,-10,-21,-10,-11,-15,-20,-17,-21,-10,-11,-12,-11,-19,-14,-11,-14
1,-17,-19,-14,-11,-12,-18,-14,-16,-11,-12,-16,-23,-11,-10,-10,-15,-19,-11,-10,-13,-13,-12,-17,-11,-11,-17,-16,-12,-12,-14,-17,-12,-10,-12,-16,-14,-18,-18,-12,-10,-15,-11,-14,-13,-13,-12,-12,-13,-15,-15,-11,-12,-10,-17,-11,-11,-20,-13,-20,-18,-19,-10,-13,-11,-12,-12,-12,-13,-19,-13,-13,-15,-11,-14,-12,-10,-10,-26,-10,-13,-13,-11,-26,-19,-10,-21,-10,-11,-15,-20,-17,-21,-10,-12,-12,-11,-19,-14,-12,-15
2,-17,-19,-14,-11,-12,-18,-14,-16,-11,-13,-16,-23,-11,-10,-10,-15,-19,-11,-10,-13,-13,-12,-16,-11,-11,-18,-17,-12,-12,-14,-17,-12,-10,-13,-16,-14,-19,-18,-12,-10,-15,-12,-15,-13,-13,-12,-13,-13,-15,-15,-11,-12,-11,-17,-11,-11,-20,-13,-20,-18,-19,-11,-13,-11,-12,-12,-12,-13,-19,-13,-13,-15,-11,-14,-12,-11,-11,-27,-10,-13,-13,-11,-26,-19,-10,-21,-11,-11,-15,-20,-17,-21,-10,-12,-12,-11,-20,-14,-12,-15
3,-17,-19,-14,-11,-12,-18,-14,-16,-11,-13,-16,-23,-11,-10,-11,-15,-19,-11,-10,-13,-13,-13,-16,-11,-12,-18,-17,-13,-12,-14,-18,-13,-10,-13,-16,-14,-19,-18,-12,-10,-15,-12,-15,-13,-13,-12,-13,-13,-15,-15,-12,-12,-11,-17,-12,-11,-21,-14,-20,-19,-19,-11,-13,-12,-13,-13,-12,-13,-20,-13,-13,-15,-11,-14,-12,-11,-11,-27,-10,-13,-13,-11,-26,-19,-10,-21,-11,-11,-15,-20,-18,-21,-10,-12,-12,-11,-20,-14,-12,-15
4,-17,-19,-14,-12,-12,-18,-14,-16,-11,-13,-17,-23,-11,-10,-11,-15,-19,-11,-10,-13,-13,-13,-17,-11,-12,-18,-17,-13,-12,-14,-18,-13,-10,-13,-16,-15,-19,-18,-12,-10,-15,-12,-15,-13,-13,-13,-13,-13,-15,-15,-12,-12,-11,-18,-12,-11,-21,-14,-20,-19,-19,-11,-13,-12,-13,-12,-12,-13,-20,-14,-14,-15,-12,-14,-12,-11,-12,-27,-10,-13,-13,-11,-26,-19,-10,-22,-11,-11,-15,-20,-18,-21,-10,-12,-12,-11,-20,-14,-12,-15
5,-17,-19,-15,-12,-12,-18,-14,-16,-11,-13,-17,-23,-11,-10,-11,-15,-19,-11,-10,-13,-13,-13,-17,-11,-12,-19,-17,-13,-12,-14,-18,-13,-11,-13,-16,-15,-19,-19,-12,-10,-15,-12,-15,-13,-13,-13,-13,-13,-15,-15,-12,-12,-11,-18,-12,-11,-21,-14,-21,-19,-20,-11,-13,-12,-13,-13,-12,-13,-20,-14,-14,-16,-12,-14,-13,-11,-12,-27,-10,-13,-13,-11,-26,-19,-10,-22,-11,-11,-15,-21,-18,-21,-11,-12,-12,-11,-20,-14,-12,-15
6,-17,-19,-15,-12,-12,-18,-14,-16,-11,-13,-17,-23,-11,-10,-11,-15,-19,-11,-11,-13,-13,-13,-17,-11,-12,-19,-17,-14,-13,-15,-18,-13,-11,-13,-17,-15,-19,-19,-12,-10,-15,-13,-15,-13,-13,-13,-13,-13,-15,-16,-12,-12,-11,-18,-12,-11,-21,-14,-21,-19,-20,-11,-14,-12,-13,-13,-12,-14,-20,-14,-14,-16,-13,-14,-13,-11,-12,-27,-11,-13,-13,-11,-26,-19,-10,-22,-11,-11,-15,-21,-18,-21,-11,-12,-12,-11,-20,-14,-12,-15
7,-17,-19,-15,-12,-12,-18,-14,-16,-11,-13,-17,-23,-12,-10,-11,-15,-19,-11,-11,-14,-13,-14,-17,-11,-12,-19,-17,-14,-13,-15,-18,-13,-11,-14,-17,-15,-19,-19,-13,-10,-15,-13,-15,-13,-13,-13,-13,-13,-16,-15,-12,-12,-11,-18,-12,-11,-21,-14,-21,-19,-20,-11,-14,-12,-14,-13,-13,-14,-20,-14,-14,-16,-13,-14,-13,-12,-12,-27,-11,-13,-13,-11,-26,-19,-10,-22,-11,-11,-15,-21,-18,-21,-11,-12,-12,-11,-21,-14,-12,-15
8,-17,-19,-15,-13,-12,-18,-14,-17,-11,-13,-17,-23,-11,-10,-11,-15,-20,-11,-11,-13,-13,-14,-17,-11,-12,-19,-17,-14,-13,-15,-18,-13,-11,-14,-17,-15,-19,-19,-13,-10,-16,-13,-15,-14,-13,-13,-14,-13,-16,-16,-12,-12,-11,-18,-13,-11,-21,-14,-21,-19,-20,-11,-14,-12,-14,-13,-13,-14,-21,-14,-14,-16,-13,-14,-13,-12,-13,-27,-11,-13,-13,-11,-26,-19,-10,-22,-11,-11,-15,-21,-18,-21,-11,-12,-12,-11,-21,-14,-12,-15
9,-17,-19,-15,-13,-12,-18,-14,-17,-11,-14,-17,-23,-12,-10,-11,-15,-20,-11,-11,-14,-13,-14,-17,-11,-12,-19,-17,-14,-13,-15,-18,-13,-11,-14,-17,-16,-19,-19,-13,-10,-16,-13,-15,-14,-13,-13,-14,-13,-16,-16,-13,-12,-11,-18,-13,-11,-21,-14,-22,-19,-20,-11,-14,-12,-14,-13,-13,-14,-21,-14,-14,-16,-13,-14,-13,-12,-13,-27,-11,-13,-13,-11,-26,-20,-10,-22,-11,-11,-15,-21,-18,-21,-11,-12,-12,-11,-21,-14,-12,-15
