iteration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
0,-12,-12,-10,-13,-13,-10,-12,-10,-13,-11,-11,-13,-10,-12,-10,-11,-11,-12,-10,-10,-10,-12,-16,-10,-11,-10,-10,-12,-11,-15,-10,-14,-14,-10,-11,-15,-12,-11,-10,-12,-11,-10,-12,-10,-11,-14,-10,-18,-13,-10,-11,-15,-12,-12,-10,-15,-14,-12,-10,-10,-13,-13,-10,-10,-19,-10,-10,-13,-13,-10,-12,-11,-11,-10,-11,-10,-11,-10,-10,-10,-16,-10,-14,-13,-10,-14,-10,-16,-14,-13,-10,-10,-10,-10,-11,-13,-11,-11,-11,-12,-10,-12,-11,-11,-10,-10,-10,-10,-11,-11,-12,-11,-15,-14,-11,-10,-10,-10,-10,-10,-12,-13,-14,-11,-10,-10,-15,-10,-10,-10,-13,-16,-13,-11,-12,-11,-14,-11,-13,-10,-11,-12,-11,-10,-11,-13,-10,-11,-11,-11,-11,-11,-10,-12,-10,-14,-12,-19,-10,-11,-11,-11,-13,-10,-12,-11,-10,-10,-14,-11,-10,-11,-10,-12,-12,-10,-12,-10,-11,-11,-11,-15,-12,-10,-11,-11,-11,-10,-11,-11,-11,-10,-10,-10,-11,-10,-11,-14,-12,-11
1,-12,-12,-10,-13,-13,-11,-12,-10,-14,-11,-11,-13,-10,-12,-10,-11,-11,-12,-11,-10,-10,-12,-16,-10,-11,-10,-10,-12,-11,-15,-10,-14,-14,-10,-11,-15,-12,-12,-10,-12,-11,-10,-12,-10,-11,-14,-10,-18,-13,-11,-11,-15,-12,-12,-10,-15,-14,-12,-10,-10,-14,-13,-10,-10,-19,-10,-11,-13,-13,-10,-12,-11,-11,-10,-11,-10,-11,-11,-11,-10,-16,-10,-15,-13,-11,-14,-10,-17,-14,-13,-10,-10,-10,-10,-12,-13,-11,-11,-11,-12,-10,-12,-11,-11,-10,-10,-11,-10,-11,-11,-12,-11,-15,-14,-12,-10,-10,-10,-10,-10,-13,-13,-14,-11,-10,-10,-15,-10,-10,-10,-13,-16,-13,-11,-12,-11,-14,-12,-13,-11,-11,-12,-12,-10,-11,-13,-10,-11,-11,-11,-11,-11,-10,-12,-10,-14,-12,-19,-10,-11,-11,-12,-13,-10,-12,-11,-10,-10,-14,-11,-10,-12,-10,-12,-12,-10,-12,-10,-11,-12,-11,-15,-12,-10,-11,-12,-11,-10,-11,-11,-11,-11,-10,-10,-12,-10,-11,-14,-13,-12
2,-12,-12,-10,-13,-13,-11,-13,-10,-14,-12,-12,-13,-10,-12,-11,-11,-11,-13,-11,-10,-10,-12,-16,-10,-11,-10,-10,-12,-11,-15,-10,-14,-14,-11,-11,-15,-12,-12,-10,-12,-11,-10,-12,-10,-11,-15,-10,-18,-13,-11,-11,-15,-12,-12,-10,-16,-14,-13,-10,-10,-14,-13,-10,-10,-19,-11,-11,-13,-14,-10,-12,-11,-11,-10,-12,-10,-11,-11,-11,-10,-16,-10,-15,-13,-11,-15,-11,-17,-14,-13,-10,-10,-11,-10,-12,-13,-11,-11,-11,-13,-10,-12,-11,-12,-10,-10,-10,-10,-12,-12,-12,-12,-15,-14,-12,-10,-10,-10,-11,-10,-13,-13,-14,-11,-10,-10,-15,-10,-11,-10,-13,-17,-13,-11,-12,-12,-14,-12,-13,-11,-11,-13,-12,-11,-11,-13,-10,-11,-11,-11,-11,-11,-10,-12,-10,-14,-12,-19,-10,-11,-11,-12,-13,-11,-12,-12,-10,-10,-14,-11,-10,-12,-10,-12,-12,-10,-12,-10,-11,-12,-11,-15,-13,-10,-11,-12,-11,-11,-11,-11,-11,-11,-10,-11,-12,-10,-11,-14,-13,-12
3,-12,-12,-10,-13,-13,-12,-13,-10,-14,-12,-12,-14,-10,-12,-11,-11,-11,-13,-11,-10,-10,-12,-16,-10,-11,-10,-10,-12,-11,-15,-10,-14,-14,-11,-11,-15,-12,-12,-10,-12,-11,-11,-12,-10,-11,-15,-10,-18,-14,-11,-11,-15,-12,-12,-11,-16,-14,-13,-10,-11,-14,-13,-10,-10,-19,-11,-11,-13,-14,-10,-12,-12,-11,-10,-12,-11,-12,-11,-11,-10,-16,-10,-15,-13,-11,-15,-11,-17,-14,-13,-10,-10,-11,-10,-12,-13,-11,-11,-11,-13,-10,-12,-11,-12,-10,-10,-10,-10,-12,-12,-12,-12,-16,-14,-12,-10,-10,-10,-11,-10,-13,-13,-14,-11,-10,-10,-15,-10,-11,-11,-13,-17,-13,-12,-12,-12,-14,-13,-13,-11,-11,-13,-12,-11,-11,-13,-11,-11,-12,-11,-11,-11,-11,-12,-10,-15,-12,-19,-10,-11,-11,-12,-13,-11,-12,-12,-10,-10,-15,-12,-11,-12,-10,-12,-12,-11,-12,-10,-11,-12,-11,-15,-13,-10,-11,-12,-11,-11,-11,-11,-11,-11,-11,-11,-12,-11,-11,-14,-14,-12
4,-13,-12,-11,-14,-13,-12,-13,-10,-14,-12,-12,-14,-10,-12,-11,-11,-11,-13,-11,-10,-10,-12,-16,-10,-11,-10,-10,-12,-11,-15,-10,-14,-14,-11,-12,-15,-13,-12,-10,-12,-11,-11,-12,-10,-11,-15,-10,-18,-14,-11,-11,-15,-12,-12,-11,-15,-14,-13,-10,-11,-14,-13,-10,-10,-19,-11,-12,-13,-14,-10,-12,-12,-12,-10,-12,-11,-12,-12,-11,-10,-16,-10,-15,-13,-11,-15,-11,-17,-15,-13,-11,-10,-11,-10,-12,-13,-11,-11,-11,-13,-10,-12,-11,-12,-10,-10,-11,-10,-12,-12,-12,-12,-16,-14,-12,-10,-10,-10,-11,-10,-13,-13,-14,-11,-10,-10,-15,-10,-11,-11,-13,-17,-14,-12,-12,-12,-14,-13,-14,-11,-11,-13,-12,-11,-11,-13,-11,-11,-12,-11,-11,-11,-10,-12,-11,-15,-13,-19,-10,-11,-11,-12,-13,-11,-12,-12,-10,-10,-15,-12,-11,-12,-10,-12,-12,-11,-12,-10,-11,-13,-11,-15,-13,-10,-12,-12,-11,-11,-11,-11,-11,-12,-11,-11,-12,-11,-11,-14,-15,-12
5,-13,-13,-10,-14,-13,-12,-13,-10,-14,-12,-12,-14,-10,-12,-11,-11,-12,-13,-11,-10,-10,-12,-17,-10,-11,-10,-11,-13,-11,-15,-10,-14,-14,-11,-12,-15,-13,-12,-10,-12,-11,-11,-12,-10,-11,-15,-10,-18,-14,-11,-11,-15,-12,-12,-11,-15,-14,-13,-10,-11,-14,-13,-10,-10,-19,-11,-12,-13,-14,-10,-12,-12,-12,-10,-12,-11,-12,-12,-11,-10,-16,-10,-15,-13,-12,-15,-11,-17,-15,-13,-11,-10,-11,-10,-12,-14,-11,-12,-11,-13,-10,-12,-11,-12,-10,-10,-11,-10,-12,-12,-12,-12,-16,-15,-12,-10,-10,-10,-12,-10,-13,-13,-14,-11,-10,-10,-15,-10,-11,-11,-13,-17,-14,-12,-12,-12,-14,-14,-13,-11,-12,-13,-12,-11,-11,-13,-11,-12,-12,-11,-11,-11,-10,-12,-11,-15,-13,-19,-10,-11,-11,-12,-13,-12,-12,-12,-10,-10,-15,-12,-11,-12,-10,-12,-12,-11,-12,-10,-11,-13,-12,-16,-13,-10,-12,-12,-11,-12,-12,-11,-11,-12,-11,-11,-12,-11,-11,-14,-15,-12
6,-13,-13,-10,-14,-13,-12,-14,-10,-15,-12,-13,-14,-10,-13,-11,-11,-12,-13,-11,-10,-11,-12,-17,-10,-11,-10,-11,-13,-11,-16,-10,-14,-14,-11,-12,-16,-13,-12,-10,-13,-11,-11,-12,-10,-11,-16,-10,-18,-14,-11,-11,-15,-12,-12,-11,-15,-14,-13,-10,-11,-15,-13,-10,-10,-19,-11,-12,-13,-14,-10,-12,-12,-12,-10,-12,-11,-12,-13,-11,-10,-16,-10,-15,-13,-12,-15,-11,-17,-15,-13,-11,-10,-11,-10,-12,-14,-11,-12,-11,-14,-10,-12,-11,-12,-10,-10,-11,-10,-12,-12,-12,-12,-16,-15,-12,-10,-10,-10,-12,-10,-13,-13,-14,-11,-10,-10,-15,-10,-11,-11,-13,-17,-14,-12,-13,-12,-14,-14,-13,-11,-12,-13,-12,-11,-11,-13,-11,-12,-12,-12,-11,-11,-11,-12,-11,-15,-13,-20,-10,-11,-11,-12,-13,-12,-12,-12,-10,-10,-15,-12,-11,-12,-10,-12,-12,-11,-12,-10,-12,-13,-12,-16,-13,-10,-12,-12,-11,-12,-12,-11,-11,-12,-11,-12,-12,-11,-11,-14,-15,-13
7,-13,-13,-10,-14,-13,-12,-14,-11,-15,-12,-13,-14,-10,-13,-11,-11,-12,-13,-11,-10,-11,-12,-17,-10,-11,-10,-11,-13,-11,-16,-10,-14,-15,-11,-12,-16,-13,-12,-10,-13,-11,-11,-12,-11,-11,-16,-10,-18,-14,-11,-11,-15,-13,-12,-11,-16,-14,-13,-10,-11,-15,-13,-10,-10,-19,-11,-12,-13,-14,-10,-12,-12,-12,-10,-12,-11,-12,-13,-11,-10,-16,-11,-15,-13,-12,-15,-11,-17,-15,-13,-11,-10,-11,-10,-12,-14,-11,-12,-11,-14,-10,-12,-11,-12,-10,-10,-11,-10,-12,-13,-12,-12,-16,-15,-12,-10,-10,-10,-12,-10,-13,-13,-14,-11,-10,-11,-15,-10,-11,-11,-13,-17,-14,-12,-13,-12,-14,-14,-14,-12,-12,-14,-12,-11,-11,-13,-11,-12,-13,-12,-11,-11,-11,-12,-11,-15,-13,-20,-10,-11,-11,-12,-13,-12,-13,-12,-10,-11,-15,-13,-11,-12,-10,-12,-12,-11,-13,-10,-12,-13,-12,-16,-13,-10,-12,-12,-12,-12,-12,-11,-12,-12,-11,-12,-12,-11,-11,-15,-16,-13
8,-13,-13,-10,-14,-13,-12,-14,-11,-15,-12,-13,-14,-10,-13,-11,-11,-12,-13,-11,-10,-11,-12,-17,-10,-12,-10,-11,-13,-12,-16,-10,-14,-15,-12,-12,-16,-13,-13,-10,-13,-11,-11,-12,-11,-11,-16,-11,-18,-14,-11,-11,-15,-13,-12,-11,-16,-14,-13,-10,-12,-15,-13,-10,-10,-19,-11,-12,-13,-14,-10,-12,-12,-12,-10,-12,-11,-12,-13,-11,-10,-16,-11,-15,-13,-12,-15,-12,-17,-15,-13,-11,-10,-11,-10,-12,-14,-11,-12,-11,-14,-10,-12,-12,-12,-10,-10,-12,-10,-12,-13,-12,-12,-16,-15,-12,-10,-10,-10,-12,-10,-13,-13,-14,-11,-10,-11,-15,-10,-11,-11,-13,-17,-14,-12,-13,-12,-14,-15,-14,-12,-12,-14,-12,-11,-11,-13,-11,-12,-13,-12,-11,-11,-11,-12,-11,-15,-13,-20,-10,-11,-11,-12,-13,-12,-13,-12,-10,-11,-15,-13,-11,-12,-10,-12,-12,-11,-13,-10,-12,-13,-12,-16,-13,-10,-12,-12,-12,-12,-12,-11,-12,-13,-11,-12,-12,-11,-11,-15,-16,-13
9,-13,-13,-10,-14,-13,-12,-14,-11,-15,-13,-13,-14,-10,-13,-11,-11,-12,-13,-12,-10,-11,-12,-18,-10,-12,-10,-11,-13,-12,-16,-10,-14,-15,-12,-12,-16,-13,-13,-10,-13,-11,-11,-12,-11,-11,-16,-11,-18,-14,-11,-11,-15,-13,-12,-11,-16,-14,-13,-10,-12,-15,-13,-10,-10,-19,-11,-12,-13,-14,-10,-12,-12,-12,-10,-12,-11,-12,-14,-11,-10,-16,-11,-15,-14,-12,-15,-12,-17,-15,-13,-11,-10,-11,-10,-12,-14,-11,-12,-11,-14,-11,-12,-12,-12,-10,-10,-12,-10,-12,-13,-12,-12,-17,-15,-12,-10,-10,-10,-13,-10,-13,-14,-14,-11,-10,-11,-15,-10,-11,-11,-13,-17,-14,-12,-13,-12,-14,-15,-14,-12,-12,-14,-12,-11,-11,-13,-11,-12,-13,-12,-11,-11,-10,-12,-11,-15,-13,-20,-10,-11,-11,-12,-14,-12,-13,-12,-10,-11,-15,-13,-11,-12,-10,-12,-13,-11,-13,-10,-12,-13,-12,-16,-13,-10,-12,-12,-12,-13,-12,-11,-12,-13,-11,-12,-13,-11,-11,-15,-16,-13
