iteration,local_LB,local_UB,LB,UB,gap,un_served,repeat_served
0,3263.0,23819,3263.0,23819,0.863,_156_158_159_160_161_162_163_164_165_166_167_168_169_170_171_172_173_174_175_176_177_178_179_180_181_182_183_184_185_186_187_188_189_190_191_192_194_195_196_197_198_199,
1,-4629.8,5424,3263.0,5424,0.398,,
2,-2872.354,5387,3263.0,5387,0.394,,
3,-1577.105,5333,3263.0,5333,0.388,,
4,-734.796,5154,3263.0,5154,0.367,,
5,-203.078,5193,3263.0,5154,0.367,,
6,135.442,5039,3263.0,5039,0.352,,
7,535.858,5100,3263.0,5039,0.352,,
8,733.853,4993,3263.0,4993,0.346,,
9,1102.218,4943,3263.0,4943,0.34,,
10,1342.669,4859,3263.0,4859,0.328,,
11,1497.632,4854,3263.0,4854,0.328,,
12,1724.328,4794,3263.0,4794,0.319,,
13,2050.223,4707,3263.0,4707,0.307,,
14,2089.335,4653,3263.0,4653,0.299,,
15,2413.375,4666,3263.0,4653,0.299,,
16,2344.902,4590,3263.0,4590,0.289,,
17,2722.418,4532,3263.0,4532,0.28,,
18,2553.359,4331,3263.0,4331,0.247,,
19,3016.223,4368,3263.0,4331,0.247,,
20,2741.545,4253,3263.0,4253,0.233,,
21,3123.423,4137,3263.0,4137,0.211,,
22,3012.962,4143,3263.0,4137,0.211,,
23,3181.772,4034,3263.0,4034,0.191,,
24,3141.518,3955,3263.0,3955,0.175,,
25,3262.285,3920,3263.0,3920,0.168,,
26,3205.131,3939,3263.0,3920,0.168,,
27,3338.5,3838,3338.5,3838,0.13,,
28,3271.408,3813,3338.5,3813,0.124,,
29,3418.58,3812,3418.58,3812,0.103,,
30,3312.497,3768,3418.58,3768,0.093,,
31,3439.948,3759,3439.948,3759,0.085,,
32,3363.678,3739,3439.948,3739,0.08,,
33,3459.866,3699,3459.866,3699,0.065,,
34,3392.671,3705,3459.866,3699,0.065,,
35,3470.353,3739,3470.353,3699,0.062,,
36,3441.71,3747,3470.353,3699,0.062,,
37,3478.587,3710,3478.587,3699,0.06,,
38,3413.152,3688,3478.587,3688,0.057,,
39,3488.084,3664,3488.084,3664,0.048,,
40,3447.747,3660,3488.084,3660,0.047,,
41,3499.151,3644,3499.151,3644,0.04,,
42,3452.137,3654,3499.151,3644,0.04,,
43,3495.664,3671,3499.151,3644,0.04,,
44,3491.2,3647,3499.151,3644,0.04,,
45,3474.062,3722,3499.151,3644,0.04,,
46,3500.777,3651,3500.777,3644,0.039,,
47,3481.056,3687,3500.777,3644,0.039,,
48,3494.889,3626,3500.777,3626,0.035,,
49,3495.422,3658,3500.777,3626,0.035,,
50,3505.416,3630,3505.416,3626,0.033,,
51,3501.649,3646,3505.416,3626,0.033,,
52,3497.876,3646,3505.416,3626,0.033,,
53,3508.139,3641,3508.139,3626,0.033,,
54,3494.041,3649,3508.139,3626,0.033,,
55,3506.638,3672,3508.139,3626,0.033,,
56,3503.067,3631,3508.139,3626,0.033,,
57,3493.843,3636,3508.139,3626,0.033,,
58,3512.509,3595,3512.509,3595,0.023,,
59,3521.766,3612,3521.766,3595,0.02,,
60,3517.608,3615,3521.766,3595,0.02,,
61,3521.73,3593,3521.766,3593,0.02,,
62,3519.722,3600,3521.766,3593,0.02,,
63,3526.497,3602,3526.497,3593,0.019,,
64,3522.473,3600,3526.497,3593,0.019,,
65,3521.778,3605,3526.497,3593,0.019,,
66,3526.234,3627,3526.497,3593,0.019,,
67,3518.573,3593,3526.497,3593,0.019,,
68,3525.642,3620,3526.497,3593,0.019,,
69,3510.071,3602,3526.497,3593,0.019,,
70,3532.445,3607,3532.445,3593,0.017,,
71,3518.358,3630,3532.445,3593,0.017,,
72,3528.165,3622,3532.445,3593,0.017,,
73,3521.69,3605,3532.445,3593,0.017,,
74,3523.27,3637,3532.445,3593,0.017,,
75,3524.743,3599,3532.445,3593,0.017,,
76,3529.438,3591,3532.445,3591,0.016,,
77,3523.907,3606,3532.445,3591,0.016,,
78,3530.651,3605,3532.445,3591,0.016,,
79,3518.304,3613,3532.445,3591,0.016,,
80,3531.079,3605,3532.445,3591,0.016,,
81,3521.42,3610,3532.445,3591,0.016,,
82,3525.962,4070,3532.445,3591,0.016,_199,
83,3522.913,3596,3532.445,3591,0.016,,
84,3528.552,3610,3532.445,3591,0.016,,
85,3521.19,3633,3532.445,3591,0.016,,
86,3528.5,3586,3532.445,3586,0.015,,
87,3523.912,3597,3532.445,3586,0.015,,
88,3531.66,3600,3532.445,3586,0.015,,
89,3520.138,3593,3532.445,3586,0.015,,
90,3533.611,3589,3533.611,3586,0.015,,
91,3522.274,3611,3533.611,3586,0.015,,
92,3530.213,3610,3533.611,3586,0.015,,
93,3529.922,3584,3533.611,3584,0.014,,
94,3528.83,3578,3533.611,3578,0.012,,
95,3533.243,3632,3533.611,3578,0.012,,
96,3531.971,3608,3533.611,3578,0.012,,
97,3531.464,3588,3533.611,3578,0.012,,
98,3532.598,3591,3533.611,3578,0.012,,
99,3527.738,3599,3533.611,3578,0.012,,
100,3534.362,3591,3534.362,3578,0.012,,
101,3530.738,3603,3534.362,3578,0.012,,
102,3528.836,3594,3534.362,3578,0.012,,
103,3536.792,3589,3536.792,3578,0.012,,
104,3537.161,3600,3537.161,3578,0.011,,
105,3529.04,3597,3537.161,3578,0.011,,
106,3538.019,3611,3538.019,3578,0.011,,
107,3531.25,3616,3538.019,3578,0.011,,
108,3534.154,3595,3538.019,3578,0.011,,
109,3534.925,3596,3538.019,3578,0.011,,
110,3528.754,3578,3538.019,3578,0.011,,
111,3538.955,3598,3538.955,3578,0.011,,
112,3527.295,3581,3538.955,3578,0.011,,
113,3536.096,3612,3538.955,3578,0.011,,
114,3535.593,3608,3538.955,3578,0.011,,
115,3532.128,3607,3538.955,3578,0.011,,
116,3528.765,3624,3538.955,3578,0.011,,
117,3540.062,3580,3540.062,3578,0.011,,
118,3525.077,3590,3540.062,3578,0.011,,
119,3540.141,3596,3540.141,3578,0.011,,
120,3526.301,3605,3540.141,3578,0.011,,
121,3539.861,3599,3540.141,3578,0.011,,
122,3527.418,3595,3540.141,3578,0.011,,
123,3534.907,3586,3540.141,3578,0.011,,
124,3533.674,3599,3540.141,3578,0.011,,
125,3535.794,3610,3540.141,3578,0.011,,
126,3534.447,3572,3540.141,3572,0.009,,
Running time: 10.66 sec
