iteration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
0,-14,-10,-11,-14,-16,-14,-15,-18,-16,-10,-20,-20,-15,-24,-17,-11,-20,-14,-25,-14,-12,-14,-23,-13,-25,-10,-11,-15,-10,-16,-14,-10,-13,-10,-11,-12,-20,-14,-12,-11,-11,-19,-11,-11,-14,-12,-23,-10,-31,-25,-15,-26,-17,-14,-14,-10,-18,-18,-26,-13,-10,-10,-22,-30,-12,-11,-14,-10,-21,-19,-27,-19,-14,-13,-23,-14,-10,-18,-14,-22,-24,-10,-14,-14,-26,-10,-11,-10,-10,-17,-19,-12,-16,-11,-13,-11,-15,-22,-22,-20,-16,-15,-15,-13,-14,-13,-24,-11,-11,-21,-14,-21,-11,-18,-25,-17,-11,-11,-15,-20,-12,-34,-20,-26,-14,-12,-14,-22,-14,-17,-21,-19,-15,-11,-16,-12,-11,-21,-10,-14,-15,-14,-11,-13,-25,-11,-12,-21,-10,-22,-33,-12,-17,-11,-14,-17,-17,-11,-13,-10,-15,-10,-20,-13,-10,-19,-26,-10,-20,-16,-13,-10,-10,-15,-13,-13,-28,-14,-11,-35,-16,-25,-22,-13,-10,-20,-24,-16,-11,-13,-12,-24,-13,-13,-13,-13,-16,-13,-10,-18
1,-14,-10,-11,-14,-16,-14,-15,-18,-16,-10,-25,-20,-15,-24,-17,-11,-20,-14,-25,-14,-17,-14,-28,-18,-25,-10,-11,-15,-10,-16,-14,-10,-13,-10,-11,-12,-20,-19,-17,-11,-11,-19,-11,-11,-14,-12,-23,-10,-31,-25,-15,-26,-22,-14,-14,-10,-18,-18,-26,-13,-10,-10,-22,-30,-12,-11,-14,-10,-21,-19,-27,-19,-19,-13,-23,-14,-10,-18,-19,-22,-24,-10,-14,-14,-26,-10,-11,-10,-10,-17,-19,-17,-16,-11,-13,-11,-15,-22,-22,-25,-16,-15,-15,-18,-19,-13,-24,-11,-11,-21,-14,-21,-11,-18,-30,-17,-11,-16,-15,-20,-12,-34,-20,-26,-14,-12,-14,-27,-19,-17,-21,-19,-15,-11,-16,-12,-16,-21,-10,-14,-15,-14,-11,-13,-25,-11,-12,-21,-10,-22,-33,-12,-17,-11,-14,-17,-17,-11,-13,-10,-15,-15,-20,-13,-10,-24,-26,-10,-20,-16,-13,-15,-10,-15,-18,-13,-28,-14,-11,-35,-16,-25,-27,-13,-10,-20,-24,-16,-11,-13,-17,-24,-13,-18,-13,-13,-16,-13,-10,-18
2,-14,-10,-11,-14,-16,-14,-15,-18,-21,-10,-25,-20,-20,-24,-17,-11,-25,-14,-25,-14,-17,-14,-28,-18,-25,-10,-11,-15,-10,-16,-14,-10,-18,-10,-11,-12,-20,-19,-17,-11,-16,-19,-11,-16,-14,-12,-23,-10,-36,-25,-20,-26,-22,-14,-14,-10,-18,-18,-26,-13,-10,-10,-22,-30,-12,-11,-14,-10,-21,-19,-32,-19,-19,-18,-23,-14,-10,-23,-19,-22,-24,-10,-14,-14,-26,-10,-11,-10,-15,-22,-19,-17,-16,-11,-13,-16,-15,-27,-22,-25,-16,-20,-15,-18,-19,-13,-24,-11,-11,-21,-14,-21,-11,-18,-30,-17,-11,-16,-15,-20,-12,-39,-25,-26,-14,-12,-14,-27,-19,-22,-21,-19,-15,-11,-16,-12,-16,-21,-10,-14,-15,-19,-11,-13,-25,-11,-12,-21,-10,-22,-38,-12,-17,-11,-19,-17,-17,-11,-13,-15,-15,-15,-20,-13,-15,-24,-26,-10,-20,-16,-18,-15,-10,-15,-18,-18,-28,-14,-11,-35,-16,-25,-27,-13,-10,-20,-24,-16,-11,-13,-17,-24,-13,-18,-13,-13,-16,-18,-10,-18
3,-14,-10,-11,-14,-21,-14,-20,-18,-21,-10,-25,-20,-20,-24,-17,-16,-25,-19,-25,-14,-17,-19,-28,-18,-25,-10,-11,-15,-15,-21,-14,-15,-18,-10,-11,-12,-20,-19,-17,-11,-16,-19,-11,-16,-14,-12,-23,-10,-36,-25,-20,-26,-22,-14,-14,-10,-23,-18,-26,-13,-10,-10,-22,-30,-12,-11,-14,-10,-26,-19,-32,-19,-19,-18,-23,-14,-10,-23,-19,-22,-29,-10,-19,-14,-26,-15,-11,-10,-15,-22,-19,-17,-16,-11,-18,-16,-15,-27,-27,-25,-21,-20,-15,-18,-19,-13,-24,-16,-11,-21,-19,-21,-11,-23,-30,-17,-16,-16,-15,-20,-12,-39,-20,-26,-14,-12,-14,-27,-19,-22,-21,-19,-15,-11,-16,-12,-16,-21,-10,-19,-15,-19,-11,-13,-25,-16,-12,-26,-10,-22,-38,-12,-17,-16,-19,-17,-17,-11,-13,-15,-15,-15,-20,-13,-15,-24,-26,-10,-20,-16,-18,-15,-10,-15,-18,-18,-33,-14,-11,-40,-16,-25,-27,-18,-10,-25,-24,-16,-16,-13,-17,-29,-13,-18,-13,-13,-16,-18,-10,-18
4,-19,-10,-11,-14,-21,-19,-20,-18,-21,-10,-25,-20,-20,-24,-22,-16,-25,-19,-25,-19,-17,-19,-28,-18,-25,-10,-16,-15,-15,-21,-14,-15,-18,-10,-11,-12,-20,-19,-17,-11,-16,-24,-11,-16,-14,-12,-23,-10,-36,-25,-20,-26,-22,-19,-19,-15,-23,-23,-26,-13,-10,-10,-22,-30,-12,-11,-14,-10,-26,-19,-32,-19,-19,-18,-28,-14,-10,-23,-19,-22,-29,-10,-19,-14,-26,-15,-11,-10,-15,-22,-19,-17,-16,-16,-18,-16,-20,-27,-27,-25,-21,-20,-15,-18,-19,-13,-24,-16,-11,-21,-19,-21,-11,-23,-30,-17,-16,-16,-15,-25,-12,-39,-20,-26,-19,-17,-14,-27,-19,-22,-26,-19,-20,-11,-21,-17,-16,-21,-10,-19,-15,-19,-11,-13,-25,-16,-12,-26,-10,-22,-38,-17,-17,-16,-19,-22,-17,-16,-13,-15,-15,-15,-20,-18,-15,-24,-26,-10,-20,-16,-18,-15,-10,-15,-18,-18,-33,-14,-16,-40,-21,-30,-27,-18,-10,-25,-29,-16,-16,-18,-17,-29,-13,-18,-13,-13,-16,-18,-10,-18
5,-19,-10,-11,-14,-21,-19,-20,-23,-21,-10,-30,-20,-20,-24,-22,-16,-25,-19,-25,-19,-22,-19,-28,-18,-30,-15,-16,-15,-15,-21,-14,-15,-18,-10,-11,-12,-20,-24,-17,-11,-16,-24,-11,-16,-19,-17,-23,-15,-36,-25,-20,-31,-27,-19,-19,-15,-23,-23,-26,-13,-10,-10,-22,-35,-12,-11,-14,-15,-26,-19,-32,-24,-19,-18,-28,-14,-15,-23,-19,-22,-29,-10,-19,-14,-26,-15,-11,-15,-15,-22,-24,-17,-21,-16,-18,-16,-20,-27,-27,-25,-21,-20,-15,-18,-24,-13,-24,-16,-11,-21,-19,-26,-11,-23,-30,-22,-16,-16,-15,-25,-17,-39,-20,-26,-19,-17,-14,-27,-19,-22,-26,-19,-20,-16,-21,-17,-16,-26,-10,-19,-15,-19,-16,-13,-30,-16,-12,-26,-10,-22,-38,-17,-17,-16,-19,-22,-22,-16,-13,-15,-15,-15,-20,-18,-15,-24,-26,-10,-20,-16,-18,-15,-10,-15,-18,-18,-33,-14,-16,-40,-21,-30,-27,-18,-10,-25,-29,-21,-16,-18,-17,-29,-13,-18,-13,-13,-16,-18,-15,-18
6,-19,-10,-16,-19,-21,-19,-20,-23,-21,-10,-30,-25,-20,-24,-22,-16,-25,-19,-25,-19,-22,-19,-33,-18,-30,-15,-16,-15,-15,-21,-14,-15,-18,-10,-16,-12,-20,-24,-22,-11,-16,-24,-11,-16,-19,-17,-23,-15,-36,-30,-20,-31,-27,-19,-19,-15,-23,-23,-26,-13,-10,-10,-27,-35,-17,-11,-19,-15,-26,-19,-32,-24,-19,-18,-28,-19,-15,-28,-19,-27,-29,-15,-19,-19,-26,-15,-16,-15,-15,-22,-24,-17,-21,-16,-18,-16,-20,-32,-27,-25,-21,-20,-15,-18,-24,-13,-24,-16,-11,-21,-19,-26,-11,-23,-35,-22,-16,-16,-15,-25,-17,-39,-20,-31,-19,-17,-19,-27,-19,-22,-26,-19,-20,-16,-21,-17,-21,-26,-10,-19,-15,-19,-16,-13,-30,-16,-12,-26,-10,-27,-38,-17,-22,-16,-19,-22,-22,-16,-13,-15,-15,-20,-20,-18,-15,-29,-26,-15,-20,-16,-18,-20,-10,-15,-18,-18,-33,-14,-16,-40,-21,-30,-32,-18,-10,-25,-29,-21,-16,-18,-17,-29,-13,-18,-13,-13,-16,-23,-15,-18
7,-19,-10,-16,-19,-21,-19,-20,-23,-21,-10,-30,-25,-20,-29,-22,-16,-25,-19,-30,-19,-22,-19,-33,-18,-30,-15,-16,-15,-15,-21,-19,-15,-23,-10,-16,-12,-20,-24,-22,-11,-16,-24,-16,-16,-19,-17,-23,-15,-36,-30,-20,-31,-27,-19,-19,-15,-23,-23,-26,-18,-10,-15,-27,-35,-17,-16,-19,-15,-26,-24,-32,-24,-24,-18,-28,-19,-15,-28,-19,-27,-29,-15,-19,-19,-26,-15,-16,-15,-15,-22,-24,-22,-21,-16,-18,-21,-20,-32,-27,-30,-21,-20,-15,-18,-24,-13,-29,-16,-11,-26,-19,-26,-11,-23,-35,-22,-16,-16,-15,-25,-17,-44,-25,-31,-19,-17,-19,-32,-24,-22,-26,-19,-20,-16,-21,-17,-21,-26,-15,-19,-20,-19,-16,-13,-30,-16,-17,-26,-15,-27,-38,-17,-22,-16,-19,-22,-22,-16,-13,-15,-20,-20,-20,-18,-15,-29,-26,-15,-25,-21,-18,-20,-15,-20,-18,-18,-33,-19,-16,-40,-21,-30,-32,-18,-15,-25,-29,-21,-16,-18,-17,-29,-13,-23,-13,-18,-21,-23,-15,-23
8,-19,-10,-16,-19,-21,-19,-20,-23,-21,-15,-30,-25,-20,-29,-22,-16,-25,-19,-30,-19,-22,-19,-33,-18,-30,-15,-16,-15,-15,-21,-19,-15,-23,-10,-16,-12,-20,-24,-22,-16,-21,-24,-16,-16,-19,-17,-23,-15,-41,-30,-20,-31,-27,-19,-19,-15,-23,-23,-26,-18,-10,-15,-27,-35,-17,-16,-19,-15,-26,-24,-32,-24,-24,-23,-28,-19,-15,-28,-24,-27,-29,-15,-19,-19,-26,-15,-16,-15,-20,-27,-24,-22,-21,-16,-18,-21,-20,-32,-27,-30,-21,-20,-15,-23,-24,-13,-29,-21,-11,-26,-19,-26,-11,-23,-35,-22,-21,-16,-20,-25,-17,-44,-25,-31,-19,-17,-19,-32,-24,-22,-26,-19,-20,-16,-21,-17,-21,-26,-15,-19,-20,-24,-16,-13,-30,-21,-17,-26,-15,-27,-43,-17,-22,-16,-24,-22,-22,-16,-13,-20,-20,-20,-20,-18,-15,-29,-31,-15,-25,-21,-18,-20,-15,-20,-23,-23,-33,-19,-16,-40,-21,-30,-32,-18,-15,-25,-29,-21,-16,-18,-17,-29,-18,-23,-13,-18,-21,-23,-15,-23
9,-24,-10,-16,-19,-21,-19,-20,-23,-21,-15,-30,-25,-20,-29,-22,-21,-30,-24,-30,-19,-22,-19,-33,-23,-30,-15,-16,-15,-15,-21,-19,-15,-23,-10,-16,-17,-20,-24,-22,-16,-21,-24,-16,-16,-19,-17,-28,-15,-41,-30,-20,-31,-27,-19,-19,-15,-28,-23,-26,-18,-10,-15,-27,-35,-17,-16,-19,-15,-26,-24,-37,-24,-24,-23,-33,-19,-15,-28,-24,-27,-34,-15,-19,-19,-26,-15,-16,-15,-20,-27,-24,-22,-21,-16,-23,-21,-20,-32,-27,-30,-21,-20,-15,-23,-24,-13,-29,-21,-11,-26,-24,-26,-11,-23,-35,-22,-21,-16,-20,-25,-17,-44,-25,-31,-19,-22,-19,-32,-24,-22,-26,-19,-20,-16,-21,-17,-21,-26,-15,-24,-20,-24,-16,-13,-30,-21,-17,-26,-15,-27,-43,-17,-22,-16,-24,-22,-22,-16,-13,-20,-20,-20,-25,-18,-15,-29,-31,-15,-25,-21,-23,-20,-15,-20,-23,-23,-38,-19,-16,-45,-21,-30,-32,-18,-15,-30,-29,-21,-16,-18,-22,-29,-18,-23,-13,-18,-21,-23,-15,-23
