iteration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,-15,-14,-10,-11,-16,-12,-12,-14,-24,-12,-13,-11,-18,-10,-14,-12,-14,-14,-14,-14,-12,-11,-10,-19,-11,-13,-10,-11,-11,-26,-11,-10,-10,-12,-11,-12,-18,-11,-21,-11,-10,-17,-12,-10,-17,-16,-11,-10,-14,-12,-10,-12,-11,-17,-12,-14,-10,-10,-14,-15,-14,-13,-16,-17,-10,-16,-10,-12,-12,-11,-10,-12,-12,-14,-10,-11,-12,-11,-16,-11,-10,-10,-11,-23,-14,-17,-13,-14,-12,-17,-10,-13,-12,-12,-17,-13,-19,-13,-12,-13
1,-15,-14,-10,-11,-16,-12,-12,-14,-24,-12,-13,-11,-23,-10,-14,-12,-14,-14,-14,-19,-12,-11,-10,-19,-11,-18,-10,-11,-11,-26,-11,-15,-15,-12,-11,-12,-18,-11,-21,-11,-10,-17,-12,-10,-17,-21,-11,-10,-14,-12,-10,-12,-11,-17,-12,-14,-10,-10,-14,-15,-19,-13,-16,-17,-10,-16,-10,-12,-12,-11,-10,-12,-12,-14,-10,-11,-12,-11,-16,-11,-10,-10,-11,-23,-14,-17,-13,-14,-12,-17,-15,-13,-12,-12,-22,-13,-19,-13,-17,-13
2,-15,-14,-10,-11,-16,-12,-12,-14,-24,-12,-13,-16,-23,-10,-14,-12,-14,-14,-14,-19,-12,-11,-10,-19,-11,-13,-10,-11,-11,-26,-11,-15,-15,-12,-11,-17,-18,-11,-21,-11,-10,-17,-12,-10,-17,-21,-11,-15,-14,-12,-15,-12,-11,-17,-12,-14,-10,-10,-14,-15,-19,-13,-16,-17,-15,-16,-10,-17,-12,-11,-15,-12,-17,-14,-10,-11,-12,-11,-16,-11,-10,-15,-16,-23,-14,-22,-13,-14,-12,-17,-10,-13,-17,-17,-22,-13,-19,-13,-17,-13
3,-20,-19,-10,-11,-16,-12,-12,-14,-24,-12,-13,-11,-23,-10,-14,-12,-19,-14,-14,-19,-12,-11,-10,-19,-11,-18,-10,-16,-11,-26,-11,-15,-15,-17,-11,-12,-18,-11,-21,-11,-10,-17,-12,-10,-17,-21,-11,-15,-14,-17,-15,-12,-16,-17,-12,-14,-10,-10,-19,-15,-19,-18,-16,-22,-15,-21,-10,-17,-17,-11,-15,-12,-12,-14,-10,-11,-12,-11,-16,-11,-10,-15,-16,-23,-14,-22,-13,-14,-12,-22,-15,-13,-12,-17,-22,-13,-19,-13,-17,-13
4,-15,-19,-10,-11,-16,-12,-12,-14,-24,-12,-18,-16,-23,-10,-19,-12,-19,-14,-14,-19,-12,-11,-15,-24,-16,-13,-10,-16,-11,-31,-11,-15,-15,-17,-16,-17,-18,-11,-21,-11,-10,-17,-12,-10,-17,-21,-11,-15,-14,-17,-15,-12,-16,-17,-17,-14,-10,-10,-19,-15,-19,-18,-16,-22,-15,-21,-15,-12,-17,-11,-15,-12,-17,-14,-10,-11,-12,-11,-16,-16,-10,-15,-16,-23,-14,-22,-13,-14,-12,-22,-15,-13,-12,-17,-22,-13,-19,-13,-17,-13
5,-15,-19,-10,-16,-16,-12,-12,-14,-24,-12,-18,-16,-23,-10,-14,-17,-19,-14,-14,-19,-12,-11,-15,-24,-16,-18,-15,-16,-11,-31,-11,-15,-15,-17,-16,-17,-18,-11,-26,-11,-15,-22,-12,-10,-17,-21,-11,-15,-14,-17,-15,-12,-16,-17,-17,-14,-15,-10,-19,-15,-19,-18,-16,-22,-15,-21,-15,-17,-17,-16,-15,-12,-17,-14,-10,-11,-17,-11,-16,-16,-10,-15,-16,-28,-14,-22,-13,-14,-12,-22,-15,-13,-12,-17,-22,-13,-19,-13,-17,-13
6,-15,-19,-10,-16,-16,-12,-12,-14,-24,-12,-18,-16,-23,-10,-19,-17,-19,-19,-14,-19,-12,-11,-15,-24,-16,-18,-15,-16,-16,-36,-16,-15,-15,-17,-16,-17,-18,-11,-26,-16,-15,-22,-12,-10,-17,-21,-16,-15,-19,-17,-15,-12,-16,-17,-17,-14,-15,-10,-19,-15,-19,-18,-16,-22,-15,-26,-15,-17,-17,-16,-15,-12,-17,-14,-10,-16,-17,-11,-21,-16,-10,-15,-16,-28,-14,-22,-13,-14,-12,-22,-15,-13,-17,-17,-22,-18,-19,-13,-17,-13
7,-20,-19,-15,-16,-16,-12,-12,-14,-24,-12,-18,-16,-23,-10,-19,-17,-19,-19,-14,-24,-12,-11,-15,-24,-16,-18,-15,-16,-16,-31,-16,-20,-15,-17,-16,-17,-18,-11,-26,-16,-15,-22,-12,-10,-17,-21,-11,-15,-19,-17,-15,-12,-16,-17,-17,-19,-15,-10,-19,-20,-19,-18,-16,-22,-15,-26,-15,-17,-17,-16,-15,-12,-22,-14,-15,-16,-17,-11,-21,-16,-15,-15,-16,-23,-14,-22,-13,-19,-17,-22,-15,-13,-17,-17,-22,-18,-19,-13,-17,-13
8,-20,-19,-15,-11,-16,-12,-12,-19,-24,-12,-18,-16,-23,-10,-19,-17,-19,-19,-14,-24,-12,-16,-20,-24,-16,-18,-15,-16,-16,-31,-16,-20,-15,-17,-16,-22,-18,-16,-26,-16,-15,-22,-17,-10,-17,-21,-11,-15,-19,-17,-15,-12,-16,-17,-17,-19,-15,-15,-19,-20,-24,-18,-21,-22,-15,-26,-15,-17,-17,-16,-15,-12,-22,-14,-15,-16,-17,-11,-21,-16,-15,-15,-16,-28,-14,-22,-13,-19,-17,-22,-15,-13,-17,-17,-22,-18,-24,-13,-17,-18
9,-20,-19,-15,-11,-16,-12,-12,-19,-24,-12,-18,-16,-23,-10,-19,-17,-19,-19,-19,-24,-12,-16,-20,-24,-16,-18,-15,-16,-16,-36,-11,-20,-15,-17,-16,-22,-18,-16,-26,-16,-15,-22,-17,-10,-17,-21,-16,-15,-19,-22,-20,-12,-16,-17,-17,-19,-15,-15,-19,-20,-24,-18,-21,-22,-15,-26,-15,-17,-22,-16,-15,-12,-22,-14,-15,-16,-17,-11,-21,-16,-15,-15,-16,-28,-14,-22,-13,-19,-17,-22,-15,-13,-17,-17,-22,-18,-24,-18,-22,-18
10,-20,-19,-15,-11,-16,-12,-12,-19,-24,-12,-18,-16,-23,-10,-19,-17,-19,-19,-19,-24,-12,-16,-20,-24,-16,-18,-15,-16,-16,-31,-16,-20,-20,-17,-16,-22,-18,-16,-26,-16,-15,-22,-17,-10,-17,-21,-16,-20,-19,-22,-20,-12,-21,-17,-17,-19,-15,-15,-19,-20,-24,-18,-21,-22,-20,-26,-15,-17,-22,-16,-15,-12,-22,-14,-15,-16,-17,-11,-21,-16,-15,-15,-16,-28,-14,-22,-13,-19,-17,-22,-15,-13,-17,-17,-22,-18,-24,-18,-22,-18
11,-20,-19,-15,-16,-16,-12,-12,-19,-29,-12,-18,-16,-23,-10,-19,-17,-19,-19,-19,-29,-12,-16,-20,-24,-16,-18,-15,-16,-16,-31,-16,-20,-20,-17,-16,-22,-18,-16,-26,-16,-15,-22,-17,-10,-22,-21,-16,-20,-19,-22,-20,-12,-21,-17,-17,-19,-15,-15,-19,-20,-24,-18,-21,-22,-20,-26,-15,-17,-22,-16,-15,-12,-22,-14,-15,-16,-17,-11,-21,-16,-15,-15,-16,-28,-14,-22,-13,-19,-17,-22,-15,-13,-17,-22,-22,-18,-24,-18,-22,-18
12,-20,-19,-15,-16,-16,-12,-12,-19,-29,-12,-18,-16,-23,-10,-19,-17,-24,-19,-19,-29,-12,-16,-20,-24,-16,-18,-15,-16,-16,-36,-16,-20,-25,-17,-16,-22,-23,-16,-26,-16,-15,-22,-17,-10,-22,-26,-16,-20,-19,-22,-20,-17,-21,-17,-17,-19,-15,-15,-19,-20,-24,-18,-21,-22,-20,-26,-15,-17,-22,-16,-15,-12,-22,-14,-15,-16,-17,-11,-21,-16,-15,-15,-16,-28,-14,-22,-13,-19,-17,-22,-20,-13,-17,-22,-22,-18,-24,-13,-22,-18
13,-20,-19,-10,-16,-16,-12,-12,-19,-29,-12,-18,-16,-28,-10,-19,-17,-24,-19,-19,-24,-17,-16,-20,-24,-16,-18,-15,-21,-11,-36,-16,-20,-25,-22,-16,-22,-23,-16,-31,-16,-15,-22,-17,-10,-22,-21,-16,-20,-19,-22,-20,-17,-21,-17,-17,-19,-15,-15,-19,-20,-24,-23,-21,-22,-20,-26,-15,-17,-22,-16,-15,-12,-22,-14,-15,-16,-17,-16,-21,-16,-20,-15,-16,-28,-14,-22,-18,-19,-17,-22,-20,-18,-17,-22,-27,-18,-24,-13,-22,-18
14,-20,-24,-15,-16,-16,-12,-12,-19,-29,-12,-23,-16,-28,-10,-19,-17,-19,-19,-19,-24,-17,-16,-20,-24,-16,-18,-15,-21,-16,-31,-16,-20,-25,-22,-21,-22,-23,-16,-31,-16,-15,-22,-17,-15,-22,-26,-16,-20,-19,-22,-20,-17,-21,-17,-17,-19,-15,-15,-19,-20,-19,-23,-21,-22,-20,-26,-15,-17,-22,-16,-20,-12,-22,-14,-15,-16,-17,-16,-21,-16,-20,-15,-16,-28,-14,-22,-18,-19,-17,-27,-20,-18,-17,-22,-27,-18,-24,-13,-22,-18
