iteration,local_LB,local_UB,LB,UB,gap,un_served,repeat_served
0,5309.0,25413,5309.0,100000,0.947,_26_40_45_49_57_58_72_78_82_85_87_100_111_114_118_125_138_149_154_160_168_175_187_196_197_199_206_222_224_245_263_294_295_296_303_327_328_355_384_387_392,
1,5174.0,24910,5309.0,24910,0.787,_3_7_15_17_28_37_74_75_96_119_128_130_135_141_145_172_178_198_223_243_246_249_258_272_279_293_304_313_318_320_323_329_330_343_344_347_366_371_379_398,
2,5145.0,26856,5309.0,24910,0.787,_30_42_50_59_61_71_91_95_107_122_127_129_140_156_163_164_167_173_183_186_191_195_203_251_260_271_277_283_284_292_298_338_340_342_349_356_357_358_378_381_389_390_391_397,
3,5071.0,25895,5309.0,24910,0.787,_14_24_27_32_39_48_52_54_60_62_84_86_92_105_108_113_114_123_152_176_180_190_197_211_220_238_242_244_248_254_264_282_306_307_317_321_345_350_351_352_355_388,
4,5083.0,24558,5309.0,24558,0.784,_38_57_67_70_77_79_104_110_111_117_134_142_184_185_194_210_214_215_228_239_261_281_288_294_301_302_309_311_312_314_319_343_349_360_376_377_385_393_399,
5,5105.0,21132,5309.0,21132,0.749,_41_73_82_97_103_116_121_126_132_147_161_162_192_206_217_230_258_262_267_268_270_278_287_310_322_335_350_361_382_387_395_396,
6,5141.0,21061,5309.0,21061,0.748,_16_46_56_57_80_86_106_118_133_137_139_157_193_207_213_221_232_236_238_239_253_255_269_274_299_308_318_341_344_356_380_388,
7,5182.0,19750,5309.0,19750,0.731,_40_69_81_85_89_100_109_120_153_159_171_189_201_212_222_224_234_256_265_272_287_289_290_293_297_300_330_354_372,
8,5219.0,19251,5309.0,19251,0.724,_47_63_88_93_99_131_144_149_158_175_247_252_257_259_276_295_316_339_348_353_365_371_373_383_386_387_388_398,
9,5266.0,17307,5309.0,17307,0.693,_40_55_66_68_74_78_95_138_168_179_216_218_219_223_229_231_238_240_256_263_325_326_334_362,
10,5263.0,16309,5309.0,16309,0.674,_15_17_26_130_143_145_163_169_170_174_187_251_266_275_292_296_305_329_331_366_388_390,
11,5265.0,15333,5309.0,15333,0.654,_122_136_140_172_181_205_241_245_256_263_271_280_283_315_320_326_327_328_347_369,
12,5279.0,10502,5309.0,10502,0.494,_183_200_202_249_250_273_286_332_374_392,
13,5297.0,10534,5309.0,10502,0.494,_96_129_156_174_199_220_246_264_296_384,
14,5291.0,11016,5309.0,10502,0.494,_115_128_146_243_249_279_282_284_323_328_343,
15,5298.0,10580,5309.0,10502,0.494,_160_173_237_306_319_325_340_357_370_376,
16,5307.0,10569,5309.0,10502,0.494,_122_284_285_303_304_337_338_355_363_367,
17,5334.0,9056,5334.0,9056,0.411,_0_1_19_45_228_342_394,
18,5337.0,8138,5337.0,8138,0.344,_76_108_152_176_196,
19,5347.0,8140,5347.0,8138,0.343,_160_214_321_387_393,
20,5343.0,6717,5347.0,6717,0.204,_198_382,
21,5359.0,7669,5359.0,6717,0.202,_364_377_379_387,
22,5349.0,6158,5359.0,6158,0.13,_242,
23,5351.0,9088,5359.0,6158,0.13,_53_192_226_263_281_320_387,
24,5353.0,7668,5359.0,6158,0.13,_312_340_377_393,
25,5349.0,7141,5359.0,6158,0.13,_228_333_391,
26,5357.0,7153,5359.0,6158,0.13,_278_307_321,
27,5375.0,7617,5375.0,6158,0.127,_360_377_391_393,
28,5367.0,6689,5375.0,6158,0.127,_312_379,
29,5374.0,8139,5375.0,6158,0.127,_192_354_378_387_399,
30,5380.0,6670,5380.0,6158,0.126,_335_391,
31,5373.0,5725,5380.0,5725,0.06,,
32,5374.0,13048,5380.0,5725,0.06,_338_345_352_357_359_365_368_373_375_376_380_381_385_393_399,
33,5508.0,10553,5508.0,5725,0.038,_296_304_322_345_359_368_373_375_380_385,
34,5538.0,10039,5538.0,5725,0.033,_82_86_142_159_208_232_300_327_336,
35,5527.0,8503,5538.0,5725,0.033,_80_138_187_245_342_389,
36,5507.0,7537,5538.0,5725,0.033,_51_79_122_212,
37,5501.0,7544,5538.0,5725,0.033,_138_167_255_292,
38,5472.0,7050,5538.0,5725,0.033,_224_273_312,
39,5451.0,6131,5538.0,5725,0.033,_60,
40,5425.0,6135,5538.0,5725,0.033,_321,
41,5406.0,7072,5538.0,5725,0.033,_18_312_320,
42,5370.0,6133,5538.0,5725,0.033,_349,
43,5328.0,5674,5538.0,5674,0.024,,
44,5328.0,5757,5538.0,5674,0.024,,
45,5469.0,5738,5538.0,5674,0.024,,
46,5522.0,5759,5538.0,5674,0.024,,
47,5545.0,5696,5545.0,5674,0.023,,
48,5561.0,5775,5561.0,5674,0.02,,
49,5569.0,6177,5569.0,5674,0.019,_327,
50,5574.0,5644,5574.0,5644,0.012,,
51,5572.0,5756,5574.0,5644,0.012,,
52,5578.0,5671,5578.0,5644,0.012,,
53,5580.0,5710,5580.0,5644,0.011,,
54,5579.0,5652,5580.0,5644,0.011,,
55,5585.0,5628,5585.0,5628,0.008,,
Running time: 16.63 sec
