iteration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399
0,-10,-10,-10,-11,-11,-11,-13,-10,-11,-10,-12,-10,-10,-11,-14,-11,-14,-10,-11,-14,-10,-13,-14,-12,-10,-11,-10,-10,-11,-10,-10,-17,-10,-11,-10,-10,-10,-11,-10,-16,-11,-14,-14,-10,-10,-10,-13,-10,-12,-10,-10,-11,-16,-11,-10,-12,-15,-11,-11,-14,-10,-10,-14,-15,-10,-10,-10,-11,-13,-10,-14,-11,-12,-10,-12,-11,-11,-16,-10,-10,-12,-11,-11,-11,-11,-10,-10,-15,-10,-12,-14,-14,-11,-11,-10,-12,-11,-10,-10,-11,-12,-10,-11,-14,-19,-12,-10,-10,-10,-11,-12,-10,-13,-14,-11,-11,-10,-14,-10,-13,-11,-12,-10,-10,-12,-10,-14,-10,-12,-11,-10,-12,-11,-10,-12,-15,-13,-14,-12,-16,-10,-14,-10,-11,-11,-10,-10,-14,-10,-10,-11,-13,-10,-16,-10,-11,-11,-10,-17,-14,-10,-11,-11,-12,-10,-11,-11,-11,-10,-10,-12,-10,-18,-10,-11,-11,-17,-11,-12,-12,-14,-12,-15,-11,-16,-11,-14,-11,-16,-10,-11,-10,-11,-14,-12,-11,-15,-11,-10,-10,-11,-12,-16,-13,-12,-11,-11,-12,-10,-10,-11,-14,-10,-13,-10,-12,-11,-11,-10,-10,-10,-10,-12,-11,-14,-10,-11,-16,-10,-10,-12,-12,-15,-10,-10,-14,-11,-13,-10,-10,-11,-10,-10,-12,-10,-10,-12,-10,-12,-11,-17,-13,-14,-12,-10,-10,-10,-12,-16,-13,-16,-11,-10,-10,-11,-10,-11,-13,-11,-12,-11,-10,-10,-10,-13,-12,-12,-11,-10,-10,-11,-17,-13,-10,-10,-10,-13,-10,-12,-11,-10,-12,-11,-10,-10,-11,-14,-11,-10,-10,-12,-10,-11,-14,-11,-13,-10,-10,-11,-10,-11,-11,-16,-10,-11,-11,-10,-10,-12,-13,-11,-11,-10,-10,-10,-12,-10,-13,-11,-10,-13,-12,-11,-11,-12,-13,-10,-12,-14,-14,-12,-10,-11,-11,-10,-10,-10,-11,-10,-11,-13,-10,-11,-10,-10,-13,-10,-10,-10,-10,-11,-12,-14,-14,-13,-12,-11,-11,-10,-11,-15,-10,-10,-15,-11,-10,-11,-10,-10,-11,-13,-11,-17,-16,-11,-15,-12,-15,-15,-10,-10,-10,-10,-10,-12,-12,-10,-11,-10,-11
1,-10,-10,-10,-11,-11,-11,-13,-10,-11,-10,-12,-10,-10,-11,-14,-16,-14,-10,-11,-14,-15,-13,-14,-17,-15,-11,-10,-15,-11,-10,-10,-17,-10,-11,-10,-10,-10,-11,-10,-16,-11,-14,-14,-10,-10,-10,-18,-10,-12,-10,-10,-11,-16,-11,-10,-12,-15,-11,-11,-14,-10,-10,-19,-15,-10,-10,-10,-11,-13,-10,-14,-11,-17,-10,-12,-11,-11,-16,-10,-10,-17,-11,-11,-11,-16,-15,-10,-15,-10,-12,-14,-14,-11,-16,-10,-12,-11,-10,-15,-11,-12,-10,-11,-14,-19,-12,-10,-10,-15,-11,-12,-10,-13,-14,-16,-11,-10,-14,-10,-13,-11,-12,-10,-10,-12,-10,-19,-10,-17,-11,-10,-12,-11,-10,-12,-15,-13,-14,-12,-16,-10,-14,-10,-11,-11,-10,-10,-14,-10,-10,-11,-13,-10,-16,-10,-11,-11,-10,-17,-14,-10,-11,-11,-17,-10,-16,-11,-11,-10,-10,-17,-10,-23,-10,-16,-11,-17,-16,-12,-12,-14,-12,-15,-11,-16,-11,-14,-11,-16,-10,-11,-10,-11,-14,-12,-11,-15,-11,-15,-10,-11,-17,-16,-13,-12,-11,-11,-12,-10,-10,-11,-14,-15,-13,-15,-12,-11,-11,-10,-10,-10,-10,-12,-16,-14,-10,-11,-16,-10,-10,-12,-12,-15,-10,-10,-14,-11,-13,-10,-10,-11,-10,-10,-17,-10,-10,-12,-10,-12,-11,-17,-13,-14,-12,-10,-10,-10,-12,-21,-13,-16,-11,-10,-10,-11,-10,-11,-13,-11,-12,-11,-15,-10,-15,-13,-12,-12,-11,-10,-10,-16,-17,-13,-10,-10,-15,-13,-10,-12,-11,-10,-12,-11,-10,-10,-11,-14,-11,-10,-10,-12,-10,-11,-14,-11,-13,-10,-10,-11,-10,-11,-11,-16,-10,-11,-11,-10,-10,-12,-13,-11,-11,-10,-10,-10,-12,-10,-18,-11,-10,-13,-12,-11,-11,-12,-13,-10,-12,-14,-14,-12,-10,-11,-11,-10,-10,-10,-11,-10,-11,-13,-10,-11,-10,-10,-13,-10,-10,-10,-10,-11,-12,-14,-19,-13,-12,-11,-11,-10,-11,-15,-10,-10,-15,-11,-10,-11,-10,-15,-11,-13,-11,-17,-16,-11,-15,-12,-20,-15,-10,-10,-10,-10,-10,-12,-12,-10,-11,-15,-11
2,-10,-10,-10,-11,-11,-11,-18,-10,-11,-10,-12,-10,-15,-16,-14,-16,-14,-10,-11,-14,-15,-13,-14,-17,-15,-11,-10,-15,-11,-10,-10,-17,-15,-11,-10,-10,-10,-11,-15,-16,-11,-14,-14,-10,-15,-10,-18,-10,-12,-10,-10,-11,-16,-16,-10,-12,-15,-11,-11,-14,-10,-10,-19,-15,-10,-10,-10,-11,-13,-10,-19,-11,-17,-10,-17,-11,-11,-16,-10,-10,-17,-11,-11,-11,-16,-15,-10,-15,-10,-12,-14,-14,-16,-16,-10,-12,-11,-10,-15,-11,-12,-10,-11,-14,-19,-12,-10,-10,-15,-11,-12,-10,-13,-14,-16,-11,-10,-14,-10,-13,-11,-12,-15,-15,-17,-10,-19,-15,-17,-11,-10,-12,-11,-10,-12,-15,-13,-14,-12,-16,-10,-14,-10,-11,-11,-10,-10,-14,-10,-10,-11,-13,-10,-16,-10,-11,-11,-10,-22,-14,-10,-11,-11,-17,-10,-16,-11,-11,-10,-10,-17,-10,-23,-10,-16,-11,-17,-16,-12,-12,-14,-12,-15,-11,-16,-11,-14,-11,-16,-10,-11,-10,-11,-14,-12,-11,-15,-11,-15,-10,-11,-17,-16,-13,-12,-11,-11,-12,-10,-10,-11,-14,-15,-18,-15,-12,-16,-11,-10,-10,-10,-10,-12,-11,-14,-10,-11,-21,-10,-10,-12,-12,-20,-10,-10,-14,-11,-13,-10,-10,-16,-10,-10,-17,-10,-10,-12,-15,-12,-11,-17,-13,-14,-17,-10,-10,-10,-12,-21,-13,-16,-16,-10,-10,-11,-10,-11,-13,-16,-12,-11,-15,-10,-15,-18,-12,-12,-11,-10,-10,-16,-17,-13,-10,-10,-15,-13,-10,-12,-11,-10,-12,-11,-10,-10,-11,-14,-16,-10,-10,-12,-10,-11,-14,-11,-13,-10,-10,-11,-10,-11,-11,-16,-10,-11,-11,-10,-10,-12,-13,-11,-11,-15,-10,-10,-12,-10,-18,-11,-10,-13,-12,-11,-11,-12,-13,-10,-12,-14,-14,-12,-10,-11,-11,-10,-10,-10,-11,-10,-11,-13,-10,-11,-10,-10,-13,-10,-10,-10,-10,-11,-12,-19,-19,-13,-12,-11,-11,-10,-11,-15,-10,-15,-15,-11,-15,-11,-10,-15,-11,-13,-11,-17,-16,-11,-15,-12,-20,-15,-10,-10,-10,-10,-10,-12,-12,-10,-11,-15,-11
3,-10,-15,-10,-11,-11,-11,-18,-10,-11,-10,-12,-10,-15,-16,-14,-16,-14,-10,-11,-14,-15,-13,-14,-17,-15,-11,-10,-15,-11,-10,-10,-17,-15,-11,-10,-10,-10,-11,-10,-16,-11,-14,-14,-10,-15,-10,-18,-10,-12,-10,-10,-11,-16,-16,-10,-12,-15,-11,-11,-14,-10,-10,-19,-15,-10,-10,-10,-11,-13,-10,-19,-16,-17,-10,-17,-11,-11,-16,-10,-10,-17,-11,-11,-11,-11,-15,-10,-20,-10,-12,-19,-14,-11,-16,-10,-12,-11,-10,-15,-11,-12,-10,-11,-14,-19,-12,-10,-10,-15,-11,-12,-10,-13,-14,-16,-11,-10,-14,-10,-13,-11,-12,-10,-15,-17,-15,-19,-15,-17,-11,-10,-12,-11,-10,-12,-15,-13,-14,-12,-16,-10,-14,-10,-11,-11,-10,-10,-14,-10,-10,-11,-13,-10,-16,-15,-11,-11,-10,-22,-14,-10,-11,-11,-17,-10,-16,-11,-11,-10,-10,-17,-10,-23,-10,-16,-11,-17,-16,-12,-12,-19,-12,-15,-11,-16,-16,-19,-16,-16,-10,-11,-15,-16,-14,-12,-11,-15,-11,-15,-10,-11,-17,-16,-13,-12,-11,-11,-17,-10,-10,-11,-14,-15,-18,-15,-12,-16,-11,-10,-10,-10,-10,-12,-16,-14,-15,-11,-21,-10,-10,-17,-12,-20,-10,-10,-14,-11,-13,-15,-10,-16,-10,-10,-17,-10,-10,-12,-15,-12,-11,-17,-13,-14,-17,-15,-10,-10,-12,-21,-18,-16,-16,-10,-10,-11,-10,-11,-13,-16,-17,-11,-15,-10,-15,-18,-12,-12,-11,-10,-15,-16,-17,-13,-15,-10,-15,-13,-10,-12,-11,-10,-12,-11,-10,-10,-11,-14,-16,-10,-10,-12,-10,-11,-14,-11,-13,-10,-10,-11,-10,-11,-11,-16,-10,-11,-11,-15,-10,-12,-18,-11,-11,-15,-10,-10,-17,-10,-18,-11,-10,-13,-12,-11,-11,-12,-13,-10,-12,-14,-14,-12,-10,-16,-11,-10,-10,-10,-11,-10,-11,-13,-10,-11,-10,-10,-13,-10,-10,-10,-10,-11,-12,-19,-19,-13,-12,-11,-11,-15,-11,-15,-10,-15,-15,-11,-15,-11,-10,-15,-11,-13,-11,-17,-16,-11,-15,-12,-20,-15,-10,-10,-10,-10,-10,-12,-12,-10,-11,-15,-11
4,-10,-15,-10,-11,-11,-11,-18,-10,-11,-10,-12,-10,-15,-16,-14,-16,-14,-10,-11,-14,-15,-13,-14,-17,-15,-11,-10,-15,-11,-10,-15,-17,-15,-11,-10,-10,-10,-11,-15,-16,-11,-14,-14,-10,-15,-10,-18,-10,-12,-10,-10,-11,-16,-16,-10,-12,-15,-11,-11,-14,-10,-10,-19,-15,-10,-10,-10,-11,-13,-10,-19,-16,-17,-10,-17,-16,-11,-16,-10,-10,-17,-11,-16,-11,-16,-15,-10,-20,-15,-12,-14,-19,-11,-16,-10,-12,-11,-10,-15,-11,-12,-10,-11,-14,-19,-12,-10,-10,-15,-11,-12,-10,-13,-14,-16,-11,-15,-14,-15,-13,-11,-12,-10,-15,-17,-10,-19,-15,-17,-11,-10,-12,-11,-10,-12,-20,-13,-14,-12,-16,-10,-14,-10,-11,-11,-10,-10,-14,-10,-10,-11,-13,-10,-16,-15,-11,-11,-15,-22,-14,-10,-11,-11,-17,-10,-16,-11,-11,-10,-10,-17,-10,-23,-10,-16,-11,-22,-16,-12,-12,-14,-12,-15,-11,-16,-16,-19,-16,-16,-10,-11,-15,-16,-19,-12,-11,-15,-11,-15,-10,-11,-17,-16,-18,-12,-11,-11,-12,-10,-10,-11,-14,-15,-18,-15,-12,-16,-16,-10,-10,-10,-10,-12,-16,-14,-15,-11,-21,-10,-10,-12,-17,-20,-10,-10,-14,-11,-13,-15,-10,-16,-10,-10,-17,-10,-10,-12,-15,-17,-11,-17,-13,-19,-17,-15,-15,-10,-12,-21,-18,-16,-16,-15,-10,-11,-10,-11,-13,-16,-17,-11,-15,-10,-15,-18,-12,-12,-11,-15,-10,-16,-17,-13,-15,-10,-15,-13,-10,-12,-11,-10,-17,-11,-10,-10,-11,-14,-16,-10,-10,-12,-10,-11,-14,-11,-13,-10,-10,-11,-10,-11,-11,-16,-10,-11,-11,-15,-10,-12,-18,-11,-11,-15,-10,-10,-17,-10,-18,-11,-10,-13,-12,-11,-11,-12,-18,-10,-12,-19,-19,-12,-10,-16,-11,-10,-10,-10,-11,-10,-11,-13,-10,-11,-10,-10,-13,-10,-10,-10,-10,-11,-12,-19,-19,-13,-12,-11,-11,-15,-16,-20,-10,-15,-15,-11,-15,-11,-10,-15,-11,-13,-11,-17,-16,-11,-15,-12,-20,-15,-10,-10,-10,-10,-10,-17,-12,-10,-11,-15,-11
5,-10,-15,-10,-11,-11,-11,-18,-15,-11,-10,-12,-10,-15,-16,-14,-16,-14,-10,-11,-14,-15,-13,-14,-17,-15,-11,-10,-15,-11,-10,-15,-17,-15,-11,-10,-10,-10,-11,-15,-16,-11,-14,-14,-10,-15,-10,-18,-10,-12,-10,-10,-11,-16,-16,-10,-17,-15,-11,-11,-14,-10,-10,-19,-15,-10,-10,-10,-11,-13,-10,-19,-16,-17,-15,-17,-16,-11,-21,-10,-10,-17,-11,-16,-11,-16,-15,-10,-20,-15,-12,-14,-19,-11,-16,-10,-12,-11,-10,-15,-11,-12,-10,-11,-14,-19,-12,-10,-10,-15,-11,-17,-10,-13,-14,-16,-11,-15,-14,-15,-13,-11,-12,-15,-15,-17,-15,-19,-15,-17,-11,-10,-12,-11,-10,-12,-20,-13,-19,-12,-16,-10,-14,-10,-11,-11,-10,-10,-19,-10,-10,-11,-18,-10,-16,-15,-11,-11,-15,-22,-14,-10,-16,-11,-17,-10,-16,-11,-11,-10,-10,-17,-15,-23,-10,-16,-11,-22,-16,-12,-17,-14,-12,-15,-11,-16,-16,-19,-16,-16,-10,-11,-15,-16,-19,-12,-11,-15,-11,-15,-10,-11,-17,-16,-18,-12,-11,-11,-12,-15,-10,-11,-14,-15,-18,-15,-12,-16,-16,-10,-10,-10,-10,-12,-16,-14,-15,-11,-21,-10,-10,-17,-17,-20,-10,-10,-14,-11,-13,-15,-10,-16,-10,-10,-17,-10,-10,-12,-15,-17,-11,-17,-13,-14,-17,-15,-15,-10,-12,-21,-18,-16,-11,-15,-10,-11,-10,-11,-13,-16,-12,-11,-15,-10,-15,-18,-17,-12,-11,-15,-15,-16,-17,-13,-15,-10,-15,-13,-10,-12,-11,-10,-17,-11,-10,-10,-11,-14,-16,-10,-10,-17,-10,-16,-14,-11,-13,-10,-10,-11,-10,-11,-11,-16,-10,-11,-11,-15,-10,-12,-18,-11,-11,-15,-10,-10,-17,-10,-18,-11,-10,-13,-12,-11,-11,-12,-18,-10,-12,-19,-19,-17,-10,-16,-11,-10,-10,-10,-11,-10,-11,-13,-10,-11,-10,-10,-13,-10,-10,-10,-10,-11,-12,-19,-19,-18,-17,-11,-11,-15,-16,-20,-10,-15,-15,-11,-15,-11,-10,-15,-11,-13,-11,-17,-16,-11,-15,-12,-20,-15,-10,-10,-10,-10,-10,-17,-12,-10,-11,-15,-11
6,-10,-15,-10,-11,-11,-11,-18,-15,-11,-10,-17,-10,-15,-16,-14,-16,-14,-10,-11,-14,-15,-13,-14,-17,-15,-11,-10,-15,-11,-10,-15,-17,-15,-11,-10,-10,-10,-11,-15,-16,-11,-14,-14,-15,-15,-10,-18,-15,-12,-10,-10,-11,-16,-16,-10,-17,-15,-11,-16,-14,-15,-10,-19,-15,-10,-10,-10,-11,-13,-15,-19,-16,-17,-10,-17,-16,-11,-21,-10,-15,-17,-11,-16,-11,-16,-15,-10,-20,-15,-12,-14,-19,-11,-16,-10,-12,-11,-10,-15,-11,-12,-10,-16,-14,-19,-12,-10,-10,-15,-11,-17,-10,-13,-14,-16,-16,-15,-14,-15,-13,-11,-12,-15,-15,-17,-15,-19,-15,-17,-11,-10,-17,-11,-10,-12,-20,-13,-19,-12,-16,-10,-14,-10,-11,-11,-10,-10,-19,-10,-10,-11,-18,-10,-16,-15,-11,-11,-15,-22,-14,-10,-16,-11,-17,-10,-16,-11,-11,-10,-10,-17,-15,-23,-10,-16,-11,-22,-16,-12,-17,-14,-12,-20,-11,-16,-16,-19,-16,-16,-10,-11,-15,-16,-19,-12,-11,-15,-11,-15,-15,-11,-17,-16,-18,-12,-11,-11,-17,-15,-15,-16,-14,-15,-18,-15,-12,-16,-11,-10,-10,-10,-10,-12,-11,-14,-15,-11,-21,-10,-10,-12,-17,-20,-10,-15,-14,-11,-13,-15,-10,-16,-10,-15,-17,-10,-10,-12,-15,-17,-11,-17,-13,-19,-17,-15,-15,-10,-12,-21,-18,-16,-16,-15,-10,-11,-10,-11,-13,-16,-12,-11,-15,-10,-15,-18,-17,-12,-11,-15,-15,-16,-17,-13,-15,-10,-20,-13,-10,-12,-11,-10,-17,-11,-10,-10,-16,-14,-16,-10,-10,-17,-10,-16,-14,-16,-13,-10,-10,-11,-10,-11,-11,-16,-10,-11,-11,-15,-10,-12,-18,-11,-11,-15,-10,-10,-17,-10,-18,-11,-10,-13,-12,-11,-11,-12,-18,-10,-12,-19,-19,-17,-10,-16,-11,-10,-10,-10,-11,-10,-11,-13,-10,-11,-10,-10,-13,-10,-15,-10,-10,-11,-12,-19,-19,-18,-17,-11,-11,-15,-16,-20,-10,-15,-15,-11,-15,-11,-10,-15,-11,-13,-16,-17,-16,-11,-15,-17,-20,-15,-10,-10,-10,-10,-10,-17,-12,-10,-11,-15,-11
7,-10,-15,-10,-11,-11,-11,-18,-15,-11,-10,-17,-10,-15,-16,-14,-16,-14,-10,-11,-14,-15,-13,-14,-17,-15,-11,-10,-15,-11,-10,-15,-17,-15,-11,-10,-10,-10,-11,-15,-16,-11,-14,-14,-15,-15,-15,-18,-15,-12,-10,-10,-11,-16,-16,-10,-17,-15,-11,-16,-19,-15,-10,-19,-15,-10,-10,-10,-11,-13,-15,-19,-16,-17,-10,-17,-16,-11,-21,-10,-15,-17,-11,-16,-11,-16,-15,-10,-20,-15,-12,-19,-19,-16,-16,-10,-12,-11,-10,-15,-11,-12,-10,-16,-14,-19,-17,-10,-10,-15,-11,-17,-10,-18,-14,-16,-16,-10,-14,-15,-18,-11,-12,-15,-15,-17,-10,-19,-15,-17,-11,-10,-17,-11,-10,-12,-20,-13,-19,-12,-16,-10,-14,-10,-11,-11,-10,-10,-19,-10,-10,-11,-18,-10,-21,-15,-11,-16,-15,-22,-14,-10,-11,-11,-17,-15,-16,-11,-11,-10,-10,-17,-15,-23,-10,-16,-11,-22,-16,-12,-17,-14,-12,-20,-11,-16,-16,-19,-16,-16,-10,-11,-15,-16,-19,-12,-11,-15,-11,-15,-15,-11,-17,-16,-18,-12,-11,-11,-17,-15,-15,-16,-14,-15,-18,-15,-12,-16,-16,-10,-10,-10,-15,-12,-16,-14,-15,-11,-21,-10,-10,-17,-17,-20,-10,-15,-14,-11,-13,-15,-10,-16,-15,-15,-17,-10,-10,-12,-15,-17,-11,-17,-13,-19,-17,-15,-15,-10,-12,-21,-18,-16,-11,-15,-10,-11,-10,-11,-13,-16,-12,-16,-15,-10,-15,-18,-17,-12,-11,-15,-15,-16,-17,-13,-15,-10,-20,-13,-10,-12,-11,-10,-17,-11,-10,-10,-16,-14,-16,-10,-15,-17,-10,-16,-14,-16,-13,-10,-10,-11,-10,-11,-11,-16,-10,-11,-11,-15,-10,-12,-18,-11,-11,-15,-10,-15,-17,-10,-18,-16,-10,-13,-17,-16,-16,-12,-18,-10,-12,-19,-19,-12,-10,-16,-11,-15,-10,-15,-11,-10,-11,-13,-10,-11,-10,-10,-13,-10,-15,-15,-15,-11,-12,-19,-19,-18,-17,-11,-11,-15,-16,-20,-10,-15,-15,-11,-15,-16,-10,-15,-16,-13,-16,-17,-16,-11,-15,-17,-20,-15,-10,-10,-10,-10,-10,-17,-12,-10,-11,-15,-11
8,-10,-15,-10,-11,-11,-11,-18,-15,-11,-10,-17,-10,-15,-16,-14,-16,-14,-10,-11,-14,-15,-13,-14,-17,-15,-11,-10,-15,-11,-10,-15,-17,-15,-11,-10,-15,-10,-11,-15,-16,-16,-14,-14,-15,-15,-15,-18,-15,-17,-10,-15,-11,-16,-16,-10,-17,-15,-11,-16,-19,-15,-15,-19,-15,-10,-10,-10,-11,-13,-15,-19,-16,-17,-10,-17,-16,-11,-21,-10,-15,-17,-11,-16,-11,-16,-15,-10,-20,-15,-12,-19,-19,-11,-16,-10,-12,-11,-10,-15,-11,-12,-10,-11,-14,-19,-17,-10,-10,-15,-11,-17,-10,-18,-14,-16,-16,-15,-14,-15,-18,-11,-12,-15,-15,-17,-15,-19,-15,-17,-11,-10,-17,-16,-10,-12,-20,-13,-19,-12,-16,-10,-14,-10,-11,-11,-15,-15,-19,-10,-10,-11,-18,-10,-16,-15,-16,-16,-10,-22,-14,-10,-16,-11,-17,-15,-16,-11,-11,-15,-10,-17,-15,-23,-10,-16,-11,-22,-16,-12,-17,-14,-12,-20,-11,-16,-16,-19,-16,-16,-10,-11,-15,-16,-19,-17,-11,-15,-16,-15,-15,-11,-17,-16,-18,-12,-11,-16,-17,-15,-15,-16,-14,-15,-18,-15,-12,-16,-16,-10,-10,-10,-15,-17,-16,-14,-15,-16,-21,-10,-10,-17,-12,-20,-10,-15,-14,-11,-18,-15,-10,-16,-15,-15,-17,-10,-10,-12,-15,-17,-11,-17,-13,-19,-17,-15,-15,-10,-12,-21,-18,-16,-11,-15,-10,-11,-10,-11,-13,-16,-17,-11,-15,-10,-15,-18,-17,-12,-11,-15,-15,-16,-17,-13,-15,-10,-20,-13,-10,-12,-11,-10,-17,-11,-10,-10,-16,-14,-16,-10,-15,-17,-10,-16,-14,-16,-13,-15,-10,-11,-10,-11,-11,-16,-10,-11,-11,-15,-10,-12,-18,-11,-11,-15,-10,-10,-17,-10,-18,-16,-10,-13,-17,-16,-16,-12,-18,-10,-12,-19,-19,-12,-10,-16,-11,-15,-10,-15,-11,-10,-11,-13,-10,-11,-10,-10,-13,-10,-15,-15,-15,-11,-12,-19,-19,-18,-17,-11,-16,-15,-16,-20,-10,-15,-15,-11,-15,-16,-10,-15,-11,-13,-16,-17,-16,-16,-15,-17,-20,-15,-10,-10,-10,-10,-10,-17,-12,-10,-11,-15,-11
9,-10,-15,-10,-11,-11,-11,-18,-15,-11,-10,-17,-10,-15,-16,-14,-16,-14,-10,-11,-14,-15,-13,-14,-17,-15,-11,-10,-15,-11,-10,-15,-17,-15,-11,-10,-15,-10,-11,-15,-16,-16,-14,-14,-15,-15,-15,-18,-15,-17,-10,-15,-11,-16,-16,-10,-17,-15,-11,-16,-19,-15,-10,-19,-20,-10,-10,-10,-11,-13,-15,-19,-16,-17,-10,-17,-16,-16,-21,-10,-15,-17,-11,-16,-11,-16,-15,-10,-20,-15,-12,-19,-19,-11,-16,-10,-17,-11,-10,-15,-16,-12,-10,-16,-14,-19,-17,-15,-10,-15,-11,-17,-10,-13,-14,-16,-16,-15,-14,-15,-18,-11,-17,-15,-15,-17,-15,-19,-15,-17,-11,-10,-17,-16,-10,-12,-20,-13,-19,-12,-16,-10,-14,-10,-11,-11,-15,-15,-19,-10,-10,-11,-18,-10,-16,-15,-16,-16,-10,-22,-14,-10,-16,-16,-17,-15,-16,-11,-11,-10,-10,-17,-15,-23,-10,-16,-16,-22,-16,-12,-12,-14,-12,-20,-16,-16,-16,-19,-16,-16,-10,-11,-15,-16,-19,-17,-11,-15,-16,-15,-15,-11,-17,-16,-18,-12,-11,-16,-17,-15,-15,-16,-14,-15,-18,-15,-12,-16,-16,-10,-10,-10,-15,-17,-16,-19,-15,-16,-21,-10,-10,-17,-12,-20,-10,-15,-14,-11,-18,-15,-10,-16,-15,-10,-17,-10,-10,-12,-15,-17,-11,-17,-13,-19,-17,-15,-15,-10,-12,-21,-18,-16,-16,-15,-15,-16,-10,-11,-13,-16,-17,-16,-15,-10,-15,-18,-17,-12,-11,-15,-15,-16,-17,-13,-15,-15,-20,-13,-10,-12,-11,-10,-17,-11,-10,-10,-16,-14,-16,-10,-15,-17,-10,-16,-14,-16,-13,-15,-10,-11,-10,-11,-11,-16,-10,-11,-11,-15,-10,-12,-18,-11,-11,-15,-10,-10,-17,-10,-18,-16,-10,-13,-17,-16,-16,-12,-18,-10,-12,-19,-19,-12,-10,-16,-11,-15,-10,-15,-11,-10,-11,-13,-10,-16,-10,-10,-13,-10,-15,-15,-15,-11,-12,-19,-19,-18,-17,-11,-16,-15,-16,-20,-10,-15,-15,-11,-15,-16,-10,-15,-16,-13,-16,-17,-16,-16,-15,-17,-20,-15,-10,-10,-10,-15,-10,-17,-12,-10,-11,-15,-11
