iteration,local_LB,local_UB,LB,UB,gap,un_served,repeat_served
0,16283.0,170776,16283.0,170776,0.905,_1275_1279_1282_1283_1284_1285_1286_1288_1289_1290_1291_1293_1294_1295_1296_1297_1298_1299_1300_1301_1303_1304_1305_1306_1307_1309_1310_1311_1312_1313_1314_1315_1316_1317_1318_1320_1321_1322_1323_1324_1325_1326_1327_1328_1329_1330_1331_1332_1333_1334_1335_1336_1337_1338_1339_1340_1341_1342_1343_1344_1345_1346_1347_1348_1349_1350_1351_1352_1353_1354_1356_1357_1358_1359_1360_1361_1362_1363_1364_1365_1366_1367_1368_1369_1370_1371_1372_1373_1374_1375_1376_1377_1378_1379_1380_1381_1382_1383_1384_1385_1386_1387_1388_1389_1390_1391_1392_1393_1394_1395_1396_1397_1398_1399_1400_1401_1402_1403_1404_1405_1406_1407_1408_1409_1410_1411_1412_1413_1414_1415_1416_1417_1418_1419_1420_1421_1422_1423_1424_1425_1426_1427_1428_1429_1430_1431_1432_1433_1434_1435_1436_1437_1438_1439_1440_1441_1442_1443_1444_1445_1446_1447_1448_1449_1450_1451_1452_1453_1454_1455_1456_1457_1458_1459_1460_1461_1462_1463_1464_1465_1466_1467_1468_1469_1470_1471_1472_1473_1474_1475_1476_1477_1478_1479_1480_1481_1482_1483_1484_1485_1486_1487_1488_1489_1490_1491_1492_1493_1494_1495_1496_1497_1498_1499_1500_1501_1502_1503_1504_1505_1506_1507_1508_1509_1510_1511_1512_1513_1514_1515_1516_1517_1518_1519_1520_1521_1522_1523_1524_1525_1526_1527_1528_1529_1530_1531_1532_1533_1534_1535_1536_1537_1538_1539_1540_1541_1542_1543_1544_1545_1546_1547_1548_1549_1550_1551_1552_1553_1554_1555_1556_1557_1558_1559_1560_1561_1562_1563_1564_1565_1566_1567_1568_1569_1570_1571_1572_1573_1574_1575_1576_1577_1578_1579_1580_1581_1582_1583_1584_1585_1586_1587_1588_1589_1590_1591_1592_1593_1594_1595_1596_1597_1598_1599,
1,-156434.83,26875,16283.0,26875,0.394,,
2,-147258.782,26926,16283.0,26875,0.394,,
3,-138203.503,26885,16283.0,26875,0.394,,
4,-129625.654,26694,16283.0,26694,0.39,,
5,-121679.202,26479,16283.0,26479,0.385,,
6,-114080.426,26163,16283.0,26163,0.378,,
7,-106792.284,26064,16283.0,26064,0.375,,
8,-99404.074,25871,16283.0,25871,0.371,,
9,-92571.804,25447,16283.0,25447,0.36,,
10,-85835.038,25248,16283.0,25248,0.355,,
11,-79266.998,24975,16283.0,24975,0.348,,
12,-73116.884,24718,16283.0,24718,0.341,,
13,-67125.077,24468,16283.0,24468,0.335,,
14,-61224.695,24157,16283.0,24157,0.326,,
15,-55705.911,23888,16283.0,23888,0.318,,
16,-50442.78,23583,16283.0,23583,0.31,,
17,-45539.495,23193,16283.0,23193,0.298,,
18,-40723.135,22990,16283.0,22990,0.292,,
19,-36335.88,22768,16283.0,22768,0.285,,
20,-32071.886,22525,16283.0,22525,0.277,,
21,-27977.821,22253,16283.0,22253,0.268,,
22,-24057.421,22026,16283.0,22026,0.261,,
23,-20434.597,21832,16283.0,21832,0.254,,
24,-17020.301,21622,16283.0,21622,0.247,,
25,-13785.187,21324,16283.0,21324,0.236,,
26,-10774.674,21088,16283.0,21088,0.228,,
27,-7904.468,20815,16283.0,20815,0.218,,
28,-5334.058,20536,16283.0,20536,0.207,,
29,-3018.736,20280,16283.0,20280,0.197,,
30,-874.764,20050,16283.0,20050,0.188,,
31,1093.964,19759,16283.0,19759,0.176,,
32,2842.392,19476,16283.0,19476,0.164,,
33,4428.171,19231,16283.0,19231,0.153,,
34,5795.528,19038,16283.0,19038,0.145,,
35,7064.412,18877,16283.0,18877,0.137,,
36,8174.165,18598,16283.0,18598,0.124,,
37,9206.451,18471,16283.0,18471,0.118,,
38,10052.206,18312,16283.0,18312,0.111,,
39,10825.267,18158,16283.0,18158,0.103,,
40,11510.45,18023,16283.0,18023,0.097,,
41,12117.027,17923,16283.0,17923,0.092,,
42,12646.899,17831,16283.0,17831,0.087,,
43,13083.482,17695,16283.0,17695,0.08,,
44,13520.713,17609,16283.0,17609,0.075,,
45,13856.918,17499,16283.0,17499,0.069,,
46,14167.27,17406,16283.0,17406,0.065,,
47,14443.567,17322,16283.0,17322,0.06,,
48,14666.625,17213,16283.0,17213,0.054,,
49,14873.325,17160,16283.0,17160,0.051,,
50,15010.731,17059,16283.0,17059,0.045,,
51,15193.299,17010,16283.0,17010,0.043,,
52,15296.359,16957,16283.0,16957,0.04,,
53,15427.662,16895,16283.0,16895,0.036,,
54,15508.08,16862,16283.0,16862,0.034,,
55,15580.522,16823,16283.0,16823,0.032,,
56,15665.294,16769,16283.0,16769,0.029,,
57,15732.276,16758,16283.0,16758,0.028,,
58,15765.088,16694,16283.0,16694,0.025,,
59,15835.119,16687,16283.0,16687,0.024,,
60,15853.616,16662,16283.0,16662,0.023,,
61,15916.896,16637,16283.0,16637,0.021,,
62,15912.469,16614,16283.0,16614,0.02,,
63,15982.359,16598,16283.0,16598,0.019,,
64,15964.357,16579,16283.0,16579,0.018,,
65,16034.612,16565,16283.0,16565,0.017,,
66,16005.878,16553,16283.0,16553,0.016,,
67,16067.064,16529,16283.0,16529,0.015,,
68,16055.833,16525,16283.0,16525,0.015,,
69,16096.893,16505,16283.0,16505,0.013,,
70,16080.822,16501,16283.0,16501,0.013,,
71,16122.289,16486,16283.0,16486,0.012,,
72,16107.683,16470,16283.0,16470,0.011,,
73,16151.296,16470,16283.0,16470,0.011,,
74,16111.361,16465,16283.0,16465,0.011,,
