iteration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,-45,-22,-33,-33,-32,-24,-43,-11,-13,-29,-30,-24,-22,-15,-29,-85,-13,-72,-18,-7,-67,-83,-14,-10,-25,-28,-51,-8,-59,-10,-27,-14,-35,-18,-15,-60,-8,-23,-34,-18,-30,-57,-17,-25,-15,-31,-3,-20,-42,-22,-8,-16,-10,-21,-25,-31,-43,-13,-20,-27,-52,-17,-54,-31,-40,-38,-15,-7,-32,-26,-16,-14,-12,-29,-21,-36,-12,-22,-25,-23,-80,-17,-9,-40,-3,-27,-19,-54,-18,-32,-27,-6,-23,-15,-42,-9,-26,-47,-34,-63
1,-400.92,-377.92,-388.92,-388.92,-387.92,-379.92,-398.92,-366.92,-368.92,-384.92,-385.92,-379.92,-377.92,-370.92,-384.92,-440.92,-368.92,-427.92,-373.92,-362.92,-422.92,-438.92,-369.92,-365.92,-380.92,-383.92,-406.92,-363.92,-414.92,-365.92,-382.92,-369.92,-390.92,-373.92,-370.92,-415.92,-363.92,-378.92,-389.92,-373.92,-385.92,-412.92,-372.92,-380.92,-370.92,-386.92,-358.92,-375.92,-397.92,-377.92,-363.92,-371.92,-365.92,-376.92,-380.92,-386.92,-398.92,-368.92,-375.92,-382.92,-407.92,-372.92,-409.92,-386.92,-395.92,-393.92,-370.92,-362.92,-387.92,-381.92,-371.92,-369.92,-367.92,-384.92,-376.92,-391.92,-367.92,-377.92,-380.92,-378.92,-435.92,-372.92,-364.92,-395.92,-358.92,-382.92,-374.92,-409.92,-373.92,-387.92,-382.92,-361.92,-378.92,-370.92,-397.92,-364.92,-381.92,-402.92,-389.92,-418.92
2,-309.65,-332.28,-252.01,-388.92,-433.56,-334.28,-307.65,-412.56,-323.28,-430.56,-431.56,-334.28,-377.92,-370.92,-384.92,-258.38,-414.56,-245.38,-373.92,-317.28,-286.01,-256.38,-369.92,-365.92,-426.56,-383.92,-270.01,-318.28,-232.38,-320.28,-428.56,-415.56,-299.65,-373.92,-325.28,-279.01,-363.92,-333.28,-344.28,-328.28,-294.65,-321.65,-372.92,-380.92,-416.56,-386.92,-358.92,-330.28,-261.01,-377.92,-318.28,-326.28,-411.56,-376.92,-380.92,-250.01,-353.28,-323.28,-330.28,-337.28,-362.28,-327.28,-273.01,-295.65,-395.92,-348.28,-416.56,-317.28,-387.92,-336.28,-371.92,-369.92,-367.92,-339.28,-376.92,-300.65,-322.28,-377.92,-244.01,-333.28,-253.38,-236.01,-410.56,-304.65,-404.56,-382.92,-283.65,-227.38,-328.28,-296.65,-291.65,-361.92,-378.92,-370.92,-397.92,-410.56,-427.56,-357.28,-344.28,-282.01
3,-139.99,-247.46,-167.18,-388.92,-179.07,-249.46,-222.82,-412.56,-238.46,-430.56,-431.56,-164.63,-377.92,-286.09,-300.09,-3.89,-329.73,9.11,-373.92,-232.46,-116.36,-1.89,-369.92,-281.09,-426.56,-299.09,-185.18,-233.46,-232.38,-235.46,-428.56,-500.38,-299.65,-373.92,-240.46,-109.36,-363.92,-248.46,-259.46,-243.46,-209.82,-321.65,-372.92,-380.92,-416.56,-302.09,-274.09,-245.46,-6.53,-293.09,-233.46,-241.46,-496.38,-376.92,-296.09,-80.36,-268.46,-238.46,-245.46,-252.46,-277.46,-242.46,-103.36,-125.99,-311.09,-348.28,-246.9,-232.46,-387.92,-251.46,-287.09,-285.09,-367.92,-254.46,-376.92,-130.99,-237.46,-377.92,-328.84,-248.46,-83.72,-151.18,-410.56,-304.65,-319.73,-382.92,-113.99,-227.38,-328.28,-211.82,-206.82,-361.92,-378.92,-370.92,-397.92,-410.56,-512.38,-272.46,-344.28,-27.53
4,-139.99,-132.04,-282.6,-273.5,-294.48,-249.46,-222.82,-412.56,-238.46,-315.14,-200.72,-49.21,-262.5,-170.67,-300.09,-119.31,-214.31,-106.31,-373.92,-117.04,-231.77,-117.31,-369.92,-281.09,-426.56,-414.51,-300.6,-233.46,-116.96,-120.04,-313.14,-269.55,-184.23,-258.5,-125.04,-224.77,-363.92,-248.46,-259.46,-243.46,-94.4,-90.81,-372.92,-150.09,-301.14,-302.09,-158.67,-245.46,-121.94,-177.67,-118.04,-126.04,-496.38,-376.92,-180.67,-195.77,-268.46,-123.04,-130.04,-252.46,-162.04,-127.04,-218.77,-241.41,-311.09,-232.87,-362.31,-232.46,-272.5,-251.46,-287.09,-285.09,-367.92,-254.46,-261.5,-246.41,-122.04,-377.92,17.41,-133.04,-199.14,-266.6,-179.72,-189.23,-319.73,-267.5,-229.41,-111.96,-212.87,-211.82,-91.4,-246.5,-263.5,-370.92,-397.92,-410.56,-50.72,-157.04,-228.87,-142.94
5,-205.71,-197.76,-85.43,-273.5,-163.03,-183.73,-157.1,-412.56,-107.01,-315.14,-266.44,-114.93,-262.5,-236.4,-234.37,-185.03,-280.03,-172.03,-308.2,-182.76,-100.32,-183.03,-304.2,-215.37,-360.83,-217.34,-103.43,-167.73,-182.69,-185.76,-313.14,-335.27,-184.23,-258.5,-190.76,-93.32,-232.47,-182.73,-193.73,-177.73,-160.13,-156.54,-372.92,-215.81,-301.14,-236.37,-224.4,-179.73,-187.67,-243.4,-118.04,-191.76,-299.21,-179.75,-246.4,-64.32,-137.01,-188.76,-130.04,-186.73,-227.76,-192.76,-87.32,-175.68,-311.09,-298.59,-230.86,-232.46,-272.5,-251.46,-221.37,-285.09,-236.47,-188.73,-261.5,-114.96,-187.76,-377.92,-48.32,-198.76,-1.97,-69.43,-245.44,-189.23,-254.0,-267.5,-97.96,-177.69,-212.87,-211.82,-157.13,-246.5,-197.78,-239.47,-266.47,-344.83,-116.44,-222.76,-228.87,-208.67
6,-33.62,-111.72,-171.48,-273.5,-249.08,-183.73,-157.1,-68.37,-193.05,-229.09,-266.44,-114.93,-176.46,-150.35,-234.37,-12.94,-193.99,0.06,-222.15,-96.72,-186.37,75.11,-218.15,-301.41,-274.78,-303.38,-189.48,-253.78,-96.64,-185.76,-227.09,-249.23,-184.23,-258.5,-104.72,-179.37,-232.47,-268.78,-193.73,-263.78,-74.08,-242.59,-114.78,-215.81,-215.09,-236.37,-138.35,-179.73,-15.57,-157.35,-204.08,-105.72,-385.26,-179.75,-160.35,-150.37,-223.05,-102.72,-130.04,-186.73,-141.72,-106.72,-173.37,-175.68,-139.0,-212.55,-316.91,-232.46,-186.46,-79.36,-135.32,-199.04,-236.47,-274.78,-261.5,-201.01,-101.72,-291.87,-134.36,-112.72,-88.01,-155.48,-245.44,-189.23,-167.95,-181.46,-184.01,-177.69,-126.82,-125.77,-157.13,-160.46,-197.78,-239.47,-266.47,-258.78,-202.49,-136.72,-142.82,49.47
7,-62.16,-140.25,-171.48,-187.9,-163.48,-183.73,-157.1,-96.9,-135.98,-229.09,-237.91,-114.93,-204.99,-178.88,-205.83,-41.47,-222.52,-28.47,-222.15,-125.25,-129.3,46.57,-218.15,-244.34,-274.78,-217.78,-132.41,-196.71,-125.17,-157.23,-227.09,-277.76,-184.23,-229.97,-133.25,-122.3,-232.47,-211.71,-165.2,-235.24,-102.61,-128.45,-143.31,-215.81,-243.63,-207.83,-166.88,-151.2,-44.11,-185.88,-147.02,-134.25,-299.66,-179.75,-188.88,-93.3,-194.52,-131.25,-130.04,-158.2,-141.72,-135.25,-116.3,-147.15,-139.0,-184.01,-231.31,-175.39,-186.46,-107.9,-163.85,-199.04,-236.47,-160.64,-204.43,-143.94,-130.25,-291.87,-162.9,-141.25,-116.55,-98.41,-216.91,-189.23,-196.49,-209.99,-126.94,-149.15,-155.36,-125.77,-128.59,-160.46,-197.78,-210.94,-237.94,-258.78,-231.02,-136.72,-171.36,20.94
8,-87.84,-140.25,-120.11,-187.9,-189.16,-158.05,-157.1,-122.58,-161.67,-203.41,-186.55,-114.93,-204.99,-153.2,-180.15,-67.15,-196.84,-54.15,-222.15,-150.93,-129.3,20.89,-192.47,-218.66,-223.42,-192.1,-158.09,-171.03,-125.17,-131.55,-227.09,-226.4,-158.55,-204.29,-133.25,-122.3,-206.79,-160.35,-165.2,-209.56,-128.3,-154.13,-169.0,-164.45,-217.94,-182.15,-166.88,-151.2,-69.79,-160.2,-121.33,-159.93,-222.61,-179.75,-163.2,-118.98,-143.16,-131.25,-130.04,-158.2,-167.4,-160.93,-141.98,-147.15,-139.0,-209.69,-179.95,-175.39,-186.46,-133.58,-163.85,-199.04,-185.11,-186.32,-178.75,-118.26,-130.25,-240.51,-162.9,-166.93,-142.23,-124.09,-216.91,-163.55,-170.81,-184.31,-152.62,-149.15,-181.04,-125.77,-128.59,-160.46,-172.1,-210.94,-212.26,-233.1,-231.02,-111.03,-197.04,-4.74
9,-100.8,-127.29,-133.08,-187.9,-176.19,-145.09,-157.1,-135.55,-148.7,-190.45,-186.55,-127.9,-179.06,-153.2,-180.15,-80.12,-183.87,-67.12,-209.19,-137.97,-129.3,7.93,-192.47,-205.7,-223.42,-179.13,-132.16,-158.06,-125.17,-144.51,-201.16,-226.4,-158.55,-191.32,-120.29,-122.3,-193.83,-160.35,-152.23,-196.6,-115.33,-154.13,-169.0,-164.45,-192.02,-182.15,-153.92,-151.2,-82.75,-160.2,-134.3,-146.97,-222.61,-179.75,-150.24,-118.98,-143.16,-118.29,-130.04,-145.23,-154.43,-147.97,-129.02,-147.15,-139.0,-196.73,-179.95,-162.42,-186.46,-146.54,-163.85,-186.08,-185.11,-147.43,-178.75,-131.22,-130.25,-240.51,-149.93,-153.97,-116.3,-137.05,-190.98,-163.55,-183.77,-184.31,-126.69,-136.19,-168.07,-125.77,-128.59,-160.46,-172.1,-185.01,-199.29,-220.14,-192.13,-124.0,-171.11,-17.71
