iteration,local_LB,local_UB,LB,UB,gap,un_served,repeat_served
0,2796.0,20592,2796.0,20592,0.864,_60_61_64_65_66_67_68_69_70_71_72_73_75_76_78_79_80_82_83_84_85_86_87_88_89_90_91_92_93_94_95_96_97_98_99,
1,-3340.44,9026,2796.0,9026,0.69,,
2,1245.022,8987,2796.0,8987,0.689,,
3,1731.741,8401,2796.0,8401,0.667,,
4,2928.932,8064,2928.932,8064,0.637,,
5,3281.81,7904,3281.81,7904,0.585,,
6,4037.446,7731,4037.446,7731,0.478,,
7,4762.348,7735,4762.348,7731,0.384,,
8,5039.266,7504,5039.266,7504,0.328,,
9,5304.778,7229,5304.778,7229,0.266,,
10,5738.359,6881,5738.359,6881,0.166,,
11,5980.33,7183,5980.33,6881,0.131,,
12,6070.211,6772,6070.211,6772,0.104,,
13,6143.088,6677,6143.088,6677,0.08,,
14,6158.486,6830,6158.486,6677,0.078,_99,
15,6124.321,6462,6158.486,6462,0.047,,
16,6235.55,6482,6235.55,6462,0.035,,
17,6264.201,6889,6264.201,6462,0.031,_94,
18,6290.118,6862,6290.118,6462,0.027,_93,
19,6281.702,6892,6290.118,6462,0.027,_84,
20,6283.439,6861,6290.118,6462,0.027,_93,
21,6295.85,7232,6295.85,6462,0.026,_85_92,
22,6280.377,6502,6295.85,6462,0.026,,
23,6312.123,6403,6312.123,6403,0.014,,
24,6315.581,6427,6315.581,6403,0.014,,
25,6319.895,6481,6319.895,6403,0.013,,
26,6316.843,6526,6319.895,6403,0.013,,
27,6314.086,6624,6319.895,6403,0.013,,
28,6324.117,6463,6324.117,6403,0.012,,
29,6319.759,6692,6324.117,6403,0.012,,
30,6328.335,6574,6328.335,6403,0.012,,
31,6318.792,6907,6328.335,6403,0.012,_96,
32,6328.742,6481,6328.742,6403,0.012,,
33,6325.66,6508,6328.742,6403,0.012,,
34,6311.213,6426,6328.742,6403,0.012,,
35,6334.617,6603,6334.617,6403,0.011,,
36,6321.389,6891,6334.617,6403,0.011,_94,
37,6328.807,6520,6334.617,6403,0.011,,
38,6323.806,6483,6334.617,6403,0.011,,
39,6325.296,6560,6334.617,6403,0.011,,
40,6323.607,7240,6334.617,6403,0.011,_84_94,
41,6330.757,6537,6334.617,6403,0.011,,
42,6317.28,6619,6334.617,6403,0.011,,
43,6335.359,6822,6335.359,6403,0.011,_88,
44,6317.045,6838,6335.359,6403,0.011,_96,
45,6330.332,6531,6335.359,6403,0.011,,
46,6323.453,7188,6335.359,6403,0.011,_66_77,
47,6331.429,6513,6335.359,6403,0.011,,
48,6328.032,6503,6335.359,6403,0.011,,
49,6324.376,6506,6335.359,6403,0.011,,
50,6323.543,6519,6335.359,6403,0.011,,
51,6329.77,6528,6335.359,6403,0.011,,
52,6318.333,6687,6335.359,6403,0.011,,
53,6328.884,6617,6335.359,6403,0.011,,
54,6316.981,7255,6335.359,6403,0.011,_95_96,
