iteration,local_LB,local_UB,LB,UB,gap,un_served,repeat_served
0,1253.0,15145,1253.0,15145,0.917,_54_56_63_65_67_68_71_72_73_78_79_82_83_87_88_89_90_91_94_97_98,
1,-45043.08,10590,1253.0,10590,0.882,,
2,-28785.898,10581,1253.0,10581,0.882,,
3,-13916.407,10092,1253.0,10092,0.876,,
4,-1980.66,8787,1253.0,8787,0.857,,
5,1825.506,6866,1825.506,6866,0.734,,
6,3987.309,7435,3987.309,6866,0.419,_91_92,
7,4519.038,7773,4519.038,6866,0.342,_88_94_96,
8,4035.863,7083,4519.038,6866,0.342,_93,
9,4248.31,9766,4519.038,6866,0.342,_62_82_83_87_88_90_92_96,
10,3779.72,7537,4519.038,6866,0.342,_94_96,
11,4221.348,9013,4519.038,6866,0.342,_76_82_83_85_88_94,
12,4104.205,8170,4519.038,6866,0.342,_62_79_94_98,
13,4131.206,10525,4519.038,6866,0.342,_84_88_89_90_91_92_93_94_95_98,
14,4505.751,9476,4519.038,6866,0.342,_69_74_86_91_93_94_95,
15,4786.933,12617,4786.933,6866,0.303,_52_64_69_74_82_83_85_88_89_91_94_95_96_98_99,
16,5022.843,13766,5022.843,6866,0.268,_36_52_56_57_60_64_69_74_82_84_87_88_89_90_91_92_95_98,
17,5171.487,14137,5171.487,6866,0.247,_56_58_60_61_62_63_64_74_76_78_79_82_85_87_89_91_94_96_98,
18,5345.767,12965,5345.767,6866,0.221,_52_59_60_61_63_69_74_76_87_90_91_93_94_95_96_99,
19,5463.216,10593,5463.216,6866,0.204,_52_56_64_82_83_85_87_88_91_95,
20,5558.217,9694,5558.217,6866,0.19,_63_73_76_88_89_92_94_96,
21,5649.308,11763,5649.308,6866,0.177,_56_61_63_64_69_82_87_88_90_91_92_94_95,
22,5765.773,10922,5765.773,6866,0.16,_48_52_56_60_64_76_85_88_89_91_94,
23,5799.922,8896,5799.922,6866,0.155,_84_88_89_91_92_96,
24,5827.591,10530,5827.591,6866,0.151,_60_64_78_84_85_87_90_91_92_94,
25,5839.267,9253,5839.267,6866,0.15,_85_88_89_90_94_98_99,
26,5885.029,8862,5885.029,6866,0.143,_78_87_88_90_91_94,
27,5937.838,7276,5937.838,6866,0.135,_92_96,
28,5951.943,7305,5951.943,6866,0.133,_95_98,
29,5913.305,6513,5951.943,6513,0.086,,
30,6024.083,7652,6024.083,6513,0.075,_76_94_96,
31,6044.259,8013,6044.259,6513,0.072,_78_83_91_92,
32,6028.731,7244,6044.259,6513,0.072,_85_94,
33,6067.222,6448,6067.222,6448,0.059,,
34,6084.632,6485,6084.632,6448,0.056,,
35,6094.142,6880,6094.142,6448,0.055,_91,
36,6093.568,6810,6094.142,6448,0.055,_95,
37,6086.606,6857,6094.142,6448,0.055,_83,
38,6084.238,6462,6094.142,6448,0.055,,
39,6096.983,6444,6096.983,6444,0.054,,
40,6097.429,6606,6097.429,6444,0.054,,
41,6097.666,7612,6097.666,6444,0.054,_88_89_92,
42,6118.321,6795,6118.321,6444,0.051,_94,
43,6096.391,6473,6118.321,6444,0.051,,
44,6111.101,6826,6118.321,6444,0.051,_89,
45,6114.781,6464,6118.321,6444,0.051,,
46,6117.886,6465,6118.321,6444,0.051,,
