iteration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
0,-13,-7,-12,-20,-17,-11,-10,-1,-23,-28,-12,-14,-17,-11,-10,-11,-17,-21,-13,-8,-21,-26,-11,-4,-14,-20,-13,-6,-10,-16,-2,-9,-9,-7,-17,-4,-5,-5,-16,-26,-13,-6,-17,-21,-5,-21,-17,-11,-16,-8,-11,-12,-18,-23,-7,-3,-4,-13,-8,-17,-15,-11,-34,-14,-6,-12,-15,-12,-17,-28,-13,-6,-14,-15,-15,-14,-3,-10,-9,-16,-10,-13,-11,-9,-15,-19,-10,-12,-4,-12,-11,-7,-7,-28,-8,-16,-13,-15,-17,-28,-32,-7,-12,-4,-22,-11,-8,-24,-8,-4,-10,-5,-7,-7,-22,-13,-19,-16,-6,-9,-15,-10,-21,-29,-22,-9,-16,-10,-14,-20,-17,-20,-10,-13,-7,-15,-14,-6,-9,-16,-7,-7,-8,-14,-11,-10,-17,-24,-3,-17,-6,-15,-17,-19,-13,-3,-21,-15,-13,-13,-19,-5,-20,-3,-7,-19,-13,-25,-15,-15,-10,-2,-8,-20,-2,-4,-14,-10,-9,-14,-11,-7,-4,-9,-13,-8,-4,-14,-11,-15,-11,-13,-12,-15,-28,-11,-7,-7,-5,-5
1,-379.54,-373.54,-378.54,-386.54,-383.54,-377.54,-376.54,-367.54,-389.54,-394.54,-378.54,-380.54,-383.54,-377.54,-376.54,-377.54,-383.54,-387.54,-379.54,-374.54,-387.54,-392.54,-377.54,-370.54,-380.54,-386.54,-379.54,-372.54,-376.54,-382.54,-368.54,-375.54,-375.54,-373.54,-383.54,-370.54,-371.54,-371.54,-382.54,-392.54,-379.54,-372.54,-383.54,-387.54,-371.54,-387.54,-383.54,-377.54,-382.54,-374.54,-377.54,-378.54,-384.54,-389.54,-373.54,-369.54,-370.54,-379.54,-374.54,-383.54,-381.54,-377.54,-400.54,-380.54,-372.54,-378.54,-381.54,-378.54,-383.54,-394.54,-379.54,-372.54,-380.54,-381.54,-381.54,-380.54,-369.54,-376.54,-375.54,-382.54,-376.54,-379.54,-377.54,-375.54,-381.54,-385.54,-376.54,-378.54,-370.54,-378.54,-377.54,-373.54,-373.54,-394.54,-374.54,-382.54,-379.54,-381.54,-383.54,-394.54,-398.54,-373.54,-378.54,-370.54,-388.54,-377.54,-374.54,-390.54,-374.54,-370.54,-376.54,-371.54,-373.54,-373.54,-388.54,-379.54,-385.54,-382.54,-372.54,-375.54,-381.54,-376.54,-387.54,-395.54,-388.54,-375.54,-382.54,-376.54,-380.54,-386.54,-383.54,-386.54,-376.54,-379.54,-373.54,-381.54,-380.54,-372.54,-375.54,-382.54,-373.54,-373.54,-374.54,-380.54,-377.54,-376.54,-383.54,-390.54,-369.54,-383.54,-372.54,-381.54,-383.54,-385.54,-379.54,-369.54,-387.54,-381.54,-379.54,-379.54,-385.54,-371.54,-386.54,-369.54,-373.54,-385.54,-379.54,-391.54,-381.54,-381.54,-376.54,-368.54,-374.54,-386.54,-368.54,-370.54,-380.54,-376.54,-375.54,-380.54,-377.54,-373.54,-370.54,-375.54,-379.54,-374.54,-370.54,-380.54,-377.54,-381.54,-377.54,-379.54,-378.54,-381.54,-394.54,-377.54,-373.54,-373.54,-371.54,-371.54
2,-379.54,-284.9,-343.09,-333.36,-365.81,-359.81,-287.9,-314.36,-318.63,-341.36,-325.36,-327.36,-348.09,-288.9,-358.81,-324.36,-294.9,-316.63,-326.36,-339.09,-298.9,-268.45,-288.9,-352.81,-345.09,-297.9,-361.81,-337.09,-323.36,-293.9,-368.54,-304.63,-340.09,-320.36,-312.63,-335.09,-389.27,-353.81,-347.09,-357.09,-361.81,-372.54,-277.18,-334.36,-318.36,-334.36,-259.45,-288.9,-311.63,-303.63,-377.54,-343.09,-331.36,-318.63,-320.36,-334.09,-352.81,-344.09,-374.54,-330.36,-363.81,-324.36,-311.9,-362.81,-337.09,-378.54,-363.81,-289.9,-365.81,-323.63,-361.81,-354.81,-309.63,-363.81,-310.63,-327.36,-316.36,-376.54,-322.36,-347.09,-270.18,-273.18,-324.36,-340.09,-328.36,-332.36,-341.09,-272.18,-317.36,-307.63,-324.36,-338.09,-338.09,-323.63,-303.63,-329.36,-361.81,-328.36,-312.63,-323.63,-363.09,-373.54,-343.09,-335.09,-353.09,-324.36,-321.36,-355.09,-303.63,-317.36,-323.36,-300.63,-355.81,-355.81,-317.63,-308.63,-332.36,-382.54,-337.09,-357.81,-346.09,-376.54,-405.27,-271.45,-299.9,-322.36,-293.9,-341.09,-291.9,-315.63,-330.36,-315.63,-358.81,-344.09,-320.36,-257.45,-327.36,-354.81,-340.09,-276.18,-338.09,-284.9,-356.81,-345.09,-306.63,-323.36,-348.09,-355.09,-298.63,-330.36,-354.81,-346.09,-312.63,-314.63,-361.81,-334.09,-298.9,-346.09,-344.09,-308.63,-332.36,-353.81,-333.36,-334.09,-355.81,-367.81,-326.36,-356.09,-363.81,-310.63,-287.9,-315.36,-374.54,-368.81,-333.09,-317.36,-274.18,-341.09,-375.54,-309.63,-253.45,-338.09,-388.27,-304.63,-308.63,-321.36,-299.63,-291.9,-288.9,-363.81,-306.63,-326.36,-360.81,-346.09,-305.9,-359.81,-320.36,-302.63,-336.09,-336.09
3,-379.54,-200.38,-258.56,-248.84,-323.55,-317.55,-224.51,-250.97,-234.11,-277.97,-261.97,-285.1,-305.82,-225.51,-316.55,-260.97,-189.25,-232.11,-262.97,-275.69,-214.38,-162.8,-204.38,-289.42,-302.82,-255.64,-277.29,-294.82,-259.97,-272.77,-347.41,-220.11,-297.82,-256.97,-228.11,-229.43,-410.4,-290.42,-304.82,-314.82,-340.68,-330.28,-150.39,-292.1,-254.97,-270.97,-196.06,-225.51,-227.11,-219.11,-377.54,-300.82,-267.97,-234.11,-256.97,-291.82,-331.68,-301.82,-332.28,-266.97,-342.68,-260.97,-248.51,-320.55,-273.69,-378.54,-321.55,-205.38,-281.29,-260.24,-319.55,-312.55,-225.11,-342.68,-226.11,-263.97,-252.97,-334.28,-258.97,-262.56,-227.92,-230.92,-260.97,-297.82,-264.97,-268.97,-277.69,-187.66,-253.97,-223.11,-260.97,-295.82,-274.69,-239.11,-219.11,-265.97,-340.68,-264.97,-249.24,-260.24,-363.09,-331.28,-300.82,-292.82,-310.82,-260.97,-257.97,-312.82,-240.24,-232.84,-259.97,-216.11,-292.42,-313.55,-254.24,-245.24,-290.1,-319.15,-294.82,-336.68,-261.56,-355.41,-384.14,-208.06,-215.38,-258.97,-251.64,-298.82,-207.38,-273.37,-288.1,-231.11,-337.68,-301.82,-278.1,-194.06,-263.97,-333.68,-276.69,-191.66,-274.69,-179.25,-314.55,-302.82,-222.11,-238.84,-263.56,-312.82,-192.98,-266.97,-270.29,-303.82,-249.24,-251.24,-340.68,-291.82,-214.38,-282.69,-301.82,-224.11,-290.1,-269.29,-269.97,-249.56,-313.55,-304.42,-262.97,-292.69,-342.68,-226.11,-203.38,-230.84,-374.54,-347.68,-290.82,-253.97,-168.52,-298.82,-354.41,-225.11,-211.19,-274.69,-346.01,-220.11,-224.11,-257.97,-215.11,-207.38,-246.64,-300.42,-264.37,-262.97,-318.55,-303.82,-242.51,-338.68,-256.97,-218.11,-293.82,-293.82
4,-301.06,-121.9,-206.24,-170.36,-245.07,-265.23,-146.03,-172.49,-181.79,-199.49,-183.49,-206.62,-201.19,-173.19,-264.23,-182.49,-163.09,-153.63,-184.49,-197.21,-135.9,-84.32,-152.06,-210.94,-250.51,-203.32,-251.13,-242.51,-181.49,-194.29,-242.77,-167.79,-245.51,-178.49,-123.47,-177.11,-410.4,-211.94,-252.51,-262.51,-262.2,-277.96,-150.39,-213.62,-176.49,-192.49,-169.9,-147.03,-174.79,-114.47,-351.38,-248.51,-189.49,-155.63,-178.49,-239.51,-279.36,-223.35,-279.96,-188.49,-290.36,-182.49,-196.19,-268.23,-221.37,-352.38,-243.07,-153.06,-255.13,-181.76,-241.07,-260.23,-120.47,-264.2,-147.63,-211.65,-174.49,-255.8,-206.65,-210.24,-175.6,-178.6,-182.49,-219.35,-212.65,-190.49,-225.37,-135.34,-149.33,-144.63,-182.49,-217.35,-196.21,-160.63,-166.79,-187.49,-236.04,-186.49,-196.92,-155.6,-258.45,-278.96,-248.51,-240.51,-258.51,-182.49,-179.49,-260.51,-161.76,-154.36,-181.49,-137.63,-213.94,-235.07,-175.76,-219.08,-211.62,-240.67,-242.51,-310.52,-209.24,-329.25,-305.66,-181.9,-136.9,-180.49,-173.16,-220.35,-128.9,-168.73,-235.78,-152.63,-311.52,-249.51,-225.78,-141.74,-185.49,-281.36,-198.21,-165.5,-196.21,-100.77,-262.23,-250.51,-222.11,-160.36,-185.08,-260.51,-140.66,-214.65,-244.13,-225.35,-170.76,-198.92,-262.2,-239.51,-135.9,-204.21,-223.35,-145.63,-211.62,-243.13,-191.49,-171.08,-235.07,-199.78,-184.49,-214.21,-290.36,-147.63,-98.74,-152.36,-269.9,-216.88,-238.51,-175.49,-142.37,-220.35,-302.09,-146.63,-158.87,-196.21,-293.69,-141.63,-197.95,-179.49,-110.47,-155.06,-168.16,-221.94,-185.89,-184.49,-266.23,-225.35,-164.03,-312.52,-178.49,-165.79,-241.51,-241.51
5,-214.3,-121.9,-119.48,-199.28,-187.23,-149.55,-174.95,-85.73,-123.95,-112.73,-96.73,-148.78,-143.34,-144.27,-206.39,-124.65,-134.17,-95.79,-213.41,-139.37,-135.9,-113.24,-123.14,-124.18,-105.9,-145.48,-135.45,-155.74,-94.73,-165.37,-184.93,-138.87,-187.66,-120.65,-152.39,-119.27,-294.71,-154.1,-165.74,-204.66,-175.44,-191.2,-121.47,-155.78,-118.65,-105.73,-169.9,-89.19,-116.95,-114.47,-177.86,-190.66,-102.73,-126.71,-91.73,-123.82,-163.68,-136.58,-164.28,-159.57,-174.68,-124.65,-138.35,-123.63,-134.61,-265.62,-185.23,-124.14,-110.53,-123.92,-183.23,-202.39,-120.47,-148.52,-118.71,-124.89,-87.73,-169.04,-148.81,-152.4,-117.75,-149.68,-95.73,-161.5,-125.89,-132.65,-138.61,-135.34,-149.33,-173.55,-124.65,-159.5,-138.37,-131.71,-108.95,-129.65,-178.2,-99.73,-139.08,-155.6,-142.76,-192.2,-190.66,-182.66,-200.66,-95.73,-121.65,-173.74,-75.0,-125.44,-123.65,-79.79,-156.1,-148.31,-89.0,-74.48,-153.78,-182.83,-184.66,-223.76,-151.4,-242.49,-161.05,-124.06,-107.98,-93.73,-173.16,-162.5,-128.9,-139.81,-120.09,-123.71,-195.84,-191.66,-139.02,-112.82,-98.73,-165.68,-140.37,-136.57,-138.37,-129.69,-117.63,-192.66,-77.51,-131.44,-127.24,-144.82,-111.74,-156.81,-128.45,-138.58,-141.84,-141.08,-175.44,-152.74,-106.98,-117.45,-165.5,-87.79,-153.78,-127.45,-133.65,-113.24,-177.23,-170.86,-155.57,-185.29,-174.68,-176.55,-127.66,-152.36,-183.14,-187.96,-180.66,-146.57,-113.44,-162.5,-244.25,-146.63,-129.95,-138.37,-235.85,-141.63,-111.19,-121.65,-139.39,-126.14,-110.32,-135.18,-156.97,-155.57,-179.47,-167.5,-135.11,-81.16,-120.65,-136.87,-183.66,-183.66
6,-107.64,-100.57,-140.81,-71.29,-123.24,-128.22,-25.63,-107.06,-145.28,-134.06,-118.06,-148.78,-122.01,-80.28,-142.4,-145.98,-134.17,-117.12,21.24,-118.04,-114.57,-113.24,-144.47,-124.18,-127.23,-102.82,-135.45,-113.08,-116.06,-101.38,-35.61,-74.87,-123.67,-120.65,-67.06,-119.27,-17.4,-111.44,-101.75,-98.01,-132.78,-127.2,-100.14,-113.11,-97.31,-127.06,-41.91,-110.52,-138.28,-114.47,-177.86,-126.67,-124.06,-126.71,-113.06,-102.49,-142.35,-115.25,-164.28,-116.9,-153.35,-103.31,-138.35,-144.96,-134.61,-73.63,-121.24,-145.47,-131.86,-145.25,-97.9,-74.4,-77.81,-169.85,-118.71,-103.55,-109.06,-126.37,-127.47,-109.74,-117.75,-64.35,-117.06,-118.84,-125.89,-89.98,-138.61,-71.34,-106.66,-66.89,-124.65,-116.84,-138.37,-110.38,-130.28,-129.65,-114.21,-121.06,-96.42,-91.61,-142.76,-128.2,-148.0,-118.67,-136.67,-117.06,-142.98,-131.08,-96.33,-104.11,-123.65,-101.12,-134.77,-126.98,-110.33,-95.81,-132.44,-97.5,-142.0,-74.44,-130.07,-71.83,-182.39,-145.39,-129.31,-115.06,-66.51,-119.84,-86.24,-118.48,-141.43,-145.04,-131.84,-106.34,-160.35,-134.15,-120.06,-144.35,-140.37,-93.91,-159.71,-87.03,-138.96,-128.67,-98.84,-110.11,-84.58,-123.49,-133.07,-114.14,-149.78,-117.25,-99.18,-119.75,-111.45,-131.41,-128.31,-117.45,-101.51,-109.12,-132.44,-148.78,-154.98,-113.24,-113.24,-106.87,-112.9,-121.3,-132.02,-91.22,-106.33,-67.03,-119.14,-38.64,-95.34,-82.57,-113.44,-119.84,-158.92,-82.64,-87.28,-117.04,-86.52,-77.64,-132.52,-142.98,-96.73,-104.81,-131.65,-156.51,-50.31,-134.24,-94.14,-103.51,-113.78,-102.49,-120.65,-115.54,-141.0,-119.67
7,-114.01,-106.94,-108.95,-77.66,-123.24,-121.85,-32.0,-113.43,-113.42,-114.94,-111.68,-85.05,-122.01,-86.65,-129.65,-114.12,-102.31,-110.75,14.87,-118.04,-120.94,-106.87,-106.24,-124.18,-108.12,-109.19,-109.96,-113.08,-103.31,-107.75,-41.98,-81.25,-117.3,-107.9,-73.44,-119.27,-23.78,-117.81,-108.12,-104.38,-126.41,-127.2,-106.51,-119.49,-103.69,-114.31,-48.28,-116.9,-100.05,-114.47,-107.76,-126.67,-111.31,-120.34,-113.06,-108.86,-110.49,-115.25,-94.18,-123.28,-115.11,-103.31,-112.86,-119.47,-121.87,-80.01,-121.24,-88.12,-125.49,-94.27,-104.28,-80.77,-84.18,-106.13,-125.08,-109.93,-115.43,-132.75,-121.1,-116.11,-111.38,-70.72,-104.31,-118.84,-113.14,-96.36,-125.87,-77.71,-113.04,-73.27,-111.9,-116.84,-106.51,-116.75,-104.79,-116.9,-107.83,-114.68,-102.79,-97.98,-130.02,-121.83,-135.26,-118.67,-123.92,-117.06,-111.12,-118.34,-102.7,-110.48,-110.9,-107.49,-122.02,-126.98,-110.33,-102.18,-106.96,-103.87,-122.88,-80.81,-117.33,-78.21,-99.55,-94.41,-110.2,-121.43,-72.88,-119.84,-92.61,-112.11,-122.31,-113.18,-125.47,-106.34,-115.74,-95.92,-107.31,-118.86,-95.77,-100.28,-115.1,-93.4,-119.84,-115.92,-105.21,-116.48,-90.95,-117.12,-94.84,-120.52,-98.8,-117.25,-105.55,-119.75,-117.82,-118.67,-102.82,-117.45,-107.88,-96.38,-119.7,-123.29,-91.25,-113.24,-119.61,-113.24,-119.28,-114.93,-132.02,-97.6,-112.7,-73.4,-119.14,-45.01,-101.71,-88.94,-107.07,-107.1,-139.81,-89.01,-93.66,-117.04,-92.9,-84.01,-100.66,-98.37,-103.1,-111.18,-99.79,-105.53,-56.68,-121.49,-100.52,-109.88,-113.78,-108.86,-107.9,-115.54,-128.26,-113.3
8,-119.08,-112.01,-114.02,-82.73,-113.09,-96.49,-37.08,-108.36,-108.35,-114.94,-111.68,-90.12,-106.8,-91.72,-109.37,-109.04,-107.38,-110.75,9.8,-97.76,-110.8,-101.79,-111.31,-88.68,-108.12,-109.19,-115.03,-108.01,-108.38,-112.82,-47.05,-86.32,-112.23,-107.9,-78.51,-98.99,-28.85,-107.67,-113.19,-109.45,-95.98,-117.06,-111.59,-99.2,-103.69,-114.31,-53.35,-96.61,-105.12,-99.26,-112.83,-106.38,-111.31,-110.19,-118.13,-103.79,-110.49,-110.18,-99.25,-92.85,-120.19,-103.31,-107.79,-114.4,-106.65,-85.08,-116.16,-93.19,-115.34,-99.34,-104.28,-85.85,-89.25,-111.2,-69.3,-99.78,-105.29,-82.03,-100.82,-105.97,-101.24,-75.79,-104.31,-118.84,-113.14,-101.43,-110.65,-82.78,-107.97,-78.34,-116.97,-111.77,-111.58,-106.61,-109.86,-111.83,-107.83,-104.54,-107.86,-103.05,-94.52,-106.62,-99.76,-108.53,-108.71,-106.91,-106.04,-108.19,-107.77,-105.41,-105.83,-97.35,-101.74,-101.62,-100.19,-107.25,-112.03,-108.95,-102.6,-85.88,-107.18,-83.28,-104.62,-99.48,-105.13,-85.93,-77.95,-99.55,-97.68,-112.11,-107.1,-108.11,-95.04,-106.34,-115.74,-100.99,-107.31,-103.64,-100.84,-105.36,-115.1,-98.47,-109.7,-105.78,-110.28,-116.48,-96.02,-112.05,-99.91,-110.37,-103.87,-107.11,-110.62,-99.46,-107.68,-108.52,-107.9,-107.31,-112.95,-101.45,-114.63,-108.08,-96.33,-98.03,-109.47,-118.31,-114.2,-120.0,-86.37,-102.67,-107.63,-78.47,-114.07,-50.08,-106.78,-94.02,-107.07,-112.17,-73.88,-94.08,-98.73,-111.97,-97.97,-89.08,-105.73,-103.44,-108.17,-116.25,-104.86,-110.6,-61.76,-96.13,-105.59,-114.95,-103.64,-108.86,-107.9,-105.39,-107.97,-108.23
9,-77.0,-105.0,-100.0,-86.24,-109.59,-100.0,-40.58,-108.36,-111.85,-97.4,-101.16,-93.63,-106.8,-95.23,-112.87,-109.04,-107.38,-103.73,6.29,-101.26,-114.31,-105.3,-111.31,-92.19,-97.59,-98.67,-101.0,-104.5,-104.88,-105.81,-50.56,-89.83,-108.72,-107.9,-82.02,-102.49,-32.35,-107.67,-106.18,-105.94,-99.48,-110.05,-101.06,-102.71,-103.69,-107.3,-56.86,-100.12,-108.62,-102.76,-109.32,-106.38,-100.79,-103.18,-100.59,-103.79,-103.47,-110.18,-102.76,-96.35,-92.13,-106.82,-104.28,-110.89,-106.65,-88.58,-102.14,-96.7,-108.33,-102.85,-104.28,-89.35,-92.76,-114.71,-72.8,-103.29,-108.79,-85.54,-104.32,-109.48,-104.75,-79.3,-100.81,-97.8,-102.62,-104.93,-107.15,-86.29,-107.97,-81.84,-106.45,-104.76,-108.08,-110.11,-102.85,-108.32,-104.33,-104.54,-100.85,-106.56,-98.03,-110.12,-103.26,-108.53,-108.71,-106.91,-109.55,-104.69,-111.28,-101.9,-105.83,-100.86,-105.25,-105.13,-103.69,-103.74,-101.51,-105.44,-106.1,-89.39,-103.68,-86.79,-108.12,-102.99,-108.63,-89.44,-81.46,-103.06,-101.19,-108.6,-110.6,-108.11,-98.55,-106.34,-98.21,-100.99,-100.3,-107.15,-104.35,-105.36,-104.58,-101.98,-106.19,-109.29,-96.25,-91.93,-99.53,-101.53,-103.42,-110.37,-103.87,-107.11,-103.61,-102.97,-107.68,-108.52,-104.39,-103.8,-102.43,-104.95,-107.61,-104.57,-99.83,-101.54,-109.47,-97.27,-103.68,-95.45,-89.88,-106.18,-107.63,-81.98,-103.55,-53.59,-110.29,-97.52,-96.55,-94.63,-77.38,-97.59,-102.24,-104.96,-101.48,-92.59,-109.24,-106.95,-111.68,-84.69,-104.86,-103.59,-65.26,-99.64,-105.59,-90.4,-107.14,-105.35,-104.39,-101.89,-107.97,-104.72
