iteration,local_LB,local_UB,LB,UB,gap,un_served,repeat_served
0,2309.0,38080,2309.0,100000,0.977,_51_57_64_66_67_69_70_71_72_73_74_75_77_80_82_83_85_86_87_89_90_91_92_93_95_97_98,
1,2446.0,34502,2446.0,34502,0.929,_20_30_33_34_38_44_45_49_50_51_55_56_57_59_60_63_64_65_67_71_72_73_74_75_76_77_78_79_80_82_83_84_86_87_88_89_90_92_93_94_95_96_97_98,
2,2603.0,34355,2603.0,34355,0.924,_24_30_32_34_35_37_38_45_47_57_58_62_63_66_67_69_71_72_73_74_76_77_78_79_80_81_83_84_85_86_88_89_91_95_96_97_98_99,
3,2768.0,35504,2768.0,34355,0.919,_36_43_46_49_53_55_56_57_60_62_64_65_68_69_70_71_72_73_75_76_79_80_81_82_83_85_87_88_89_90_91_92_93_94_96_99,
4,2928.0,34075,2928.0,34075,0.914,_25_38_39_47_50_57_60_63_64_66_67_69_71_72_73_74_75_77_78_79_80_82_84_85_86_87_88_89_91_95_97_99,
5,3077.0,36904,3077.0,34075,0.91,_32_37_40_45_49_55_58_59_61_62_63_64_65_66_67_69_70_72_73_74_78_80_81_83_84_86_88_89_92_94_95_96_98,
6,3224.0,32449,3224.0,32449,0.901,_37_38_41_48_49_53_57_58_62_63_64_65_68_70_71_72_73_74_75_79_80_82_83_84_85_86_87_88_89_90_93_99,
7,3370.0,39484,3370.0,32449,0.896,_32_33_42_47_50_55_62_64_66_67_68_69_70_71_72_73_75_76_79_80_82_85_87_89_91_93_94_95_96_97_98_99,
8,3513.0,36129,3513.0,32449,0.892,_10_24_32_33_34_35_38_42_45_48_51_53_55_57_58_60_61_64_65_66_68_71_72_73_76_78_79_80_81_87_88_89_91_92_93_94_98_99,
9,3650.0,31212,3650.0,31212,0.883,_25_33_34_37_38_45_47_49_50_52_55_56_57_62_63_66_70_71_72_73_75_76_77_79_80_81_82_83_84_86_88_89_90_95_96_97_99,
10,3789.0,34835,3789.0,31212,0.879,_40_43_44_51_52_53_55_57_59_60_64_65_66_67_68_69_70_72_73_74_78_79_80_82_84_85_86_87_88_89_90_91_92_93_94_96_97_98,
11,3927.0,32595,3927.0,31212,0.874,_19_24_30_31_32_33_34_35_38_42_45_47_49_53_54_55_56_57_58_59_62_63_64_65_70_71_72_76_77_79_80_81_82_84_86_87_89_90_95_99,
12,4058.0,37092,4058.0,31212,0.87,_7_14_19_23_32_33_34_38_42_48_49_51_53_55_60_62_65_66_67_68_69_71_72_73_74_76_78_79_80_83_85_87_88_89_92_93_94_96_97_99,
13,4189.0,35678,4189.0,31212,0.866,_20_25_33_34_37_43_45_49_50_55_57_58_61_63_64_65_66_72_73_75_79_80_81_82_83_84_85_86_88_91_94_95_97_98_99,
14,4314.0,34390,4314.0,31212,0.862,_23_24_25_28_32_33_37_41_42_47_48_49_52_55_56_62_63_64_65_66_67_68_69_70_71_73_74_75_77_78_79_82_83_84_85_89_90_92_96_97_99,
15,4427.0,34452,4427.0,31212,0.858,_32_45_50_53_55_56_58_59_63_65_66_69_70_72_76_81_86_87_88_89_90_91_94_95_97_98,
16,4546.0,32846,4546.0,31212,0.854,_23_25_27_28_29_33_35_37_38_41_43_44_47_48_49_50_51_53_57_60_61_62_63_64_66_67_68_70_71_72_74_75_78_79_82_85_88_89_92_93_96_99,
17,4663.0,32833,4663.0,31212,0.851,_20_24_30_32_33_34_36_37_39_40_42_43_47_49_52_53_55_57_58_60_63_66_69_72_73_75_76_78_81_84_85_86_87_88_91_95_97_98_99,
18,4765.0,31713,4765.0,31212,0.847,_24_29_31_34_37_38_42_45_48_49_50_52_54_55_62_64_65_68_70_71_74_76_77_79_82_84_85_87_89_90_92_93_94_95_99,
19,4876.0,30538,4876.0,30538,0.84,_23_24_27_28_29_32_33_34_37_38_40_41_43_48_49_52_53_56_57_60_62_66_69_70_71_72_74_75_78_79_81_82_83_85_86_91_93_95_96_98,
20,4973.0,31033,4973.0,30538,0.837,_1_4_11_14_20_21_22_25_26_27_30_32_33_34_35_36_38_39_42_43_46_47_49_50_51_52_56_57_58_59_62_63_66_67_68_73_76_78_79_80_82_84_87_88_90_92_94_97_99,
21,5062.0,32986,5062.0,30538,0.834,_7_12_20_23_24_27_28_29_32_37_40_44_48_49_53_55_59_60_65_66_69_70_71_72_74_75_76_79_81_83_85_88_89_91_95_98_99,
22,5156.0,33326,5156.0,30538,0.831,_3_4_5_11_14_17_23_30_31_33_34_36_42_45_47_48_49_50_52_53_55_57_61_62_63_64_66_68_69_70_71_73_78_80_82_84_85_87_89_92_93_94_95_97_99,
23,5262.0,31679,5262.0,30538,0.828,_6_16_19_28_29_32_33_34_36_37_38_40_43_48_49_50_53_54_56_57_61_62_64_65_67_70_72_74_77_79_81_82_86_87_88_90_95_96_98,
24,5333.0,27706,5333.0,27706,0.808,_10_14_17_19_20_22_23_24_33_34_35_37_40_44_46_47_48_52_55_58_59_60_66_69_71_72_73_75_76_78_79_80_81_83_84_85_86_87_89_91_92_93_95_97_98,
25,5426.0,31929,5426.0,27706,0.804,_5_7_10_15_21_27_30_32_36_39_41_42_44_48_49_50_51_56_57_59_61_63_64_65_68_69_70_72_74_79_80_87_90_91_94_95_97_98_99,
26,5512.0,31142,5512.0,27706,0.801,_4_12_23_25_26_28_29_30_32_35_36_37_38_40_42_45_46_49_50_57_58_62_64_66_67_69_70_71_73_75_76_78_81_82_83_85_87_88_89_90_93_96,
27,5599.0,30074,5599.0,27706,0.798,_19_22_23_27_29_31_34_37_38_40_47_51_53_55_56_58_59_60_63_68_69_70_73_74_79_84_85_86_87_88_91_92_94_95_96_97_98,
28,5674.0,28176,5674.0,27706,0.795,_19_32_33_36_39_41_43_44_45_46_48_50_51_54_56_61_62_65_66_67_69_71_75_78_80_81_82_87_90_93_95_96_99,
29,5751.0,29098,5751.0,27706,0.792,_4_11_17_23_25_33_36_37_38_40_47_48_49_52_53_55_57_58_63_64_68_71_72_73_76_79_82_83_85_86_88_89_91_92_93_94_95_97_98,
30,5841.0,31137,5841.0,27706,0.789,_5_14_15_17_21_24_28_30_32_33_35_41_42_43_44_47_51_56_60_62_65_66_70_72_75_76_77_78_80_81_82_84_86_87_88_90_94_95_99,
31,5914.0,28777,5914.0,27706,0.787,_22_29_30_31_38_45_48_49_52_55_56_57_63_64_67_69_72_73_74_79_80_81_85_86_87_89_91_92_93_94_95_96_97,
32,5983.5,30662,5983.5,27706,0.784,_23_24_32_33_36_37_41_43_46_49_50_52_53_56_58_62_64_65_66_68_71_75_76_78_81_83_85_87_88_90_96_97_99,
33,6074.0,27865,6074.0,27706,0.781,_5_20_21_22_23_25_28_29_32_35_38_41_42_47_53_54_55_56_60_63_64_67_77_79_86_90_91_92_93_94_95_98,
34,6167.5,31521,6167.5,27706,0.777,_4_24_26_30_33_34_45_47_52_55_57_58_62_66_68_69_70_71_72_73_74_75_76_80_82_83_84_88_89_90_91_97_98,
35,6283.5,27690,6283.5,27690,0.773,_3_4_10_11_12_14_16_19_23_25_27_29_35_36_37_38_42_44_46_48_49_53_54_56_60_63_65_67_70_77_79_81_83_84_85_86_87_93_95_96_99,
36,6372.0,26433,6372.0,26433,0.759,_10_12_22_33_38_39_40_42_43_52_55_57_58_59_61_62_64_68_69_72_73_75_76_82_84_85_88_90_91_92_94_98,
37,6498.0,23450,6498.0,23450,0.723,_19_34_40_46_47_48_50_51_52_53_54_58_63_66_70_71_78_79_80_81_86_88_89_90_92_93_95_96_97_99,
38,6598.5,28545,6598.5,23450,0.719,_44_49_51_55_59_60_62_65_69_72_75_77_83_84_87_89_91_94_97_98,
39,6720.0,25203,6720.0,23450,0.713,_32_35_46_49_53_55_58_60_61_63_66_68_71_73_74_76_78_80_82_86_87_88_93_94_95_99,
40,6852.0,24041,6852.0,23450,0.708,_28_41_43_45_50_64_65_67_71_72_74_75_77_79_81_82_84_85_91_92_94_98,
41,6945.0,21143,6945.0,21143,0.672,_12_34_37_38_43_45_48_53_61_62_63_69_70_76_78_83_88_89_91_93_97_99,
42,7055.0,21882,7055.0,21143,0.666,_24_34_36_42_49_51_52_56_57_58_59_60_61_64_65_66_68_70_77_79_81_82_84_87_98,
43,7134.0,22226,7134.0,21143,0.663,_31_33_47_55_72_83_85_90_92_95_96_97,
44,7210.0,22330,7210.0,21143,0.659,_49_52_57_64_66_68_69_71_74_75_79_86_87_88_89,
45,7321.0,17936,7321.0,17936,0.592,_13_20_24_26_32_36_38_39_43_51_53_55_61_63_67_69_72_77_82_84_85_91_97_99,
46,7400.5,20695,7400.5,17936,0.587,_19_33_49_55_58_59_66_70_73_75_76_80_88_94_95,
47,7458.0,22084,7458.0,17936,0.584,_17_37_41_44_47_50_52_60_81_86_90_92_96_98,
48,7547.0,19712,7547.0,17936,0.579,_32_36_49_51_53_55_57_61_65_74_75_82_85_88_89_91_95_99,
49,7589.0,18809,7589.0,17936,0.577,_29_46_50_59_60_63_68_70_71_72_79_80_87_93_95_97,
50,7616.5,18621,7616.5,17936,0.575,_4_28_33_38_40_57_73_75_76_77_92,
51,7692.5,17030,7692.5,17030,0.548,_48_53_69_79_81_84_86_93_96,
52,7700.5,15875,7700.5,15875,0.515,_44_62_65_74_85_92_99,
53,7813.5,14981,7813.5,14981,0.478,_24_25_43_51_66_68_70_71_72_95_98,
54,7837.0,13253,7837.0,13253,0.409,_74_80_81_91_93,
55,7797.0,13457,7837.0,13253,0.409,_73_75_97_99,
56,7851.0,14065,7851.0,13253,0.408,_36_79_82_85_87,
57,7848.0,12359,7851.0,12359,0.365,_78_93,
58,7936.5,12836,7936.5,12359,0.358,_62_68,
59,7806.5,12264,7936.5,12264,0.353,_71_85_99,
60,7907.0,13213,7936.5,12264,0.353,_10_12_22_30_65_73_74,
61,7872.5,13006,7936.5,12264,0.353,_49_63_72_92,
62,7825.0,11937,7936.5,11937,0.335,,
63,7849.0,12512,7936.5,11937,0.335,,
64,7949.5,13086,7949.5,11937,0.334,,
65,8015.0,10964,8015.0,10964,0.269,_98,
66,8074.5,10639,8074.5,10639,0.241,,
67,8140.5,9718,8140.5,9718,0.162,,
68,8176.5,12459,8176.5,9718,0.159,_92,
69,8204.0,9707,8204.0,9707,0.155,,
70,8243.0,12711,8243.0,9707,0.151,_89_96,
71,8262.5,11952,8262.5,9707,0.149,,
72,8278.5,12689,8278.5,9707,0.147,_97,
73,8295.5,12175,8295.5,9707,0.145,,
74,8303.5,11336,8303.5,9707,0.145,,
75,8318.0,9929,8318.0,9707,0.143,_97,
76,8323.0,11120,8323.0,9707,0.143,,
77,8320.0,10613,8323.0,9707,0.143,_87,
78,8331.0,12862,8331.0,9707,0.142,_55_61_81,
79,8334.0,11087,8334.0,9707,0.141,_81_87,
80,8327.0,10328,8334.0,9707,0.141,,
81,8321.0,11369,8334.0,9707,0.141,,
82,8341.5,12361,8341.5,9707,0.141,_74_76_99,
83,8344.5,11441,8344.5,9707,0.14,_34_68_85_94_99,
84,8341.5,10583,8344.5,9707,0.14,_36_80,
85,8339.5,10081,8344.5,9707,0.14,_54_55_76_85,
86,8337.5,11624,8344.5,9707,0.14,_45_67_91,
87,8331.5,11154,8344.5,9707,0.14,_62_97,
88,8326.5,11436,8344.5,9707,0.14,_80_87_99,
89,8321.5,11461,8344.5,9707,0.14,_59,
90,8306.0,12964,8344.5,9707,0.14,_81_98,
91,8307.0,11706,8344.5,9707,0.14,_74_76,
92,8286.0,10856,8344.5,9707,0.14,_64,
93,8298.0,12253,8344.5,9707,0.14,,
94,8299.5,9745,8344.5,9707,0.14,,
95,8331.5,10328,8344.5,9707,0.14,,
96,8345.5,10152,8345.5,9707,0.14,,
97,8358.5,11292,8358.5,9707,0.139,_72_80_92_93,
98,8363.0,10710,8363.0,9707,0.138,_92,
99,8366.0,11081,8366.0,9707,0.138,_87_91_99,
100,8371.5,10824,8371.5,9707,0.138,_85,
101,8367.5,11487,8371.5,9707,0.138,_72_76_92_94,
102,8360.5,11324,8371.5,9707,0.138,_51_52_69,
103,8353.0,11827,8371.5,9707,0.138,_64_91_98_99,
104,8336.5,10165,8371.5,9707,0.138,_39_79_85_93,
105,8327.5,11337,8371.5,9707,0.138,_87,
106,8318.5,9743,8371.5,9707,0.138,_81,
107,8311.5,9390,8371.5,9390,0.108,,
108,8314.5,9872,8371.5,9390,0.108,,
109,8341.5,9703,8371.5,9390,0.108,,
110,8363.0,10288,8371.5,9390,0.108,,
111,8373.0,9685,8373.0,9390,0.108,,
112,8382.0,9964,8382.0,9390,0.107,_97,
113,8386.5,9962,8386.5,9390,0.107,_92_99,
114,8384.0,11004,8386.5,9390,0.107,_76_95_97,
115,8370.5,10598,8386.5,9390,0.107,,
116,8366.5,11503,8386.5,9390,0.107,,
117,8381.5,12497,8386.5,9390,0.107,_91,
118,8390.5,10627,8390.5,9390,0.106,,
119,8384.0,9677,8390.5,9390,0.106,,
120,8394.5,10172,8394.5,9390,0.106,_97,
121,8397.0,10880,8397.0,9390,0.106,,
122,8392.5,10238,8397.0,9390,0.106,,
123,8394.5,10680,8397.0,9390,0.106,,
124,8396.0,10699,8397.0,9390,0.106,,
125,8399.0,10400,8399.0,9390,0.106,_80,
126,8401.5,10415,8401.5,9390,0.105,_63_68_74,
127,8394.0,10990,8401.5,9390,0.105,_45_89,
128,8384.0,10237,8401.5,9390,0.105,_81,
129,8373.5,9952,8401.5,9390,0.105,,
130,8360.5,10262,8401.5,9390,0.105,,
131,8385.0,10401,8401.5,9390,0.105,,
132,8390.0,9724,8401.5,9390,0.105,,
133,8397.5,10542,8401.5,9390,0.105,,
134,8399.5,10240,8401.5,9390,0.105,,
135,8402.0,11693,8402.0,9390,0.105,,
136,8401.5,9293,8402.0,9293,0.096,_94_99,
137,8402.5,9398,8402.5,9293,0.096,,
138,8394.5,9641,8402.5,9293,0.096,,
139,8403.5,10481,8403.5,9293,0.096,,
140,8403.0,9911,8403.5,9293,0.096,,
141,8401.0,10439,8403.5,9293,0.096,,
142,8405.5,10307,8405.5,9293,0.096,_97,
143,8403.5,10354,8405.5,9293,0.096,_62,
144,8400.5,10101,8405.5,9293,0.096,_72_73,
145,8394.5,11097,8405.5,9293,0.096,_30_70_82,
146,8393.5,10496,8405.5,9293,0.096,_67_90_92,
147,8366.0,11074,8405.5,9293,0.096,,
148,8348.5,9346,8405.5,9293,0.096,,
149,8376.5,9434,8405.5,9293,0.096,,
150,8393.5,10734,8405.5,9293,0.096,,
151,8398.0,11023,8405.5,9293,0.096,,
152,8403.5,8913,8405.5,8913,0.057,,
153,8403.0,9739,8405.5,8913,0.057,,
154,8407.5,9534,8407.5,8913,0.057,,
155,8407.5,9295,8407.5,8913,0.057,,
156,8408.5,9093,8408.5,8913,0.057,,
157,8410.0,10685,8410.0,8913,0.056,,
158,8407.5,11045,8410.0,8913,0.056,_87,
159,8407.5,9696,8410.0,8913,0.056,_87,
160,8405.0,10485,8410.0,8913,0.056,,
161,8395.0,9407,8410.0,8913,0.056,,
162,8405.5,9216,8410.0,8913,0.056,,
163,8409.0,9654,8410.0,8913,0.056,_76,
164,8410.5,10056,8410.5,8913,0.056,_81,
165,8396.5,10603,8410.5,8913,0.056,,
166,8390.5,9397,8410.5,8913,0.056,,
167,8408.5,9552,8410.5,8913,0.056,_74,
168,8410.0,10372,8410.5,8913,0.056,,
169,8406.5,10424,8410.5,8913,0.056,,
170,8411.5,9400,8411.5,8913,0.056,_62,
171,8411.5,9476,8411.5,8913,0.056,_51_81,
172,8403.0,9297,8411.5,8913,0.056,,
173,8392.0,10704,8411.5,8913,0.056,,
174,8407.0,9361,8411.5,8913,0.056,,
