iteration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,-18,-26,-47,-108,-106,-25,-35,-61,-20,-19,-29,-105,-27,-33,-51,-55,-74,-29,-39,-46,-30,-57,-51,-36,-18,-35,-39,-90,-25,-98,-49,-65,-193,-38,-16,-46,-42,-59,-29,-46,-48,-82,-75,-44,-50,-33,-46,-39,-60,-12,-122,-50,-70,-22,-25,-19,-30,-17,-30,-59,-25,-40,-7,-32,-29,-57,-38,-156,-48,-67,-20,-65,-19,-19,-33,-54,-49,-67,-78,-4,-15,-46,-46,-156,-28,-20,-31,-46,-12,-71,-36,-34,-56,-23,-41,-23,-37,-28,-24,-65
1,-143.54,-151.54,-172.54,-233.54,-231.54,-150.54,-160.54,-186.54,-145.54,-144.54,-154.54,-230.54,-152.54,-158.54,-176.54,-180.54,-199.54,-154.54,-164.54,-171.54,-155.54,-182.54,-176.54,-161.54,-143.54,-160.54,-164.54,-215.54,-150.54,-223.54,-174.54,-190.54,-318.54,-163.54,-141.54,-171.54,-167.54,-184.54,-154.54,-171.54,-173.54,-207.54,-200.54,-169.54,-175.54,-158.54,-171.54,-164.54,-185.54,-137.54,-247.54,-175.54,-195.54,-147.54,-150.54,-144.54,-155.54,-142.54,-155.54,-184.54,-150.54,-165.54,-132.54,-157.54,-154.54,-182.54,-163.54,-281.54,-173.54,-192.54,-145.54,-190.54,-144.54,-144.54,-158.54,-179.54,-174.54,-192.54,-203.54,-129.54,-140.54,-171.54,-171.54,-281.54,-153.54,-145.54,-156.54,-171.54,-137.54,-196.54,-161.54,-159.54,-181.54,-148.54,-166.54,-148.54,-162.54,-153.54,-149.54,-190.54
2,-196.67,-204.67,-225.67,-127.29,-72.16,-203.67,-213.67,-80.29,-198.67,-197.67,-207.67,-177.41,-205.67,-211.67,-70.29,-127.41,-146.41,-207.67,-217.67,-224.67,-208.67,-182.54,-176.54,-214.67,-196.67,-213.67,-217.67,-109.29,-203.67,-223.54,-174.54,-84.29,-265.41,-216.67,-194.67,-224.67,-220.67,-237.67,-207.67,-224.67,-173.54,-154.41,-200.54,-169.54,-175.54,-211.67,-171.54,-217.67,-79.29,-190.67,-141.29,-175.54,-36.16,-200.67,-203.67,-197.67,-208.67,-195.67,-208.67,-78.29,-203.67,-112.41,-185.67,-210.67,-207.67,-76.29,-216.67,-228.41,-173.54,-139.41,-198.67,-84.29,-197.67,-197.67,-158.54,-126.41,-121.41,-139.41,-203.54,-182.67,-193.67,-224.67,-171.54,-281.54,-206.67,-198.67,-209.67,-224.67,-190.67,-143.41,-214.67,-212.67,-128.41,-201.67,-219.67,-201.67,-215.67,-206.67,-202.67,-31.16
3,-196.67,-262.17,-168.16,-184.8,-129.67,-203.67,-156.16,-137.8,-256.17,-255.17,-150.16,-234.92,-148.16,-154.16,-127.8,-184.92,-203.92,-265.17,-160.16,-52.14,-93.65,-182.54,-234.05,-157.16,-139.16,-213.67,-275.17,-166.8,-261.17,-223.54,-232.05,-141.8,-207.91,-101.65,-252.17,-109.65,-278.17,-180.16,-207.67,-109.65,-231.05,-211.92,-200.54,-227.05,-233.05,-211.67,-229.05,-275.17,-136.8,-248.17,-198.8,-233.05,-93.67,-200.67,-146.16,-255.17,-208.67,-195.67,-266.17,-135.8,-203.67,-169.92,-243.17,-153.16,-92.65,-133.8,-216.67,-228.41,-231.05,-196.92,-256.17,-141.8,-197.67,-255.17,-216.05,-183.92,-178.92,-196.92,-203.54,-240.17,-251.17,-109.65,-229.05,-281.54,-206.67,-198.67,-209.67,-167.16,-248.17,-200.92,-214.67,-97.65,-185.92,-144.16,-219.67,-259.17,-273.17,-206.67,-202.67,-88.67
4,-261.85,-196.99,-233.34,-249.98,-194.86,-203.67,-221.34,-202.98,-321.36,-320.36,-215.34,-169.74,-213.34,-219.34,-192.98,-250.11,-203.92,-199.99,-225.34,-117.32,-158.83,-247.72,-168.87,-222.34,-204.34,-213.67,-275.17,-231.98,-326.36,-223.54,-166.87,-206.98,-273.09,-166.83,-121.81,-174.83,-278.17,-245.34,-207.67,-174.83,-100.68,-211.92,-265.72,-96.68,-102.68,-211.67,-163.87,-275.17,-201.98,-248.17,-263.98,-167.87,-158.86,-200.67,-211.34,-255.17,-208.67,-195.67,-331.36,-200.98,-203.67,-235.11,-243.17,-218.34,-157.83,-198.98,-216.67,-293.6,-100.68,-196.92,-256.17,-206.98,-197.67,-189.99,-150.87,-249.11,-178.92,-131.74,-203.54,-174.99,-316.36,-174.83,-33.5,-281.54,-206.67,-198.67,-274.85,-232.34,-313.36,-200.92,-214.67,-162.83,-185.92,-209.34,-219.67,-259.17,-207.99,-206.67,-202.67,-153.86
5,-210.0,-248.84,-233.34,-94.44,-246.7,-255.51,-221.34,-202.98,-269.51,-268.51,-215.34,-221.59,-213.34,-167.49,-244.83,-198.26,-203.92,-251.84,-225.34,-169.17,-210.68,-195.88,-220.71,-170.49,-152.49,-213.67,-327.02,-128.29,-326.36,-223.54,-218.71,-206.98,-221.24,-218.68,-173.65,-226.68,-278.17,-193.49,-207.67,-226.68,-152.53,-211.92,-213.88,-148.53,-154.53,-263.51,-215.71,-275.17,-253.83,-248.17,-160.29,-219.71,-210.7,-200.67,-211.34,-255.17,-208.67,-247.51,-175.82,-252.83,-203.67,-79.57,-295.02,-218.34,-209.68,-198.98,-268.51,-189.91,-152.53,-196.92,-256.17,-206.98,-249.51,-241.84,-202.71,-197.26,-230.77,-183.59,-203.54,-226.84,-316.36,-226.68,-85.35,-281.54,-258.51,-250.51,-171.16,-128.65,-365.2,-252.77,-214.67,-214.68,-237.77,-209.34,-219.67,-259.17,-259.84,-206.67,-202.67,-205.7
6,-210.0,-248.84,-233.34,-150.71,-134.17,-199.25,-165.08,-259.24,-325.77,-324.77,-215.34,-165.32,-269.6,-223.76,-132.3,-254.52,-203.92,-308.1,-281.6,-225.43,-266.94,-252.14,-220.71,-226.76,-208.76,-213.67,-327.02,-184.55,-326.36,-223.54,-218.71,-206.98,-277.51,-218.68,-229.92,-170.41,-278.17,-249.76,-207.67,-170.41,-208.79,-211.92,-270.14,-204.79,-210.79,-150.98,-215.71,-275.17,-141.3,-248.17,-216.55,-219.71,-210.7,-200.67,-267.6,-255.17,-264.93,-191.25,-232.08,-84.04,-203.67,-135.83,-295.02,-218.34,-153.41,-255.24,-155.98,-246.17,-208.79,-253.19,-256.17,-206.98,-193.25,-185.57,-202.71,-253.52,-174.51,-239.85,-259.8,-170.57,-316.36,-226.68,-141.61,-281.54,-145.98,-250.51,-227.42,-184.91,-421.47,-196.51,-214.67,-214.68,-237.77,-265.6,-219.67,-259.17,-259.84,-206.67,-202.67,-205.7
7,-240.94,-248.84,-264.28,-181.65,-165.12,-230.19,-196.02,-166.42,-294.83,-293.83,-246.28,-196.26,-207.72,-223.76,-163.24,-192.64,-234.87,-277.16,-250.66,-225.43,-205.06,-252.14,-251.65,-226.76,-208.76,-244.61,-327.02,-215.5,-326.36,-223.54,-218.71,-206.98,-246.57,-187.73,-198.98,-201.35,-309.12,-249.76,-207.67,-201.35,-239.73,-211.92,-239.2,-235.73,-241.73,-181.93,-246.65,-306.12,-172.24,-248.17,-216.55,-219.71,-210.7,-200.67,-236.66,-255.17,-233.99,-222.19,-263.03,-114.98,-234.61,-166.77,-295.02,-249.28,-184.35,-131.48,-186.93,-246.17,-208.79,-191.3,-256.17,-237.92,-224.19,-216.51,-233.65,-222.58,-205.45,-147.02,-228.86,-201.51,-316.36,-195.73,-172.55,-281.54,-176.93,-250.51,-258.36,-215.85,-452.41,-227.45,-214.67,-245.62,-206.83,-234.66,-219.67,-290.12,-259.84,-237.61,-202.67,-236.64
8,-240.94,-207.73,-264.28,-222.76,-206.23,-230.19,-237.13,-207.53,-294.83,-293.83,-205.17,-237.37,-248.83,-264.87,-204.35,-233.75,-193.75,-277.16,-291.77,-184.32,-246.17,-211.03,-210.54,-185.65,-208.76,-244.61,-327.02,-215.5,-326.36,-223.54,-218.71,-248.09,-287.68,-228.85,-240.09,-242.47,-309.12,-208.65,-207.67,-242.47,-239.73,-211.92,-280.31,-194.62,-200.62,-223.04,-246.65,-265.01,-213.35,-248.17,-216.55,-219.71,-251.81,-241.78,-195.55,-255.17,-233.99,-222.19,-304.14,-156.09,-234.61,-207.89,-295.02,-208.17,-225.47,-172.59,-228.04,-246.17,-208.79,-232.41,-256.17,-196.81,-183.08,-257.63,-151.43,-263.69,-246.56,-188.14,-228.86,-242.63,-316.36,-236.85,-213.66,-281.54,-218.04,-250.51,-217.25,-215.85,-452.41,-227.45,-214.67,-204.51,-206.83,-234.66,-260.78,-290.12,-259.84,-196.5,-243.78,-113.31
9,-240.94,-247.29,-264.28,-262.33,-245.79,-230.19,-197.56,-247.1,-255.27,-293.83,-244.74,-197.81,-248.83,-225.3,-243.92,-233.75,-233.32,-277.16,-252.2,-223.89,-206.6,-250.6,-250.11,-225.21,-208.76,-244.61,-366.59,-136.36,-326.36,-223.54,-258.28,-208.52,-248.11,-149.71,-200.52,-202.9,-309.12,-248.21,-207.67,-202.9,-239.73,-211.92,-240.74,-234.19,-240.19,-262.6,-246.65,-304.57,-252.92,-248.17,-256.12,-219.71,-172.68,-241.78,-235.12,-255.17,-233.99,-222.19,-304.14,-195.66,-234.61,-207.89,-295.02,-247.74,-185.9,-212.16,-228.04,-246.17,-208.79,-192.85,-256.17,-236.38,-222.65,-218.06,-191.0,-224.13,-206.99,-227.7,-228.86,-203.06,-316.36,-236.85,-213.66,-281.54,-218.04,-250.51,-256.82,-255.42,-491.98,-227.45,-214.67,-244.08,-206.83,-234.66,-260.78,-290.12,-259.84,-236.06,-243.78,-152.88
