iteration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
0,-19,-27,-79,-53,-99,-31,-122,-54,-18,-18,-24,-106,-33,-52,-58,-77,-74,-28,-13,-54,-23,-25,-43,-41,-73,-45,-45,-141,-19,-90,-44,-38,-197,-28,-18,-47,-35,-53,-34,-52,-42,-39,-41,-22,-49,-26,-90,-242,-9,-119,-72,-33,-61,-49,-29,-17,-24,-15,-27,-36,-29,-80,-13,-32,-26,-55,-28,-46,-84,-45,-19,-29,-4,-9,-67,-57,-23,-80,-133,-5,-8,-34,-86,-28,-38,-19,-23,-45,-15,-43,-36,-29,-38,-25,-46,-49,-35,-23,-92,-22,-190,-139,-45,-75,-26,-26,-35,-26,-104,-48,-41,-163,-25,-12,-88,-61,-94,-26,-36,-9,-26,-56,-96,-56,-20,-42,-38,-67,-34,-43,-24,-53,-55,-11,-26,-102,-21,-19,-16,-47,-52,-158,-26,-62,-38,-56,-51,-42,-45,-16,-39,-23,-31,-30,-60,-25,-101,-55,-33,-120,-115,-33,-48,-67,-108,-24,-37,-28,-43,-30,-29,-123,-19,-40,-31,-21,-29,-45,-76,-34,-81,-63,-46,-247,-53,-28,-51,-47,-19,-11,-65,-32,-49,-23,-42,-20,-107,-29,-27,-70
1,-577.01,-585.01,-637.01,-611.01,-657.01,-589.01,-680.01,-612.01,-576.01,-576.01,-582.01,-664.01,-591.01,-610.01,-616.01,-635.01,-632.01,-586.01,-571.01,-612.01,-581.01,-583.01,-601.01,-599.01,-631.01,-603.01,-603.01,-699.01,-577.01,-648.01,-602.01,-596.01,-755.01,-586.01,-576.01,-605.01,-593.01,-611.01,-592.01,-610.01,-600.01,-597.01,-599.01,-580.01,-607.01,-584.01,-648.01,-800.01,-567.01,-677.01,-630.01,-591.01,-619.01,-607.01,-587.01,-575.01,-582.01,-573.01,-585.01,-594.01,-587.01,-638.01,-571.01,-590.01,-584.01,-613.01,-586.01,-604.01,-642.01,-603.01,-577.01,-587.01,-562.01,-567.01,-625.01,-615.01,-581.01,-638.01,-691.01,-563.01,-566.01,-592.01,-644.01,-586.01,-596.01,-577.01,-581.01,-603.01,-573.01,-601.01,-594.01,-587.01,-596.01,-583.01,-604.01,-607.01,-593.01,-581.01,-650.01,-580.01,-748.01,-697.01,-603.01,-633.01,-584.01,-584.01,-593.01,-584.01,-662.01,-606.01,-599.01,-721.01,-583.01,-570.01,-646.01,-619.01,-652.01,-584.01,-594.01,-567.01,-584.01,-614.01,-654.01,-614.01,-578.01,-600.01,-596.01,-625.01,-592.01,-601.01,-582.01,-611.01,-613.01,-569.01,-584.01,-660.01,-579.01,-577.01,-574.01,-605.01,-610.01,-716.01,-584.01,-620.01,-596.01,-614.01,-609.01,-600.01,-603.01,-574.01,-597.01,-581.01,-589.01,-588.01,-618.01,-583.01,-659.01,-613.01,-591.01,-678.01,-673.01,-591.01,-606.01,-625.01,-666.01,-582.01,-595.01,-586.01,-601.01,-588.01,-587.01,-681.01,-577.01,-598.01,-589.01,-579.01,-587.01,-603.01,-634.01,-592.01,-639.01,-621.01,-604.01,-805.01,-611.01,-586.01,-609.01,-605.01,-577.01,-569.01,-623.01,-590.01,-607.01,-581.01,-600.01,-578.01,-665.01,-587.01,-585.01,-628.01
2,-577.01,-585.01,-284.36,-434.68,-304.36,-412.68,25.3,-435.68,-399.68,-399.68,-758.34,-311.36,-767.34,-433.68,-439.68,-458.68,-279.36,-586.01,-747.34,-435.68,-757.34,-583.01,-601.01,-422.68,-102.03,-603.01,-603.01,-170.03,-400.68,57.3,-425.68,-596.01,-49.7,-586.01,-399.68,-781.34,-593.01,-434.68,-592.01,-786.34,-776.34,-773.34,-422.68,-756.34,-607.01,-584.01,-648.01,-271.03,-567.01,-148.03,-277.36,-414.68,-266.36,-430.68,-763.34,-398.68,-582.01,-573.01,-408.68,-594.01,-410.68,-461.68,-747.34,-590.01,-760.34,-789.34,-586.01,-427.68,-465.68,-426.68,-400.68,-587.01,-562.01,-743.34,-272.36,-438.68,-581.01,-285.36,-162.03,-386.68,-566.01,-768.34,-291.36,-233.36,-67.03,-753.34,-757.34,-426.68,-749.34,-601.01,-417.68,-410.68,-419.68,-406.68,-604.01,-607.01,-416.68,-581.01,-121.03,-580.01,-219.03,-168.03,-426.68,-280.36,-584.01,-407.68,-593.01,-584.01,43.3,-606.01,-422.68,-15.7,-759.34,-746.34,-293.36,-442.68,-123.03,-760.34,-417.68,-567.01,-407.68,-614.01,-301.36,-85.03,-225.36,-600.01,-596.01,-625.01,-415.68,-424.68,-229.36,-434.68,-436.68,-569.01,-407.68,-307.36,-579.01,-400.68,-397.68,-428.68,-433.68,-10.7,-584.01,-443.68,-596.01,-614.01,-785.34,-600.01,-603.01,-397.68,-420.68,-404.68,-589.01,-588.01,-618.01,-406.68,-482.68,-436.68,-591.01,27.3,32.3,-414.68,-782.34,-448.68,39.3,-229.36,-242.36,-233.36,-601.01,-235.36,-410.68,24.3,-753.34,-774.34,-412.68,-579.01,-410.68,-779.34,-457.68,-592.01,-110.03,-621.01,-427.68,-452.36,-611.01,-409.68,-432.68,-252.36,-400.68,-569.01,-270.36,-590.01,-254.36,-228.36,-600.01,-401.68,-312.36,-587.01,-585.01,-451.68
3,-363.88,-158.76,-497.48,-221.56,-517.48,-412.68,-187.83,-222.56,-399.68,-399.68,-332.08,-524.48,-341.08,-433.68,-652.81,-245.56,-492.48,-372.88,-747.34,-435.68,-544.21,-369.88,-387.88,-209.56,-315.16,-389.88,-389.88,-383.16,-613.81,-155.83,-425.68,-169.76,-262.83,-372.88,-612.81,-141.96,-379.88,-221.56,-165.76,-146.96,-350.08,-347.08,-209.56,-756.34,-180.76,-370.88,-434.88,-484.16,-567.01,-361.16,-490.48,-627.81,-479.48,-430.68,-550.21,-611.81,-368.88,-359.88,-408.68,-380.88,-623.81,-248.56,-747.34,-376.88,-760.34,63.17,-372.88,-427.68,-465.68,-213.56,-613.81,-373.88,-348.88,-317.08,-485.48,-651.81,-581.01,-498.48,-375.16,-599.81,-352.88,-342.08,-504.48,-446.48,-280.16,-540.21,-757.34,-639.81,-536.21,-387.88,-417.68,-623.81,-632.81,-619.81,-390.88,-180.76,-203.56,-581.01,-334.16,-366.88,-432.16,-381.16,-213.56,-493.48,-157.76,-407.68,-379.88,-157.76,-169.83,-392.88,-635.81,-228.83,-759.34,-533.21,-506.48,-655.81,-336.16,-547.21,-204.56,-353.88,-620.81,-400.88,-514.48,-298.16,-438.48,-386.88,-382.88,227.5,-628.81,-424.68,-442.48,-434.68,-436.68,-142.76,-620.81,-520.48,-579.01,-613.81,-610.81,-215.56,-433.68,-223.83,-370.88,-443.68,-596.01,-400.88,67.17,-173.76,-176.76,-610.81,-207.56,-617.81,-375.88,-374.88,-191.76,-619.81,-56.43,-223.56,-377.88,-185.83,-180.83,-414.68,-356.08,-448.68,-173.83,-442.48,-455.48,-446.48,-387.88,-448.48,-410.68,-188.83,-753.34,-348.08,-412.68,-365.88,-623.81,-139.96,-244.56,-378.88,-323.16,-194.76,-640.81,-452.36,-184.76,-622.81,-219.56,-465.48,-613.81,-569.01,-483.48,-590.01,-467.48,-441.48,-173.76,-614.81,-525.48,-160.76,-158.76,-451.68
4,-467.1,-261.97,-291.05,-324.77,-104.61,-412.68,-291.05,-325.77,-399.68,-399.68,-435.3,-214.83,-444.3,-330.46,-343.16,-348.77,-389.26,-476.1,-540.9,-332.46,-544.21,-473.1,-491.1,-312.77,-418.37,-493.1,-493.1,-383.16,-510.59,-259.05,-219.25,-272.97,-366.05,-476.1,-303.16,-245.17,-483.1,-324.77,-268.97,-250.17,-453.3,-450.3,-312.77,-756.34,-283.97,-474.1,-538.1,-277.72,-360.57,-464.37,-387.26,-524.59,-376.26,-327.46,-550.21,-508.59,-472.1,-463.1,-305.46,-484.1,-417.37,-351.77,-747.34,-376.88,-760.34,-40.05,-372.88,-324.46,-259.25,-316.77,-304.16,-373.88,-452.1,-420.3,-72.61,-445.37,-477.79,-395.26,-478.37,-290.16,-456.1,-445.3,-194.83,-240.05,-383.37,-540.21,-654.12,-433.37,-639.43,-387.88,-314.46,-314.16,-529.59,-310.16,-494.1,-283.97,-306.77,-581.01,-437.37,-470.1,-122.5,-484.37,-316.77,-287.05,-260.97,-407.68,-483.1,-260.97,-273.05,-392.88,-326.16,-332.05,-552.9,-533.21,-93.61,-242.94,-439.37,-547.21,-307.77,-457.1,-414.37,-504.1,-204.83,-401.37,-232.05,-490.1,-382.88,124.28,-422.37,-321.46,-132.83,-434.68,-333.46,-245.97,-517.59,-314.05,-475.79,-407.37,-404.37,-318.77,-433.68,-327.05,-474.1,-134.03,-492.79,-400.88,-36.05,-276.97,-279.97,-404.37,-310.77,-411.37,-479.1,-478.1,-294.97,-310.16,-159.65,-326.77,-481.1,-289.05,-284.05,-414.68,-459.3,-345.46,-277.05,-236.05,-145.83,-343.26,-491.1,-242.05,-410.68,-292.05,-753.34,-451.3,-309.46,-469.1,-314.16,-243.17,-347.77,-378.88,-426.37,-297.97,-331.16,-452.36,-287.97,-313.16,-322.77,-259.05,-304.16,-569.01,-277.05,-590.01,-157.83,-338.26,-276.97,-408.37,-215.83,-263.97,-261.97,-142.03
5,-298.2,-430.88,-459.95,-493.68,-273.51,-243.78,-459.95,-494.68,-399.68,-230.78,-435.3,-383.73,-275.4,-499.37,-512.06,-348.77,-389.26,-307.2,-203.09,-501.37,-375.31,-304.2,-153.3,-312.77,88.33,-324.2,-324.2,-45.35,-172.79,-427.95,-388.15,-441.88,-197.15,-138.3,-472.06,-414.08,-483.1,-493.68,-437.88,-419.08,-453.3,-450.3,-481.68,-587.43,-452.88,-305.2,-538.1,-446.62,-529.48,211.24,-218.36,-186.79,-207.36,-496.37,-550.21,-339.69,-303.2,-294.2,-474.37,-146.3,-79.57,-13.97,-747.34,-376.88,-591.43,-208.95,-372.88,-493.37,-428.15,-485.68,-473.06,-373.88,-283.2,-420.3,-241.51,-276.47,-308.89,-226.36,-140.57,-459.06,-287.2,-614.2,-363.73,-408.95,-45.57,-540.21,-485.22,-95.57,-470.53,-218.98,-483.37,-483.06,-22.88,-479.06,-494.1,-452.88,-475.68,-412.11,69.33,-132.3,-291.4,-146.57,-485.68,-455.95,-429.88,-238.78,-314.2,-429.88,-441.95,-223.98,-495.06,-500.95,-384.0,-364.31,-262.51,-411.84,67.33,-378.31,-476.68,-288.2,-414.37,-166.3,-373.73,-63.57,-400.95,-321.2,-382.88,-44.62,-253.47,-490.37,-301.73,-265.78,-333.46,-414.88,-348.69,-482.95,-475.79,-238.47,-235.47,-318.77,-264.78,-327.05,-305.2,-302.93,-323.89,-231.98,-204.95,-445.88,-448.88,-404.37,-310.77,-73.57,27.61,-309.2,-463.88,-479.06,-328.55,-157.87,-481.1,-457.95,-452.95,-245.78,-290.4,-345.46,-445.95,-404.95,-314.73,-343.26,-322.2,-410.95,-241.78,-460.95,-415.53,-282.4,-478.37,-300.2,-483.06,-412.08,-516.68,-378.88,80.33,-466.88,-331.16,-452.36,-456.88,-482.06,-322.77,-427.95,-473.06,-400.11,-445.95,-421.11,-326.73,-169.36,-445.88,-70.57,-384.73,-432.88,-430.88,-310.93
6,-396.57,-332.5,-263.2,-198.56,-371.89,-342.15,-164.83,-297.93,-399.68,-329.15,-435.3,-186.99,-373.77,-302.62,-315.31,-348.77,-389.26,-405.57,-301.47,-206.25,-375.31,-402.57,-251.67,-411.15,-10.04,-422.57,-422.57,-143.72,-271.16,-34.46,-191.4,-245.13,-295.52,-236.67,-275.31,-414.08,-483.1,-296.93,-241.13,-419.08,-453.3,-450.3,-284.93,-587.43,-256.13,-403.57,-538.1,-249.88,-332.73,112.86,-316.73,-285.16,-305.73,-299.62,-550.21,-438.06,-401.57,-392.57,-376.0,-244.67,-177.94,-112.34,-747.34,-278.51,-591.43,-307.32,-372.88,-296.62,-34.66,-190.56,-374.69,-373.88,-381.57,-420.3,-339.89,-374.84,-407.26,-324.73,-238.94,-163.94,-385.57,-417.46,-265.36,-212.2,-143.94,-441.84,-583.59,-193.94,-568.9,-317.35,-385.0,-187.94,-121.26,-282.31,-494.1,-256.13,-377.3,-412.11,-29.04,-230.67,-389.78,-244.94,-288.93,-259.2,-233.13,-337.15,-412.57,-233.13,-48.46,-322.35,-199.94,-304.21,-482.37,-462.68,-360.89,-411.84,-31.04,-378.31,-378.3,-386.57,-316.0,-264.67,-275.36,-161.94,-204.2,-419.57,-382.88,-143.0,-351.84,-293.62,-400.1,-364.15,-333.46,-316.5,-447.06,-286.2,-475.79,-336.84,-333.84,-417.15,-363.15,-327.05,-403.57,-401.3,-422.26,-330.35,-303.32,-347.5,-252.13,-404.37,-409.15,-171.94,-70.77,-407.57,-267.13,-183.94,-328.55,-256.24,-481.1,-64.46,-157.83,-344.15,-388.77,-345.46,-150.83,-208.2,-413.1,-343.26,-420.57,-410.95,-340.15,-67.46,-415.53,-380.77,-281.62,-398.57,-187.94,-313.7,-319.93,-378.88,-18.04,-368.5,-429.53,-452.36,-358.5,-285.31,-322.77,-231.2,-374.69,-400.11,-249.2,-421.11,-425.1,-267.73,-347.5,-168.94,-286.36,-236.13,-430.88,-409.3
7,-260.31,-196.25,-399.46,-334.82,36.88,-205.9,-301.09,-161.68,-399.68,-329.15,-299.04,-323.24,-237.51,-438.88,-315.31,-76.26,-253.01,-269.31,-437.72,-342.51,-375.31,-266.31,-387.92,-2.38,-146.29,-286.31,-286.31,-279.98,-407.41,-170.72,-327.66,-381.39,-431.77,-372.92,-411.57,-141.56,-483.1,-433.19,-377.39,-146.56,-317.04,-450.3,-421.19,-451.18,-392.39,-267.31,-538.1,-386.13,-468.99,-23.39,-180.48,-421.41,-305.73,-299.62,-413.95,-301.81,-265.31,-256.31,-376.0,-380.92,-314.2,-248.6,-611.08,-414.77,-591.43,-443.58,-372.88,-432.88,-170.92,-326.82,-238.43,-237.63,-245.31,-284.04,68.88,-374.84,-271.01,-188.48,-375.2,-300.2,-249.31,-553.72,-401.61,-348.46,-280.2,-441.84,-447.33,-330.2,-432.64,-317.35,-248.74,-324.2,-257.51,-418.57,-221.59,-392.39,-241.05,-412.11,-165.29,-366.92,18.99,-381.2,-425.19,-395.46,-369.39,-200.9,-276.31,-369.39,-184.72,-458.61,-336.2,-304.21,-482.37,-326.42,184.14,-3.07,-167.29,-378.31,-242.05,-386.57,-452.26,-400.92,-411.61,-298.2,-340.46,-283.31,-246.63,-279.25,-351.84,-429.88,8.67,-364.15,-197.21,-316.5,-310.81,-422.46,-339.54,-200.59,-197.59,-280.89,-363.15,-190.79,-267.31,-128.79,-286.01,-194.1,-439.58,-347.5,-388.39,-268.12,-136.63,-308.2,-207.02,-271.31,-403.39,-320.2,-192.29,-392.5,-481.1,-200.72,-294.09,-344.15,-252.51,-345.46,-287.09,-344.46,-4.33,-207.01,-284.31,-138.44,-203.9,-203.72,-415.53,-244.51,-417.88,-262.31,-324.2,-449.96,-456.19,-106.37,-154.29,-95.99,-20.76,-452.36,-358.5,-421.57,-186.52,-367.46,-510.94,-263.85,-385.46,-421.11,-16.33,-403.99,-347.5,-305.2,-422.61,-372.39,-294.62,135.72
8,-364.37,-300.31,-191.34,-126.7,-67.18,-309.96,-301.09,-265.74,-295.62,-329.15,-403.1,-115.12,-341.57,-230.76,-315.31,-180.32,-357.07,-373.37,-437.72,-134.39,-271.25,-370.37,-283.87,-106.44,-250.35,-390.37,-390.37,-384.04,-199.3,-274.78,-119.54,-173.27,-15.54,-268.87,-203.45,-245.62,-483.1,-225.07,-169.27,-250.62,-421.1,-450.3,-213.07,-451.18,-184.27,-371.37,-538.1,-282.07,-260.87,-127.45,-284.54,-317.36,-305.73,-299.62,-413.95,-405.86,-369.37,-360.37,-376.0,-276.87,-314.2,-352.66,-507.02,-310.71,-591.43,-27.34,-372.88,-224.76,-274.97,-430.88,-342.49,-341.69,-349.37,-388.1,-35.18,-374.84,-375.06,-292.54,-271.14,-300.2,-353.37,-345.6,-89.44,-244.4,-384.26,-441.84,-447.33,-226.14,-536.7,-317.35,-352.8,-324.2,-361.57,-106.39,-325.65,-184.27,-345.11,-412.11,-269.35,-262.87,-85.07,-381.2,-217.07,-83.28,-57.21,-304.96,-380.37,-161.27,-288.78,-354.55,-440.26,-304.21,-482.37,-430.48,80.08,-107.13,-271.35,-378.31,-346.11,-386.57,-244.14,-296.87,-99.44,-402.26,-132.34,-387.37,-350.69,-383.31,-351.84,-221.76,-95.39,-364.15,-301.27,-212.45,-310.81,-214.34,-443.59,-304.65,-301.65,-384.95,-363.15,-294.85,-371.37,-232.85,-390.06,-298.16,-23.34,-347.5,-180.27,-372.18,-240.69,-100.08,-311.08,-375.37,-195.27,-112.08,-296.35,-184.38,-481.1,-304.78,-85.97,-344.15,-356.57,-345.46,-391.15,-136.34,-108.39,-311.07,-388.37,-242.5,-307.96,-307.78,-415.53,-348.57,-209.76,-366.37,-220.14,-241.84,-248.07,-210.43,-258.35,-200.05,-124.82,-452.36,-358.5,-213.45,-290.58,-159.34,-406.88,-367.91,-177.34,-421.11,-120.39,-91.81,-243.45,-409.26,-110.44,-268.33,-398.68,31.66
9,-219.84,-300.31,-335.87,-271.23,-211.71,-165.43,-12.03,-410.27,-295.62,-329.15,-258.57,-259.65,-197.04,-375.29,-170.78,-324.85,-212.54,-228.84,-148.66,-278.92,-415.78,-370.37,-428.4,-250.97,-394.88,-245.84,-245.84,-94.98,-343.83,-419.31,-264.07,-317.8,-160.07,-268.87,-347.98,-390.15,-49.51,-369.6,-313.8,-395.15,-132.04,-450.3,-357.6,-451.18,-328.8,-371.37,-393.57,-426.6,-405.4,-271.98,-140.01,-172.83,-305.73,-299.62,-413.95,-261.33,-369.37,-215.84,-376.0,-421.4,-314.2,80.93,-507.02,-166.18,-446.9,-171.87,-372.88,-369.29,-419.5,2.71,-197.96,-197.16,-204.84,-243.57,-179.71,-374.84,-230.53,-148.01,-415.67,-155.67,-208.84,-490.13,-233.97,-388.93,-95.2,-297.31,-447.33,-370.67,-681.23,-172.82,-208.27,-324.2,-361.57,-250.92,-470.18,-328.8,-200.58,-412.11,-413.88,-407.4,-229.6,-381.2,-361.6,-227.81,-201.74,-160.43,-235.84,-305.8,-144.25,-210.02,-6.67,-304.21,-337.84,-285.95,-64.45,-251.66,-415.88,-378.31,-201.58,-386.57,-388.67,-296.87,-243.97,175.86,-276.87,-242.84,-206.16,194.81,-351.84,-366.29,-239.92,-364.15,-156.74,-356.98,-166.28,-358.87,-299.06,-304.65,-301.65,-240.42,-363.15,-294.85,-226.84,-377.38,-245.53,-153.63,-167.87,-202.97,-324.8,-372.18,-385.22,-244.61,-166.55,-375.37,-339.8,-256.61,-151.82,-328.91,-336.57,-304.78,-230.5,-199.62,-212.04,-345.46,42.44,-280.87,-252.92,-311.07,-99.31,-387.03,-163.43,-18.72,-415.53,-204.04,-354.29,-77.31,-364.67,-386.37,-392.6,-354.96,-402.88,-344.58,-269.35,-452.36,-358.5,-357.98,-435.11,-303.87,-262.35,-223.38,-321.87,-421.11,-264.92,-236.34,-387.98,-120.2,-254.97,-412.86,-254.15,-112.87
