iteration,local_LB,local_UB,LB,UB,gap,un_served,repeat_served
0,6524.0,72036,6524.0,72036,0.909,_71_76_80_82_83_85_86_87_88_90_91_92_93_94_95_96_97_99_100_101_102_104_105_106_107_108_109_110_111_112_113_114_115_116_117_118_119_120_121_122_123_124_125_126_127_128_129_130_131_132_133_134_135_136_137_138_139_140_141_142_143_144_145_146_147_148_149_150_151_152_153_154_155_156_157_158_159_160_161_162_163_164_165_166_167_168_169_170_171_172_173_174_175_176_177_178_179_180_181_182_183_184_185_186_187_188_189_190_191_192_193_194_195_196_197_198_199,
1,14233.72,34335,14233.72,34335,0.585,,
2,12156.877,32282,14233.72,32282,0.559,,
3,13428.127,31763,14233.72,31763,0.552,,
4,13712.191,30358,14233.72,30358,0.531,,
5,16149.002,29583,16149.002,29583,0.454,,
6,16365.26,28644,16365.26,28644,0.429,,
7,17685.057,28334,17685.057,28334,0.376,,
8,18260.115,27124,18260.115,27124,0.327,,
9,19339.598,27250,19339.598,27124,0.287,,
10,19598.717,26755,19598.717,26755,0.267,,
11,20207.407,26621,20207.407,26621,0.241,,
12,20312.831,25987,20312.831,25987,0.218,,
13,20606.59,25971,20606.59,25971,0.207,,
14,21124.245,26165,21124.245,25971,0.187,,
15,20945.563,26058,21124.245,25971,0.187,,
16,21235.645,25625,21235.645,25625,0.171,,
17,21440.187,25752,21440.187,25625,0.163,,
18,21380.522,25439,21440.187,25439,0.157,,
19,21729.595,25130,21729.595,25130,0.135,,
20,21770.906,25149,21770.906,25130,0.134,,
21,21815.136,25223,21815.136,25130,0.132,,
22,21979.365,25100,21979.365,25100,0.124,,
23,21836.585,25652,21979.365,25100,0.124,,
24,22133.967,24797,22133.967,24797,0.107,,
25,22227.01,24810,22227.01,24797,0.104,,
26,22208.541,25042,22227.01,24797,0.104,,
27,22316.062,25079,22316.062,24797,0.1,,
28,22235.569,24647,22316.062,24647,0.095,,
29,22417.838,24277,22417.838,24277,0.077,,
30,22401.26,24806,22417.838,24277,0.077,,
31,22676.2,24626,22676.2,24277,0.066,,
32,22506.898,24581,22676.2,24277,0.066,,
33,22805.743,24584,22805.743,24277,0.061,,
34,22393.317,24675,22805.743,24277,0.061,,
35,22750.589,24677,22805.743,24277,0.061,,
36,22735.731,24695,22805.743,24277,0.061,,
37,22588.23,24632,22805.743,24277,0.061,,
38,22764.923,23982,22805.743,23982,0.049,,
39,22772.317,24492,22805.743,23982,0.049,,
40,22873.193,24374,22873.193,23982,0.046,,
41,22723.505,24463,22873.193,23982,0.046,,
42,22899.503,24659,22899.503,23982,0.045,,
43,22782.691,24894,22899.503,23982,0.045,,
44,22919.076,24409,22919.076,23982,0.044,,
45,22760.027,24550,22919.076,23982,0.044,,
46,22898.195,24105,22919.076,23982,0.044,,
47,22836.508,24553,22919.076,23982,0.044,,
48,22846.124,24421,22919.076,23982,0.044,,
